Country,Old_Temba,WB_S2_FLAC,WB_S2_AMC
AGO,0.019,0.068,0.019
BEN,0.031,0.067,0.069
BWA,0.032,0.038,0.038
BFA,0.169,0.071,0.111
BDI,0.033,0.019,0.075
CMR,0.017,,
CAF,0.134,,
TCD,0.108,0.140,0.200
CIV,0.034,0.052,0.072
DJI,0.024,0.066,0.140
COD,0.019,0.019,0.020
GNQ,0.020,,
ERI,0.060,0.079,0.182
SWZ,0.032,0.028,0.031
ETH,0.018,0.025,0.159
GAB,0.024,,
GMB,0.062,0.078,0.084
GHA,0.030,0.055,0.071
GIN,0.015,0.027,0.078
GNB,0.137,0.078,0.216
KEN,0.022,0.033,0.060
LSO,0.026,0.021,0.042
LBR,0.012,0.082,0.079
MDG,0.073,,
MWI,0.047,0.039,0.065
MLI,0.022,0.060,0.087
MOZ,0.042,0.023,0.300
MRT,0.017,,
NAM,0.038,0.022,0.033
NER,0.028,0.067,0.068
NGA,0.039,0.052,0.065
COG,0.035,,
RWA,0.042,0.033,0.046
SEN,0.066,0.071,0.084
SLE,0.013,0.056,0.081
SOM,0.155,,
ZAF,0.036,0.039,0.031
SSD,0.071,0.159,0.234
SDN,0.036,0.030,0.051
TZA,0.032,0.052,0.032
TGO,0.030,0.069,0.073
UGA,0.012,0.023,0.042
ZMB,0.013,0.024,0.035
ZWE,0.025,0.042,0.035
