Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
BDI,2020,HYD,0.075227,Hydropower,Bottom-up,No
BDI,2020,LFO,0.0072043417792788,Light Fuel Oil,Bottom-up,No
BDI,2020,SOL,0.00485,Solar,Bottom-up,No
BDI,2021,HYD,0.075227,Hydropower,Bottom-up,No
BDI,2021,LFO,0.0069018417792788,Light Fuel Oil,Bottom-up,No
BDI,2021,SOL,0.0047,Solar,Bottom-up,No
BDI,2022,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2022,LFO,0.0065993417792788,Light Fuel Oil,Bottom-up,No
BDI,2022,SOL,0.00455,Solar,Bottom-up,No
BDI,2023,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2023,LFO,0.0062968417792788,Light Fuel Oil,Bottom-up,No
BDI,2023,SOL,0.0043999999999999,Solar,Bottom-up,No
BDI,2024,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2024,LFO,0.0059943417792788,Light Fuel Oil,Bottom-up,No
BDI,2024,SOL,0.00425,Solar,Bottom-up,No
BDI,2025,GEO,0.1,Geothermal,Bottom-up,No
BDI,2025,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2025,LFO,0.0056918417792788,Light Fuel Oil,Bottom-up,No
BDI,2025,SOL,0.0040999999999999,Solar,Bottom-up,No
BDI,2026,GEO,0.1,Geothermal,Bottom-up,No
BDI,2026,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2026,LFO,0.0053814464670062,Light Fuel Oil,Bottom-up,No
BDI,2026,SOL,0.00395,Solar,Bottom-up,No
BDI,2027,GEO,0.1,Geothermal,Bottom-up,No
BDI,2027,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2027,LFO,0.004286129539084,Light Fuel Oil,Bottom-up,No
BDI,2027,SOL,0.0038,Solar,Bottom-up,No
BDI,2028,GEO,0.1,Geothermal,Bottom-up,No
BDI,2028,HYD,0.124227,Hydropower,Bottom-up,No
BDI,2028,LFO,0.00363,Light Fuel Oil,Bottom-up,No
BDI,2028,SOL,0.00365,Solar,Bottom-up,No
BDI,2029,GEO,0.1,Geothermal,Bottom-up,No
