Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
BEN,2020.0,HFO,547.638889327,Heavy Fuel Oil,Bottom-up,No
BEN,2020.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2020.0,LFO,130.277777882,Light Fuel Oil,Bottom-up,No
BEN,2020.0,NGA,112.2777778676,Natural Gas,Bottom-up,No
BEN,2020.0,SOL,9.4166666742,Solar,Bottom-up,No
BEN,2021.0,HFO,873.5555562544,Heavy Fuel Oil,Bottom-up,No
BEN,2021.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2021.0,Imports (NGA),853.6944451274001,Imports (NGA),Bottom-up,No
BEN,2021.0,LFO,124.1111112104,Light Fuel Oil,Bottom-up,No
BEN,2021.0,NGA,106.666666752,Natural Gas,Bottom-up,No
BEN,2021.0,SOL,9.3611111186,Solar,Bottom-up,No
BEN,2022.0,HFO,864.9166673586,Heavy Fuel Oil,Bottom-up,No
BEN,2022.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2022.0,Imports (NGA),5708.888893456,Imports (NGA),Bottom-up,No
BEN,2022.0,LFO,117.9444445388,Light Fuel Oil,Bottom-up,No
BEN,2022.0,NGA,101.0277778586,Natural Gas,Bottom-up,No
BEN,2022.0,SOL,9.305555563,Solar,Bottom-up,No
BEN,2023.0,HFO,856.2777784628,Heavy Fuel Oil,Bottom-up,No
BEN,2023.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2023.0,Imports (NGA),5708.888893456,Imports (NGA),Bottom-up,No
BEN,2023.0,LFO,111.7777778672,Light Fuel Oil,Bottom-up,No
BEN,2023.0,NGA,95.416666743,Natural Gas,Bottom-up,No
BEN,2023.0,SOL,9.2222222296,Solar,Bottom-up,No
BEN,2024.0,HFO,847.6666673448,Heavy Fuel Oil,Bottom-up,No
BEN,2024.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2024.0,Imports (NGA),5057.027781823401,Imports (NGA),Bottom-up,No
BEN,2024.0,LFO,105.6388889734,Light Fuel Oil,Bottom-up,No
BEN,2024.0,NGA,89.8055556274,Natural Gas,Bottom-up,No
BEN,2024.0,SOL,9.166666674,Solar,Bottom-up,No
BEN,2025.0,HFO,839.0277784489999,Heavy Fuel Oil,Bottom-up,No
BEN,2025.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2025.0,Imports (NGA),4840.0555594276,Imports (NGA),Bottom-up,No
BEN,2025.0,LFO,95.694444521,Light Fuel Oil,Bottom-up,No
BEN,2025.0,NGA,84.1944445118,Natural Gas,Bottom-up,No
BEN,2025.0,SOL,9.111111118400002,Solar,Bottom-up,No
BEN,2026.0,HFO,830.3888895532,Heavy Fuel Oil,Bottom-up,No
BEN,2026.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2026.0,Imports (NGA),4538.750003631,Imports (NGA),Bottom-up,No
BEN,2026.0,LFO,89.5000000716,Light Fuel Oil,Bottom-up,No
BEN,2026.0,NGA,78.5833333962,Natural Gas,Bottom-up,No
BEN,2026.0,SOL,9.0555555628,Solar,Bottom-up,No
BEN,2027.0,HFO,821.7500006574,Heavy Fuel Oil,Bottom-up,No
BEN,2027.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2027.0,Imports (NGA),5546.7777822152,Imports (NGA),Bottom-up,No
BEN,2027.0,LFO,80.41666673099999,Light Fuel Oil,Bottom-up,No
BEN,2027.0,NGA,72.9722222806,Natural Gas,Bottom-up,No
BEN,2027.0,SOL,9.0000000072,Solar,Bottom-up,No
BEN,2028.0,HFO,813.1388895394,Heavy Fuel Oil,Bottom-up,No
BEN,2028.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2028.0,Imports (NGA),7131.1111168160005,Imports (NGA),Bottom-up,No
BEN,2028.0,LFO,73.5833333922,Light Fuel Oil,Bottom-up,No
BEN,2028.0,NGA,67.361111165,Natural Gas,Bottom-up,No
BEN,2028.0,SOL,8.9444444516,Solar,Bottom-up,No
BEN,2029.0,HFO,804.5000006436,Heavy Fuel Oil,Bottom-up,No
BEN,2029.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2029.0,Imports (NGA),8738.1111181016,Imports (NGA),Bottom-up,No
BEN,2029.0,LFO,67.4444444984,Light Fuel Oil,Bottom-up,No
BEN,2029.0,NGA,61.7500000494,Natural Gas,Bottom-up,No
BEN,2029.0,SOL,40.0555555876,Solar,Bottom-up,No
BEN,2030.0,HFO,795.8611117478,Heavy Fuel Oil,Bottom-up,No
BEN,2030.0,HYD,1812.1111125608,Hydropower,Bottom-up,No
BEN,2030.0,Imports (NGA),8738.1111181016,Imports (NGA),Bottom-up,No
BEN,2030.0,LFO,61.3055556046,Light Fuel Oil,Bottom-up,No
BEN,2030.0,NGA,56.1388889338,Natural Gas,Bottom-up,No
BEN,2030.0,SOL,89.6111111828,Solar,Bottom-up,No
BEN,2020.0,HFO,231.6388890742,Heavy Fuel Oil,Bottom-up,High
BEN,2020.0,HYD,1812.1111125608,Hydropower,Bottom-up,High
BEN,2020.0,LFO,129.2777778812,Light Fuel Oil,Bottom-up,High
BEN,2020.0,NGA,112.2777778676,Natural Gas,Bottom-up,High
BEN,2020.0,SOL,9.4166666742,Solar,Bottom-up,High
BEN,2021.0,BIO,200.0277779378,Biomass,Bottom-up,High
BEN,2021.0,HFO,32.8055555818,Heavy Fuel Oil,Bottom-up,High
BEN,2021.0,HYD,1812.1111125608,Hydropower,Bottom-up,High
BEN,2021.0,LFO,123.1111112096,Light Fuel Oil,Bottom-up,High
BEN,2021.0,NGA,106.666666752,Natural Gas,Bottom-up,High
BEN,2021.0,SOL,9.3611111186,Solar,Bottom-up,High
BEN,2022.0,BIO,200.0277779378,Biomass,Bottom-up,High
BEN,2022.0,HFO,31.0833333582,Heavy Fuel Oil,Bottom-up,High
BEN,2022.0,HYD,1812.1111125608,Hydropower,Bottom-up,High
BEN,2022.0,Imports (NGA),585.3055560238,Imports (NGA),Bottom-up,High
BEN,2022.0,LFO,116.944444538,Light Fuel Oil,Bottom-up,High
BEN,2022.0,NGA,101.0277778586,Natural Gas,Bottom-up,High
