Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
BFA,2020.0,BIO,9.7777777856,Biomass,Bottom-up,No
BFA,2020.0,HFO,217.6944446186,Heavy Fuel Oil,Bottom-up,No
BFA,2020.0,HYD,54.5555555992,Hydropower,Bottom-up,No
BFA,2020.0,Imports (CIV),1111.1666675556005,Imports (CIV),Bottom-up,No
BFA,2020.0,Imports (GHA),1382.2777788836,Imports (GHA),Bottom-up,No
BFA,2020.0,LFO,222.2222224,Light Fuel Oil,Bottom-up,No
BFA,2020.0,SOL,388.3888891996,Solar,Bottom-up,No
BFA,2021.0,BIO,9.2777777852,Biomass,Bottom-up,No
BFA,2021.0,HFO,206.805555721,Heavy Fuel Oil,Bottom-up,No
BFA,2021.0,HYD,54.5555555992,Hydropower,Bottom-up,No
BFA,2021.0,Imports (CIV),2025.0277793978,Imports (CIV),Bottom-up,No
BFA,2021.0,Imports (GHA),1382.2777788836,Imports (GHA),Bottom-up,No
BFA,2021.0,LFO,213.22222239280003,Light Fuel Oil,Bottom-up,No
BFA,2021.0,SOL,410.138889217,Solar,Bottom-up,No
BFA,2022.0,BIO,8.8055555626,Biomass,Bottom-up,No
BFA,2022.0,HFO,195.9166668234,Heavy Fuel Oil,Bottom-up,No
BFA,2022.0,HYD,98.0277778562,Hydropower,Bottom-up,No
BFA,2022.0,Imports (CIV),2721.3055577326,Imports (CIV),Bottom-up,No
BFA,2022.0,Imports (GHA),1382.2777788836,Imports (GHA),Bottom-up,No
BFA,2022.0,LFO,193.9444445996,Light Fuel Oil,Bottom-up,No
BFA,2022.0,SOL,462.4166670366,Solar,Bottom-up,No
BFA,2023.0,BIO,8.3055555622,Biomass,Bottom-up,No
BFA,2023.0,HFO,185.0277779258,Heavy Fuel Oil,Bottom-up,No
BFA,2023.0,HYD,127.1666667684,Hydropower,Bottom-up,No
BFA,2023.0,Imports (CIV),2042.500001634,Imports (CIV),Bottom-up,No
BFA,2023.0,Imports (GHA),907.222222948,Imports (GHA),Bottom-up,No
BFA,2023.0,Imports (NER),863.9444451356,Imports (NER),Bottom-up,No
BFA,2023.0,LFO,183.3611112578,Light Fuel Oil,Bottom-up,No
BFA,2023.0,SOL,483.6388892758,Solar,Bottom-up,No
BFA,2024.0,BIO,7.8333333396,Biomass,Bottom-up,No
BFA,2024.0,HFO,174.166666806,Heavy Fuel Oil,Bottom-up,No
BFA,2024.0,HYD,127.1666667684,Hydropower,Bottom-up,No
BFA,2024.0,Imports (CIV),2563.5555576064,Imports (CIV),Bottom-up,No
BFA,2024.0,Imports (GHA),551.1388893298,Imports (GHA),Bottom-up,No
BFA,2024.0,Imports (NER),1231.666667652,Imports (NER),Bottom-up,No
BFA,2024.0,LFO,172.50000013800002,Light Fuel Oil,Bottom-up,No
BFA,2024.0,SOL,504.2222226256,Solar,Bottom-up,No
BFA,2025.0,BIO,4.888888892800001,Biomass,Bottom-up,No
BFA,2025.0,HFO,163.2777779084,Heavy Fuel Oil,Bottom-up,No
BFA,2025.0,HYD,127.1666667684,Hydropower,Bottom-up,No
BFA,2025.0,Imports (CIV),2721.3055577326,Imports (CIV),Bottom-up,No
BFA,2025.0,Imports (GHA),990.2500007922,Imports (GHA),Bottom-up,No
BFA,2025.0,Imports (MLI),10.4444444528,Imports (MLI),Bottom-up,No
BFA,2025.0,Imports (NER),1231.666667652,Imports (NER),Bottom-up,No
BFA,2025.0,LFO,157.91666679300002,Light Fuel Oil,Bottom-up,No
BFA,2025.0,SOL,615.8055560482,Solar,Bottom-up,No
BFA,2026.0,BIO,4.388888892400001,Biomass,Bottom-up,No
BFA,2026.0,HFO,152.3888890108,Heavy Fuel Oil,Bottom-up,No
BFA,2026.0,HYD,127.1666667684,Hydropower,Bottom-up,No
BFA,2026.0,Imports (CIV),2510.3055575638004,Imports (CIV),Bottom-up,No
BFA,2026.0,Imports (GHA),865.3333340256,Imports (GHA),Bottom-up,No
BFA,2026.0,Imports (MLI),8.6666666736,Imports (MLI),Bottom-up,No
BFA,2026.0,Imports (NER),1722.6666680448,Imports (NER),Bottom-up,No
BFA,2026.0,LFO,143.3888890036,Light Fuel Oil,Bottom-up,No
BFA,2026.0,SOL,834.9166673346,Solar,Bottom-up,No
BFA,2027.0,BIO,3.9166666698,Biomass,Bottom-up,No
BFA,2027.0,HFO,141.5000001132,Heavy Fuel Oil,Bottom-up,No
BFA,2027.0,HYD,127.1666667684,Hydropower,Bottom-up,No
BFA,2027.0,Imports (CIV),2579.3888909524003,Imports (CIV),Bottom-up,No
BFA,2027.0,Imports (GHA),676.3888894300001,Imports (GHA),Bottom-up,No
BFA,2027.0,Imports (MLI),9.305555563,Imports (MLI),Bottom-up,No
BFA,2027.0,Imports (NER),1897.4166681846,Imports (NER),Bottom-up,No
BFA,2027.0,LFO,133.1388889954,Light Fuel Oil,Bottom-up,No
BFA,2027.0,SOL,1003.611111914,Solar,Bottom-up,No
