Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
CMR,2020,GAS,0.7052940516250036,Natural Gas,Bottom-up,No
CMR,2020,HFO,0.1875,Heavy Fuel Oil,Bottom-up,No
CMR,2020,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2020,LFO,0.5713716339033192,Light Fuel Oil,Bottom-up,No
CMR,2020,SOL,0.0087095,Solar,Bottom-up,No
CMR,2021,GAS,0.8513265140407964,Natural Gas,Bottom-up,No
CMR,2021,HFO,0.178125,Heavy Fuel Oil,Bottom-up,No
CMR,2021,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2021,LFO,0.5631606339033193,Light Fuel Oil,Bottom-up,No
CMR,2021,SOL,0.008409,Solar,Bottom-up,No
CMR,2022,GAS,1.0605043183035212,Natural Gas,Bottom-up,No
CMR,2022,HFO,0.16875,Heavy Fuel Oil,Bottom-up,No
CMR,2022,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2022,LFO,0.5549496339033192,Light Fuel Oil,Bottom-up,No
CMR,2022,SOL,0.0081085,Solar,Bottom-up,No
CMR,2023,GAS,1.2707178125515808,Natural Gas,Bottom-up,No
CMR,2023,HFO,0.159375,Heavy Fuel Oil,Bottom-up,No
CMR,2023,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2023,LFO,0.5467386339033192,Light Fuel Oil,Bottom-up,No
CMR,2023,SOL,0.007808,Solar,Bottom-up,No
CMR,2024,GAS,1.4469861184245294,Natural Gas,Bottom-up,No
CMR,2024,HFO,0.15,Heavy Fuel Oil,Bottom-up,No
CMR,2024,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2024,LFO,0.5385276339033191,Light Fuel Oil,Bottom-up,No
CMR,2024,SOL,0.0075075,Solar,Bottom-up,No
CMR,2025,GAS,1.4394846184245296,Natural Gas,Bottom-up,No
CMR,2025,HFO,0.140625,Heavy Fuel Oil,Bottom-up,No
CMR,2025,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2025,LFO,0.3303166339033192,Light Fuel Oil,Bottom-up,No
CMR,2025,SOL,0.007207,Solar,Bottom-up,No
CMR,2026,GAS,1.4319831184245295,Natural Gas,Bottom-up,No
CMR,2026,HFO,0.13125,Heavy Fuel Oil,Bottom-up,No
CMR,2026,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2026,LFO,0.3205602860038032,Light Fuel Oil,Bottom-up,No
CMR,2026,SOL,0.0069065,Solar,Bottom-up,No
CMR,2027,GAS,1.4244816184245297,Natural Gas,Bottom-up,No
CMR,2027,HFO,0.121875,Heavy Fuel Oil,Bottom-up,No
CMR,2027,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2027,LFO,0.1123492860038032,Light Fuel Oil,Bottom-up,No
CMR,2027,SOL,0.006606,Solar,Bottom-up,No
CMR,2028,GAS,1.4169801184245294,Natural Gas,Bottom-up,No
CMR,2028,HFO,0.1125,Heavy Fuel Oil,Bottom-up,No
CMR,2028,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2028,LFO,0.1041382860038031,Light Fuel Oil,Bottom-up,No
CMR,2028,SOL,0.0063055,Solar,Bottom-up,No
CMR,2029,GAS,1.4094786184245296,Natural Gas,Bottom-up,No
CMR,2029,HFO,0.103125,Heavy Fuel Oil,Bottom-up,No
CMR,2029,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2029,LFO,0.090321,Light Fuel Oil,Bottom-up,No
CMR,2029,SOL,0.006005,Solar,Bottom-up,No
CMR,2030,GAS,1.4019771184245295,Natural Gas,Bottom-up,No
CMR,2030,HFO,0.09375,Heavy Fuel Oil,Bottom-up,No
CMR,2030,HYD,0.9841,Hydropower,Bottom-up,No
CMR,2030,LFO,0.08211,Light Fuel Oil,Bottom-up,No
CMR,2030,SOL,0.0753627157461694,Solar,Bottom-up,No
CMR,2020,GAS,0.3289802531664803,Natural Gas,Bottom-up,High
CMR,2020,HFO,0.1875,Heavy Fuel Oil,Bottom-up,High
CMR,2020,HYD,0.9841,Hydropower,Bottom-up,High
CMR,2020,LFO,0.571371633903318,Light Fuel Oil,Bottom-up,High
CMR,2020,SOL,0.0087095,Solar,Bottom-up,High
CMR,2021,GAS,0.3214787531664803,Natural Gas,Bottom-up,High
CMR,2021,HFO,0.178125,Heavy Fuel Oil,Bottom-up,High
CMR,2021,HYD,1.4041,Hydropower,Bottom-up,High
CMR,2021,LFO,0.5631606339033179,Light Fuel Oil,Bottom-up,High
CMR,2021,SOL,0.008409,Solar,Bottom-up,High
CMR,2022,GAS,0.3139772531664803,Natural Gas,Bottom-up,High
CMR,2022,HFO,0.16875,Heavy Fuel Oil,Bottom-up,High
CMR,2022,HYD,1.4622610790727433,Hydropower,Bottom-up,High
CMR,2022,LFO,0.554949633903318,Light Fuel Oil,Bottom-up,High
CMR,2022,SOL,0.0081085,Solar,Bottom-up,High
CMR,2023,GAS,0.3064757531664803,Natural Gas,Bottom-up,High
CMR,2023,HFO,0.159375,Heavy Fuel Oil,Bottom-up,High
CMR,2023,HYD,1.6551044032858782,Hydropower,Bottom-up,High
CMR,2023,LFO,0.546738633903318,Light Fuel Oil,Bottom-up,High
CMR,2023,SOL,0.007808,Solar,Bottom-up,High
CMR,2024,GAS,0.2989742531664803,Natural Gas,Bottom-up,High
CMR,2024,HFO,0.15,Heavy Fuel Oil,Bottom-up,High
CMR,2024,HYD,1.893926157897665,Hydropower,Bottom-up,High
CMR,2024,LFO,0.538527633903318,Light Fuel Oil,Bottom-up,High
CMR,2024,SOL,0.0075075,Solar,Bottom-up,High
CMR,2025,GAS,0.2914727531664803,Natural Gas,Bottom-up,High
CMR,2025,HFO,0.140625,Heavy Fuel Oil,Bottom-up,High
CMR,2025,HYD,2.082655096151651,Hydropower,Bottom-up,High
CMR,2025,LFO,0.3303166339033179,Light Fuel Oil,Bottom-up,High
CMR,2025,SOL,0.007207,Solar,Bottom-up,High
CMR,2026,GAS,0.2839712531664803,Natural Gas,Bottom-up,High
CMR,2026,HFO,0.13125,Heavy Fuel Oil,Bottom-up,High
CMR,2026,HYD,2.0917771937988205,Hydropower,Bottom-up,High
CMR,2026,LFO,0.3205602860038027,Light Fuel Oil,Bottom-up,High
CMR,2026,SOL,0.0069065,Solar,Bottom-up,High
CMR,2027,GAS,0.2764697531664802,Natural Gas,Bottom-up,High
CMR,2027,HFO,0.121875,Heavy Fuel Oil,Bottom-up,High
CMR,2027,HYD,2.3395889172084017,Hydropower,Bottom-up,High
CMR,2027,LFO,0.1123492860038027,Light Fuel Oil,Bottom-up,High
CMR,2027,SOL,0.006606,Solar,Bottom-up,High
CMR,2028,GAS,0.2814282883293288,Natural Gas,Bottom-up,High
CMR,2028,HFO,0.1125,Heavy Fuel Oil,Bottom-up,High
CMR,2028,HYD,2.5224137905313437,Hydropower,Bottom-up,High
CMR,2028,LFO,0.1041382860038026,Light Fuel Oil,Bottom-up,High
CMR,2028,SOL,0.0063055,Solar,Bottom-up,High
CMR,2029,GAS,0.2739267883293288,Natural Gas,Bottom-up,High
CMR,2029,HFO,0.103125,Heavy Fuel Oil,Bottom-up,High
CMR,2029,HYD,2.879582618932852,Hydropower,Bottom-up,High
CMR,2029,LFO,0.090321,Light Fuel Oil,Bottom-up,High
CMR,2029,SOL,0.0372571780315831,Solar,Bottom-up,High
CMR,2030,GAS,0.2821975273520958,Natural Gas,Bottom-up,High
