Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
EGY,2020.0,EL3E,187585.63903895745,Current electrified,Bottom-up,No
EGY,2021.0,EL3E,205091.0557196284,Current electrified,Bottom-up,No
EGY,2022.0,EL3E,226831.25018146503,Current electrified,Bottom-up,No
EGY,2023.0,EL3E,248515.2224210344,Current electrified,Bottom-up,No
EGY,2024.0,EL3E,270147.4724383402,Current electrified,Bottom-up,No
EGY,2025.0,EL3E,291737.27801116765,Current electrified,Bottom-up,No
EGY,2026.0,EL3E,309611.6946921338,Current electrified,Bottom-up,No
EGY,2027.0,EL3E,327453.333595296,Current electrified,Bottom-up,No
EGY,2028.0,EL3E,345266.944720658,Current electrified,Bottom-up,No
EGY,2029.0,EL3E,363073.36140156974,Current electrified,Bottom-up,No
EGY,2030.0,EL3E,380899.16697138606,Current electrified,Bottom-up,No
EGY,2025.0,LBYEL1,1414.7500011318,Exports (LBY),Bottom-up,No
EGY,2026.0,LBYEL1,1414.7500011318,Exports (LBY),Bottom-up,No
EGY,2030.0,LBYEL1,1015.0277785898,Exports (LBY),Bottom-up,No
EGY,2020.0,EL3E,187585.63903895745,Current electrified,Bottom-up,High
EGY,2021.0,EL3E,205091.0557196284,Current electrified,Bottom-up,High
EGY,2022.0,EL3E,226831.25018146503,Current electrified,Bottom-up,High
EGY,2023.0,EL3E,248515.25019881225,Current electrified,Bottom-up,High
EGY,2024.0,EL3E,270147.4724383402,Current electrified,Bottom-up,High
EGY,2025.0,EL3E,291737.2780111676,Current electrified,Bottom-up,High
EGY,2026.0,EL3E,309611.6946921338,Current electrified,Bottom-up,High
EGY,2027.0,EL3E,327453.333595296,Current electrified,Bottom-up,High
EGY,2028.0,EL3E,345266.944720658,Current electrified,Bottom-up,High
EGY,2029.0,EL3E,363073.36140156974,Current electrified,Bottom-up,High
EGY,2030.0,EL3E,380899.16697138606,Current electrified,Bottom-up,High
EGY,2023.0,LBYEL1,1414.7500011318,Exports (LBY),Bottom-up,High
EGY,2024.0,LBYEL1,923.0833340718,Exports (LBY),Bottom-up,High
EGY,2020.0,EL3E,187585.63903895745,Current electrified,Top-down high,No
EGY,2021.0,EL3E,205091.0557196284,Current electrified,Top-down high,No
EGY,2022.0,EL3E,226831.25018146503,Current electrified,Top-down high,No
EGY,2023.0,EL3E,248515.2224210344,Current electrified,Top-down high,No
EGY,2024.0,EL3E,270147.4724383402,Current electrified,Top-down high,No
EGY,2025.0,EL3E,291737.27801116765,Current electrified,Top-down high,No
EGY,2026.0,EL3E,309611.6946921338,Current electrified,Top-down high,No
EGY,2027.0,EL3E,327453.333595296,Current electrified,Top-down high,No
EGY,2028.0,EL3E,345266.944720658,Current electrified,Top-down high,No
EGY,2029.0,EL3E,363073.36140156974,Current electrified,Top-down high,No
EGY,2030.0,EL3E,380899.16697138606,Current electrified,Top-down high,No
EGY,2025.0,SDNEL1,64.94444449640001,Exports (SDN),Top-down high,No
EGY,2026.0,LBYEL1,1414.7500011318,Exports (LBY),Top-down high,No
EGY,2026.0,SDNEL1,1644.5277790934,Exports (SDN),Top-down high,No
EGY,2027.0,SDNEL1,462.7500003702,Exports (SDN),Top-down high,No
EGY,2030.0,LBYEL1,1015.0277785898,Exports (LBY),Top-down high,No
EGY,2020.0,EL3E,187585.63903895745,Current electrified,Top-down high,High
EGY,2021.0,EL3E,205091.0557196284,Current electrified,Top-down high,High
EGY,2022.0,EL3E,226831.25018146503,Current electrified,Top-down high,High
EGY,2023.0,EL3E,248515.25019881225,Current electrified,Top-down high,High
EGY,2024.0,EL3E,270147.4724383402,Current electrified,Top-down high,High
EGY,2025.0,EL3E,291737.2780111676,Current electrified,Top-down high,High
EGY,2026.0,EL3E,309611.6946921338,Current electrified,Top-down high,High
EGY,2027.0,EL3E,327453.333595296,Current electrified,Top-down high,High
EGY,2028.0,EL3E,345266.944720658,Current electrified,Top-down high,High
EGY,2029.0,EL3E,363073.36140156974,Current electrified,Top-down high,High
EGY,2030.0,EL3E,380899.16697138606,Current electrified,Top-down high,High
EGY,2023.0,LBYEL1,1414.7500011318,Exports (LBY),Top-down high,High
EGY,2024.0,LBYEL1,586.1944449134,Exports (LBY),Top-down high,High
EGY,2020.0,EL3E,187585.63903895745,Current electrified,Top-down low,No
EGY,2021.0,EL3E,205091.0557196284,Current electrified,Top-down low,No
EGY,2022.0,EL3E,226831.25018146503,Current electrified,Top-down low,No
EGY,2023.0,EL3E,248515.2224210344,Current electrified,Top-down low,No
EGY,2024.0,EL3E,270147.4724383402,Current electrified,Top-down low,No
EGY,2025.0,EL3E,291737.27801116765,Current electrified,Top-down low,No
EGY,2026.0,EL3E,309611.6946921338,Current electrified,Top-down low,No
EGY,2027.0,EL3E,327453.333595296,Current electrified,Top-down low,No
EGY,2028.0,EL3E,345266.944720658,Current electrified,Top-down low,No
EGY,2029.0,EL3E,363073.36140156974,Current electrified,Top-down low,No
EGY,2030.0,EL3E,380899.16697138606,Current electrified,Top-down low,No
EGY,2026.0,LBYEL1,628.1388893914,Exports (LBY),Top-down low,No
EGY,2030.0,LBYEL1,1015.0277785898,Exports (LBY),Top-down low,No
EGY,2020.0,EL3E,187585.63903895745,Current electrified,Top-down low,High
EGY,2021.0,EL3E,205091.0557196284,Current electrified,Top-down low,High
EGY,2022.0,EL3E,226831.25018146503,Current electrified,Top-down low,High
EGY,2023.0,EL3E,248515.25019881225,Current electrified,Top-down low,High
EGY,2024.0,EL3E,270147.4724383402,Current electrified,Top-down low,High
EGY,2025.0,EL3E,291737.2780111676,Current electrified,Top-down low,High
EGY,2026.0,EL3E,309611.6946921338,Current electrified,Top-down low,High
EGY,2027.0,EL3E,327453.333595296,Current electrified,Top-down low,High
EGY,2028.0,EL3E,345266.944720658,Current electrified,Top-down low,High
EGY,2029.0,EL3E,363073.36140156974,Current electrified,Top-down low,High
