Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
GAB,2020.0,HFO,568.2777782324,Heavy Fuel Oil,Bottom-up,No
GAB,2020.0,HYD,1761.805556965,Hydropower,Bottom-up,No
GAB,2020.0,LFO,278.4166668894,Light Fuel Oil,Bottom-up,No
GAB,2020.0,NGA,1165.3333342656,Natural Gas,Bottom-up,No
GAB,2020.0,SOL,1.0000000008,Solar,Bottom-up,No
GAB,2021.0,HFO,539.861111543,Heavy Fuel Oil,Bottom-up,No
GAB,2021.0,HYD,1761.805556965,Hydropower,Bottom-up,No
GAB,2021.0,LFO,266.944444658,Light Fuel Oil,Bottom-up,No
GAB,2021.0,NGA,1343.7222232972,Natural Gas,Bottom-up,No
GAB,2021.0,SOL,0.9444444452,Solar,Bottom-up,No
GAB,2022.0,HFO,511.4444448536,Heavy Fuel Oil,Bottom-up,No
GAB,2022.0,HYD,1761.805556965,Hydropower,Bottom-up,No
GAB,2022.0,LFO,276.75000022140006,Light Fuel Oil,Bottom-up,No
GAB,2022.0,NGA,1620.0277790738,Natural Gas,Bottom-up,No
GAB,2022.0,SOL,0.8888888896000001,Solar,Bottom-up,No
GAB,2023.0,HFO,483.0277781642,Heavy Fuel Oil,Bottom-up,No
GAB,2023.0,HYD,2073.055557214,Hydropower,Bottom-up,No
GAB,2023.0,LFO,269.9722224382,Light Fuel Oil,Bottom-up,No
GAB,2023.0,NGA,1611.3333346224,Natural Gas,Bottom-up,No
GAB,2023.0,SOL,0.8611111118,Solar,Bottom-up,No
GAB,2024.0,HFO,454.61111147480005,Heavy Fuel Oil,Bottom-up,No
GAB,2024.0,HYD,2382.8333352396,Hydropower,Bottom-up,No
GAB,2024.0,LFO,263.19444465500004,Light Fuel Oil,Bottom-up,No
GAB,2024.0,NGA,1602.638890171,Natural Gas,Bottom-up,No
GAB,2024.0,SOL,0.8055555562,Solar,Bottom-up,No
GAB,2025.0,HFO,426.2222225632,Heavy Fuel Oil,Bottom-up,No
GAB,2025.0,HYD,2720.8611132878,Hydropower,Bottom-up,No
GAB,2025.0,LFO,238.5555557464,Light Fuel Oil,Bottom-up,No
GAB,2025.0,NGA,1593.9444457196,Natural Gas,Bottom-up,No
GAB,2025.0,SOL,0.7500000006,Solar,Bottom-up,No
GAB,2026.0,HFO,397.8055558738,Heavy Fuel Oil,Bottom-up,No
GAB,2026.0,HYD,2894.9722245382,Hydropower,Bottom-up,No
GAB,2026.0,LFO,185.138889037,Light Fuel Oil,Bottom-up,No
GAB,2026.0,NGA,1585.2500012682,Natural Gas,Bottom-up,No
GAB,2026.0,SOL,126.805555657,Solar,Bottom-up,No
GAB,2027.0,HFO,369.38888918440006,Heavy Fuel Oil,Bottom-up,No
GAB,2027.0,HYD,2911.1666689956,Hydropower,Bottom-up,No
GAB,2027.0,LFO,125.4722223226,Light Fuel Oil,Bottom-up,No
