Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
GAB,2020,GAS,0.2576926898426517,Natural Gas,Bottom-up,No
GAB,2020,HFO,0.0848,Heavy Fuel Oil,Bottom-up,No
GAB,2020,HYD,0.42706,Hydropower,Bottom-up,No
GAB,2020,LFO,0.1606353407144503,Light Fuel Oil,Bottom-up,No
GAB,2020,SOL,0.00095,Solar,Bottom-up,No
GAB,2021,GAS,0.2767399987923534,Natural Gas,Bottom-up,No
GAB,2021,HFO,0.08056,Heavy Fuel Oil,Bottom-up,No
GAB,2021,HYD,0.42706,Hydropower,Bottom-up,No
GAB,2021,LFO,0.1555771407144503,Light Fuel Oil,Bottom-up,No
GAB,2021,SOL,0.0009,Solar,Bottom-up,No
GAB,2022,GAS,0.3090010019664054,Natural Gas,Bottom-up,No
GAB,2022,HFO,0.07632,Heavy Fuel Oil,Bottom-up,No
GAB,2022,HYD,0.42706,Hydropower,Bottom-up,No
GAB,2022,LFO,0.1505189407144503,Light Fuel Oil,Bottom-up,No
GAB,2022,SOL,0.00085,Solar,Bottom-up,No
GAB,2023,GAS,0.3028055019664054,Natural Gas,Bottom-up,No
GAB,2023,HFO,0.07208,Heavy Fuel Oil,Bottom-up,No
GAB,2023,HYD,0.5018573675734825,Hydropower,Bottom-up,No
GAB,2023,LFO,0.1454607407144503,Light Fuel Oil,Bottom-up,No
GAB,2023,SOL,0.0008,Solar,Bottom-up,No
GAB,2024,GAS,0.2966100019664054,Natural Gas,Bottom-up,No
GAB,2024,HFO,0.06784,Heavy Fuel Oil,Bottom-up,No
GAB,2024,HYD,0.5763087311058153,Hydropower,Bottom-up,No
GAB,2024,LFO,0.1404025407144503,Light Fuel Oil,Bottom-up,No
GAB,2024,SOL,0.00075,Solar,Bottom-up,No
GAB,2025,GAS,0.2904145019664054,Natural Gas,Bottom-up,No
GAB,2025,HFO,0.0636,Heavy Fuel Oil,Bottom-up,No
GAB,2025,HYD,0.6575457648997242,Hydropower,Bottom-up,No
GAB,2025,LFO,0.1284806950381609,Light Fuel Oil,Bottom-up,No
GAB,2025,SOL,0.0007,Solar,Bottom-up,No
GAB,2026,GAS,0.2842190019664053,Natural Gas,Bottom-up,No
GAB,2026,HFO,0.05936,Heavy Fuel Oil,Bottom-up,No
GAB,2026,HYD,0.6993911649559182,Hydropower,Bottom-up,No
GAB,2026,LFO,0.1084846717569179,Light Fuel Oil,Bottom-up,No
GAB,2026,SOL,0.0657550933259449,Solar,Bottom-up,No
GAB,2027,GAS,0.2780235019664054,Natural Gas,Bottom-up,No
GAB,2027,HFO,0.05512,Heavy Fuel Oil,Bottom-up,No
GAB,2027,HYD,0.7032768298170304,Hydropower,Bottom-up,No
GAB,2027,LFO,0.0880406926436343,Light Fuel Oil,Bottom-up,No
GAB,2027,SOL,0.1417789628076028,Solar,Bottom-up,No
GAB,2028,GAS,0.2718280019664054,Natural Gas,Bottom-up,No
GAB,2028,HFO,0.05088,Heavy Fuel Oil,Bottom-up,No
GAB,2028,HYD,0.7032768298170304,Hydropower,Bottom-up,No
GAB,2028,LFO,0.0606984,Light Fuel Oil,Bottom-up,No
GAB,2028,SOL,0.2386062894112079,Solar,Bottom-up,No
GAB,2029,GAS,0.2656325019664054,Natural Gas,Bottom-up,No
GAB,2029,HFO,0.04664,Heavy Fuel Oil,Bottom-up,No
GAB,2029,HYD,0.7038372909610797,Hydropower,Bottom-up,No
GAB,2029,LFO,0.0556402,Light Fuel Oil,Bottom-up,No
GAB,2029,SOL,0.267932558609784,Solar,Bottom-up,No
GAB,2030,GAS,0.2594370019664054,Natural Gas,Bottom-up,No
GAB,2030,HFO,0.0424,Heavy Fuel Oil,Bottom-up,No
