Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
KEN,2020,BIO,0.09252,Biomass,Bottom-up,No
KEN,2020,GEO,0.6204999999999999,Geothermal,Bottom-up,No
KEN,2020,HFO,0.661608,Heavy Fuel Oil,Bottom-up,No
KEN,2020,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2020,LFO,0.4049502140664079,Light Fuel Oil,Bottom-up,No
KEN,2020,SOL,0.28897095,Solar,Bottom-up,No
KEN,2020,WIN,0.4909,Wind,Bottom-up,No
KEN,2021,BIO,0.088794,Biomass,Bottom-up,No
KEN,2021,GEO,0.6675,Geothermal,Bottom-up,No
KEN,2021,HFO,0.6366776,Heavy Fuel Oil,Bottom-up,No
KEN,2021,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2021,LFO,0.386256114066408,Light Fuel Oil,Bottom-up,No
KEN,2021,SOL,0.3978728999999999,Solar,Bottom-up,No
KEN,2021,WIN,0.59992,Wind,Bottom-up,No
KEN,2022,BIO,0.085068,Biomass,Bottom-up,No
KEN,2022,GEO,0.9325,Geothermal,Bottom-up,No
KEN,2022,HFO,0.6117472,Heavy Fuel Oil,Bottom-up,No
KEN,2022,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2022,LFO,0.367562014066408,Light Fuel Oil,Bottom-up,No
KEN,2022,SOL,0.48677485,Solar,Bottom-up,No
KEN,2022,WIN,0.7899400000000001,Wind,Bottom-up,No
KEN,2023,BIO,0.081342,Biomass,Bottom-up,No
KEN,2023,GEO,1.2275,Geothermal,Bottom-up,No
KEN,2023,HFO,0.5868168,Heavy Fuel Oil,Bottom-up,No
KEN,2023,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2023,LFO,0.348867914066408,Light Fuel Oil,Bottom-up,No
KEN,2023,SOL,0.5956768,Solar,Bottom-up,No
KEN,2023,WIN,0.8289600000000001,Wind,Bottom-up,No
KEN,2024,BIO,0.077616,Biomass,Bottom-up,No
KEN,2024,COA,0.981,Coal,Bottom-up,No
KEN,2024,GEO,1.5375,Geothermal,Bottom-up,No
KEN,2024,HFO,0.5618864,Heavy Fuel Oil,Bottom-up,No
KEN,2024,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2024,LFO,0.330173814066408,Light Fuel Oil,Bottom-up,No
KEN,2024,SOL,0.7255787499999999,Solar,Bottom-up,No
KEN,2024,WIN,0.92798,Wind,Bottom-up,No
KEN,2025,BIO,0.05526,Biomass,Bottom-up,No
KEN,2025,COA,0.981,Coal,Bottom-up,No
KEN,2025,GEO,1.7775414639691078,Geothermal,Bottom-up,No
KEN,2025,HFO,0.536956,Heavy Fuel Oil,Bottom-up,No
KEN,2025,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2025,LFO,0.3050978257813423,Light Fuel Oil,Bottom-up,No
KEN,2025,SOL,0.7244807,Solar,Bottom-up,No
KEN,2025,WIN,0.927,Wind,Bottom-up,No
KEN,2026,BIO,0.0515339999999999,Biomass,Bottom-up,No
KEN,2026,COA,0.981,Coal,Bottom-up,No
KEN,2026,GEO,2.277116463969108,Geothermal,Bottom-up,No
KEN,2026,HFO,0.5120256,Heavy Fuel Oil,Bottom-up,No
KEN,2026,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2026,LFO,0.2668440932959325,Light Fuel Oil,Bottom-up,No
KEN,2026,SOL,0.72338265,Solar,Bottom-up,No
KEN,2026,WIN,0.92602,Wind,Bottom-up,No
KEN,2027,BIO,0.047808,Biomass,Bottom-up,No
KEN,2027,COA,0.981,Coal,Bottom-up,No
KEN,2027,GEO,2.5860503714205763,Geothermal,Bottom-up,No
KEN,2027,HFO,0.4870952,Heavy Fuel Oil,Bottom-up,No
KEN,2027,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2027,LFO,0.2474641994843056,Light Fuel Oil,Bottom-up,No
KEN,2027,SOL,0.7222845999999999,Solar,Bottom-up,No
KEN,2027,WIN,0.92504,Wind,Bottom-up,No
KEN,2028,BIO,0.0440819999999999,Biomass,Bottom-up,No
KEN,2028,COA,0.981,Coal,Bottom-up,No
KEN,2028,GEO,2.9122123123671573,Geothermal,Bottom-up,No
KEN,2028,HFO,0.4621648,Heavy Fuel Oil,Bottom-up,No
KEN,2028,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2028,LFO,0.2243292,Light Fuel Oil,Bottom-up,No
KEN,2028,SOL,0.72118655,Solar,Bottom-up,No
KEN,2028,WIN,0.92406,Wind,Bottom-up,No
KEN,2029,BIO,0.040356,Biomass,Bottom-up,No
KEN,2029,COA,0.981,Coal,Bottom-up,No
KEN,2029,GEO,3.076002802066869,Geothermal,Bottom-up,No
KEN,2029,HFO,0.4372344,Heavy Fuel Oil,Bottom-up,No
KEN,2029,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2029,LFO,0.2056351,Light Fuel Oil,Bottom-up,No
KEN,2029,SOL,1.086416753474468,Solar,Bottom-up,No
KEN,2029,WIN,0.92308,Wind,Bottom-up,No
KEN,2030,BIO,0.0366299999999999,Biomass,Bottom-up,No
KEN,2030,COA,0.981,Coal,Bottom-up,No
KEN,2030,GEO,3.363511727282893,Geothermal,Bottom-up,No
KEN,2030,HFO,0.412304,Heavy Fuel Oil,Bottom-up,No
KEN,2030,HYD,0.8122870000000001,Hydropower,Bottom-up,No
KEN,2030,LFO,0.186941,Light Fuel Oil,Bottom-up,No
