Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
NAM,2020.0,COA,168.3888890236,Coal,Bottom-up,No
NAM,2020.0,HFO,64.2777778292,Heavy Fuel Oil,Bottom-up,No
NAM,2020.0,HYD,1468.8333345084,Hydropower,Bottom-up,No
NAM,2020.0,Imports (ZAF),3875.9444475452,Imports (ZAF),Bottom-up,No
NAM,2020.0,LFO,15.8055555682,Light Fuel Oil,Bottom-up,No
NAM,2020.0,SOL,103.9444445276,Solar,Bottom-up,No
NAM,2020.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2021.0,COA,168.3888890236,Coal,Bottom-up,No
NAM,2021.0,HFO,61.0555556044,Heavy Fuel Oil,Bottom-up,No
NAM,2021.0,HYD,1468.8333345084,Hydropower,Bottom-up,No
NAM,2021.0,Imports (ZAF),5034.0833373606,Imports (ZAF),Bottom-up,No
NAM,2021.0,LFO,17.833333347600004,Light Fuel Oil,Bottom-up,No
NAM,2021.0,SOL,102.4444445264,Solar,Bottom-up,No
NAM,2021.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2022.0,BIO,0.3611111114,Biomass,Bottom-up,No
NAM,2022.0,COA,332.1388891546,Coal,Bottom-up,No
NAM,2022.0,HFO,57.8333333796,Heavy Fuel Oil,Bottom-up,No
NAM,2022.0,HYD,1468.8333345084,Hydropower,Bottom-up,No
NAM,2022.0,Imports (ZAF),5826.8888935504,Imports (ZAF),Bottom-up,No
NAM,2022.0,Imports (ZWE),308.0000002464,Imports (ZWE),Bottom-up,No
NAM,2022.0,LFO,18.8611111262,Light Fuel Oil,Bottom-up,No
NAM,2022.0,SOL,100.9444445252,Solar,Bottom-up,No
NAM,2022.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2023.0,BIO,0.3333333336,Biomass,Bottom-up,No
NAM,2023.0,COA,311.30555580460003,Coal,Bottom-up,No
NAM,2023.0,HFO,71.63888894620001,Heavy Fuel Oil,Bottom-up,No
NAM,2023.0,HYD,1468.8333345084,Hydropower,Bottom-up,No
NAM,2023.0,Imports (ZAF),6241.5000049932005,Imports (ZAF),Bottom-up,No
NAM,2023.0,Imports (ZWE),1280.1111121351998,Imports (ZWE),Bottom-up,No
NAM,2023.0,LFO,17.527777791800002,Light Fuel Oil,Bottom-up,No
NAM,2023.0,SOL,99.444444524,Solar,Bottom-up,No
NAM,2023.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2024.0,BIO,0.8055555562,Biomass,Bottom-up,No
NAM,2024.0,COA,524.0555559748001,Coal,Bottom-up,No
NAM,2024.0,HFO,107.1111111968,Heavy Fuel Oil,Bottom-up,No
NAM,2024.0,HYD,1468.8333345084,Hydropower,Bottom-up,No
NAM,2024.0,Imports (ZAF),4803.027781620201,Imports (ZAF),Bottom-up,No
NAM,2024.0,Imports (ZWE),1487.638890079,Imports (ZWE),Bottom-up,No
NAM,2024.0,LFO,16.6111111244,Light Fuel Oil,Bottom-up,No
NAM,2024.0,NGA,2490.3611131034,Natural Gas,Bottom-up,No
NAM,2024.0,SOL,97.9722223006,Solar,Bottom-up,No
NAM,2024.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2025.0,BIO,0.5000000004,Biomass,Bottom-up,No
NAM,2025.0,COA,715.7222227948,Coal,Bottom-up,No
NAM,2025.0,HFO,100.416666747,Heavy Fuel Oil,Bottom-up,No
NAM,2025.0,HYD,1870.972223719,Hydropower,Bottom-up,No
NAM,2025.0,Imports (ZAF),4855.1666705508005,Imports (ZAF),Bottom-up,No
NAM,2025.0,Imports (ZWE),1924.8055570954,Imports (ZWE),Bottom-up,No
NAM,2025.0,LFO,15.833333346000002,Light Fuel Oil,Bottom-up,No
NAM,2025.0,NGA,2851.0277800586,Natural Gas,Bottom-up,No
NAM,2025.0,SOL,96.4722222994,Solar,Bottom-up,No
NAM,2025.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2026.0,BIO,0.4444444448,Biomass,Bottom-up,No
NAM,2026.0,COA,673.61111165,Coal,Bottom-up,No
NAM,2026.0,HFO,93.7222222972,Heavy Fuel Oil,Bottom-up,No
NAM,2026.0,HYD,2191.388890642,Hydropower,Bottom-up,No
NAM,2026.0,Imports (ZAF),4892.5833372474,Imports (ZAF),Bottom-up,No
NAM,2026.0,Imports (ZWE),1919.6666682024,Imports (ZWE),Bottom-up,No
NAM,2026.0,LFO,13.194444455,Light Fuel Oil,Bottom-up,No
NAM,2026.0,NGA,3344.166669342,Natural Gas,Bottom-up,No
NAM,2026.0,SOL,779.8055561794,Solar,Bottom-up,No
NAM,2026.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2027.0,BIO,0.3888888892,Biomass,Bottom-up,No
NAM,2027.0,COA,631.5000005052001,Coal,Bottom-up,No
NAM,2027.0,HFO,65.555555608,Heavy Fuel Oil,Bottom-up,No
NAM,2027.0,HYD,2687.5277799278,Hydropower,Bottom-up,No
NAM,2027.0,Imports (ZAF),4980.5277817622,Imports (ZAF),Bottom-up,No
NAM,2027.0,Imports (ZWE),1765.972223635,Imports (ZWE),Bottom-up,No
NAM,2027.0,LFO,12.9444444548,Light Fuel Oil,Bottom-up,No
NAM,2027.0,NGA,3759.583336341,Natural Gas,Bottom-up,No
NAM,2027.0,SOL,1591.1944457174,Solar,Bottom-up,No
NAM,2027.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2028.0,BIO,0.3611111114,Biomass,Bottom-up,No
NAM,2028.0,COA,589.4166671382001,Coal,Bottom-up,No
NAM,2028.0,HFO,60.52777782620001,Heavy Fuel Oil,Bottom-up,No
NAM,2028.0,HYD,2751.3055577566,Hydropower,Bottom-up,No
NAM,2028.0,Imports (ZAF),4403.194447967,Imports (ZAF),Bottom-up,No
NAM,2028.0,Imports (ZWE),1740.2500013922,Imports (ZWE),Bottom-up,No
NAM,2028.0,LFO,9.5000000076,Light Fuel Oil,Bottom-up,No
NAM,2028.0,NGA,4213.5555589264,Natural Gas,Bottom-up,No
NAM,2028.0,SOL,3435.1111138592005,Solar,Bottom-up,No
NAM,2028.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2029.0,BIO,0.3055555558,Biomass,Bottom-up,No
NAM,2029.0,COA,547.3055559934,Coal,Bottom-up,No
NAM,2029.0,HFO,55.4722222666,Heavy Fuel Oil,Bottom-up,No
NAM,2029.0,HYD,2796.0277800146,Hydropower,Bottom-up,No
NAM,2029.0,Imports (ZAF),4103.1666699492,Imports (ZAF),Bottom-up,No
NAM,2029.0,Imports (ZMB),601.2222227032,Imports (ZMB),Bottom-up,No
NAM,2029.0,Imports (ZWE),1666.1944457774002,Imports (ZWE),Bottom-up,No
NAM,2029.0,LFO,8.6944444514,Light Fuel Oil,Bottom-up,No
NAM,2029.0,NGA,4151.0833366542,Natural Gas,Bottom-up,No
NAM,2029.0,SOL,5297.7500042382,Solar,Bottom-up,No
NAM,2029.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2030.0,BIO,0.2500000002,Biomass,Bottom-up,No
NAM,2030.0,COA,505.1944448486,Coal,Bottom-up,No
NAM,2030.0,HFO,50.44444448480001,Heavy Fuel Oil,Bottom-up,No
NAM,2030.0,HYD,2796.0277800146,Hydropower,Bottom-up,No
NAM,2030.0,Imports (ZAF),3900.9444475652,Imports (ZAF),Bottom-up,No
NAM,2030.0,Imports (ZMB),1653.9166679898,Imports (ZMB),Bottom-up,No
NAM,2030.0,Imports (ZWE),1813.1666681172,Imports (ZWE),Bottom-up,No
NAM,2030.0,LFO,7.916666673000001,Light Fuel Oil,Bottom-up,No
NAM,2030.0,NGA,3710.0833363014,Natural Gas,Bottom-up,No
NAM,2030.0,SOL,7160.361116839399,Solar,Bottom-up,No
NAM,2030.0,WIN,15.1944444566,Wind,Bottom-up,No
NAM,2020.0,BIO,1.0000000008,Biomass,Bottom-up,High
NAM,2020.0,COA,168.3888890236,Coal,Bottom-up,High
NAM,2020.0,HFO,64.2777778292,Heavy Fuel Oil,Bottom-up,High
NAM,2020.0,HYD,1468.8333345084,Hydropower,Bottom-up,High
NAM,2020.0,Imports (ZAF),3874.9444475444,Imports (ZAF),Bottom-up,High
NAM,2020.0,LFO,15.8055555682,Light Fuel Oil,Bottom-up,High
NAM,2020.0,SOL,103.9444445276,Solar,Bottom-up,High
NAM,2020.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2021.0,BIO,0.9444444452,Biomass,Bottom-up,High
NAM,2021.0,COA,168.3888890236,Coal,Bottom-up,High
NAM,2021.0,HFO,61.0555556044,Heavy Fuel Oil,Bottom-up,High
NAM,2021.0,HYD,1468.8333345084,Hydropower,Bottom-up,High
NAM,2021.0,Imports (ZAF),2536.527779807001,Imports (ZAF),Bottom-up,High
NAM,2021.0,Imports (ZMB),2496.6111131084003,Imports (ZMB),Bottom-up,High
NAM,2021.0,LFO,17.833333347600004,Light Fuel Oil,Bottom-up,High
NAM,2021.0,SOL,102.4444445264,Solar,Bottom-up,High
NAM,2021.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2022.0,BIO,0.8888888896000001,Biomass,Bottom-up,High
NAM,2022.0,COA,168.3888890236,Coal,Bottom-up,High
NAM,2022.0,HFO,57.8333333796,Heavy Fuel Oil,Bottom-up,High
NAM,2022.0,HYD,1468.8333345084,Hydropower,Bottom-up,High
NAM,2022.0,Imports (ZAF),3973.8055587346,Imports (ZAF),Bottom-up,High
NAM,2022.0,Imports (ZMB),2326.3055574166,Imports (ZMB),Bottom-up,High
NAM,2022.0,LFO,17.027777791400002,Light Fuel Oil,Bottom-up,High
NAM,2022.0,SOL,100.9444445252,Solar,Bottom-up,High
NAM,2022.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2023.0,BIO,0.8611111118,Biomass,Bottom-up,High
NAM,2023.0,COA,159.97222235019998,Coal,Bottom-up,High
NAM,2023.0,HFO,54.6388889326,Heavy Fuel Oil,Bottom-up,High
NAM,2023.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2023.0,Imports (ZMB),2087.2777794476,Imports (ZMB),Bottom-up,High
NAM,2023.0,LFO,16.250000013,Light Fuel Oil,Bottom-up,High
NAM,2023.0,SOL,99.444444524,Solar,Bottom-up,High
NAM,2023.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2024.0,BIO,0.8055555562,Biomass,Bottom-up,High
NAM,2024.0,COA,151.5555556768,Coal,Bottom-up,High
NAM,2024.0,HFO,51.4166667078,Heavy Fuel Oil,Bottom-up,High
NAM,2024.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2024.0,Imports (ZMB),2090.5833350058,Imports (ZMB),Bottom-up,High
NAM,2024.0,Imports (ZWE),2223.2500017786,Imports (ZWE),Bottom-up,High
NAM,2024.0,LFO,15.4444444568,Light Fuel Oil,Bottom-up,High
NAM,2024.0,SOL,97.9722223006,Solar,Bottom-up,High
NAM,2024.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2025.0,BIO,0.5000000004,Biomass,Bottom-up,High
NAM,2025.0,COA,143.1388890034,Coal,Bottom-up,High
NAM,2025.0,HFO,48.194444483,Heavy Fuel Oil,Bottom-up,High
NAM,2025.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2025.0,Imports (ZMB),2068.1111127656,Imports (ZMB),Bottom-up,High
NAM,2025.0,Imports (ZWE),2347.361112989,Imports (ZWE),Bottom-up,High
NAM,2025.0,LFO,13.361111121800002,Light Fuel Oil,Bottom-up,High
NAM,2025.0,SOL,773.6666672856,Solar,Bottom-up,High
NAM,2025.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2026.0,BIO,0.4444444448,Biomass,Bottom-up,High
NAM,2026.0,COA,134.72222233,Coal,Bottom-up,High
NAM,2026.0,HFO,45.000000036,Heavy Fuel Oil,Bottom-up,High
NAM,2026.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2026.0,Imports (ZAF),265.7500002126,Imports (ZAF),Bottom-up,High
NAM,2026.0,Imports (ZMB),2134.5833350410003,Imports (ZMB),Bottom-up,High
NAM,2026.0,Imports (ZWE),2110.0000016880003,Imports (ZWE),Bottom-up,High
NAM,2026.0,LFO,12.0277777874,Light Fuel Oil,Bottom-up,High
NAM,2026.0,SOL,1520.9444456612,Solar,Bottom-up,High
NAM,2026.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2027.0,BIO,0.3888888892,Biomass,Bottom-up,High
NAM,2027.0,COA,126.3055556566,Coal,Bottom-up,High
NAM,2027.0,HFO,41.7777778112,Heavy Fuel Oil,Bottom-up,High
NAM,2027.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2027.0,Imports (ZMB),1994.0555571508005,Imports (ZMB),Bottom-up,High
NAM,2027.0,Imports (ZWE),2016.8611127246,Imports (ZWE),Bottom-up,High
NAM,2027.0,LFO,11.1666666756,Light Fuel Oil,Bottom-up,High
NAM,2027.0,SOL,3175.6944469850005,Solar,Bottom-up,High
NAM,2027.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2028.0,BIO,0.3611111114,Biomass,Bottom-up,High
NAM,2028.0,COA,117.8888889832,Coal,Bottom-up,High
NAM,2028.0,HFO,38.5555555864,Heavy Fuel Oil,Bottom-up,High
NAM,2028.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2028.0,Imports (ZAF),191.4444445976,Imports (ZAF),Bottom-up,High
NAM,2028.0,Imports (ZMB),1950.277779338,Imports (ZMB),Bottom-up,High
NAM,2028.0,Imports (ZWE),2205.972223987,Imports (ZWE),Bottom-up,High
NAM,2028.0,LFO,9.5000000076,Light Fuel Oil,Bottom-up,High
NAM,2028.0,SOL,4367.1666701604,Solar,Bottom-up,High
NAM,2028.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2029.0,BIO,0.3055555558,Biomass,Bottom-up,High
NAM,2029.0,COA,109.4722223098,Coal,Bottom-up,High
NAM,2029.0,HFO,35.333333361600005,Heavy Fuel Oil,Bottom-up,High
NAM,2029.0,HYD,8322.0000066576,Hydropower,Bottom-up,High
NAM,2029.0,Imports (ZAF),540.833333766,Imports (ZAF),Bottom-up,High
NAM,2029.0,Imports (ZMB),2002.4722238242,Imports (ZMB),Bottom-up,High
NAM,2029.0,Imports (ZWE),2072.6388905470003,Imports (ZWE),Bottom-up,High
NAM,2029.0,LFO,8.6944444514,Light Fuel Oil,Bottom-up,High
NAM,2029.0,SOL,5982.7777825640005,Solar,Bottom-up,High
NAM,2029.0,WIN,15.1944444566,Wind,Bottom-up,High
NAM,2030.0,BIO,0.2500000002,Biomass,Bottom-up,High
