Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
NAM,2020,BIO,0.00025,Biomass,Bottom-up,No
NAM,2020,COA,0.12,Coal,Bottom-up,No
NAM,2020,HFO,0.04795,Heavy Fuel Oil,Bottom-up,No
NAM,2020,HYD,0.353,Hydropower,Bottom-up,No
NAM,2020,LFO,0.0171389225355807,Light Fuel Oil,Bottom-up,No
NAM,2020,SOL,0.05576305,Solar,Bottom-up,No
NAM,2020,WIN,0.006,Wind,Bottom-up,No
NAM,2021,BIO,0.0002375,Biomass,Bottom-up,No
NAM,2021,COA,0.12,Coal,Bottom-up,No
NAM,2021,HFO,0.0455525,Heavy Fuel Oil,Bottom-up,No
NAM,2021,HYD,0.353,Hydropower,Bottom-up,No
NAM,2021,LFO,0.0165489225355807,Light Fuel Oil,Bottom-up,No
NAM,2021,SOL,0.0549611,Solar,Bottom-up,No
NAM,2021,WIN,0.006,Wind,Bottom-up,No
NAM,2022,BIO,0.000225,Biomass,Bottom-up,No
NAM,2022,COA,0.12,Coal,Bottom-up,No
NAM,2022,HFO,0.043155,Heavy Fuel Oil,Bottom-up,No
NAM,2022,HYD,0.353,Hydropower,Bottom-up,No
NAM,2022,LFO,0.0159589225355806,Light Fuel Oil,Bottom-up,No
NAM,2022,SOL,0.05415915,Solar,Bottom-up,No
NAM,2022,WIN,0.006,Wind,Bottom-up,No
NAM,2023,BIO,0.0002125,Biomass,Bottom-up,No
NAM,2023,COA,0.114,Coal,Bottom-up,No
NAM,2023,HFO,0.0407575,Heavy Fuel Oil,Bottom-up,No
NAM,2023,HYD,0.353,Hydropower,Bottom-up,No
NAM,2023,LFO,0.0153689225355807,Light Fuel Oil,Bottom-up,No
NAM,2023,SOL,0.0533572,Solar,Bottom-up,No
NAM,2023,WIN,0.006,Wind,Bottom-up,No
NAM,2024,BIO,0.0002,Biomass,Bottom-up,No
NAM,2024,COA,0.108,Coal,Bottom-up,No
NAM,2024,GAS,0.8064889962047018,Natural Gas,Bottom-up,No
NAM,2024,HFO,0.03836,Heavy Fuel Oil,Bottom-up,No
NAM,2024,HYD,0.353,Hydropower,Bottom-up,No
NAM,2024,LFO,0.0147789225355807,Light Fuel Oil,Bottom-up,No
NAM,2024,SOL,0.0525552499999999,Solar,Bottom-up,No
NAM,2024,WIN,0.006,Wind,Bottom-up,No
NAM,2025,BIO,0.000125,Biomass,Bottom-up,No
NAM,2025,COA,0.102,Coal,Bottom-up,No
NAM,2025,GAS,0.8064889962047018,Natural Gas,Bottom-up,No
NAM,2025,HFO,0.0359625,Heavy Fuel Oil,Bottom-up,No
NAM,2025,HYD,0.4496454466314609,Hydropower,Bottom-up,No
NAM,2025,LFO,0.0141889225355807,Light Fuel Oil,Bottom-up,No
NAM,2025,SOL,0.0517533,Solar,Bottom-up,No
NAM,2025,WIN,0.006,Wind,Bottom-up,No
NAM,2026,BIO,0.0001125,Biomass,Bottom-up,No
NAM,2026,COA,0.096,Coal,Bottom-up,No
NAM,2026,GAS,0.8064889962047018,Natural Gas,Bottom-up,No
