Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
NER,2020.0,EL3E,1457.8888900552,Current electrified,Bottom-up,No
NER,2021.0,EL3E,1495.0555567516,Current electrified,Bottom-up,No
NER,2021.0,EL3U,160.4722223506,New electrified,Bottom-up,No
NER,2022.0,EL3E,1528.4444456672002,Current electrified,Bottom-up,No
NER,2022.0,EL3U,320.9166669234,New electrified,Bottom-up,No
NER,2023.0,EL3E,1558.5277790246002,Current electrified,Bottom-up,No
NER,2023.0,EL3U,481.38888927400006,New electrified,Bottom-up,No
NER,2024.0,EL3E,1585.9166679354,Current electrified,Bottom-up,No
NER,2024.0,EL3U,641.8611116246001,New electrified,Bottom-up,No
NER,2025.0,EL3E,1669.6944457802,Current electrified,Bottom-up,No
NER,2025.0,EL3U,802.3055561974,New electrified,Bottom-up,No
NER,2026.0,EL3E,1754.6111125148002,Current electrified,Bottom-up,No
NER,2026.0,EL3U,962.777778548,New electrified,Bottom-up,No
NER,2027.0,EL3E,1840.5277792502,Current electrified,Bottom-up,No
NER,2027.0,EL3U,1027.2777785996,New electrified,Bottom-up,No
NER,2028.0,EL3E,1927.4166682086,Current electrified,Bottom-up,No
NER,2028.0,EL3U,1091.805556429,New electrified,Bottom-up,No
NER,2029.0,EL3E,2015.1111127232,Current electrified,Bottom-up,No
NER,2029.0,EL3U,1156.3333342584,New electrified,Bottom-up,No
NER,2030.0,EL3E,2116.3055572486,Current electrified,Bottom-up,No
NER,2030.0,EL3U,1220.8333343099998,New electrified,Bottom-up,No
NER,2023.0,BFAEL1,863.9444451356,Exports (BFA),Bottom-up,No
NER,2024.0,BFAEL1,1231.666667652,Exports (BFA),Bottom-up,No
NER,2025.0,BFAEL1,1231.666667652,Exports (BFA),Bottom-up,No
NER,2026.0,BFAEL1,1722.6666680448,Exports (BFA),Bottom-up,No
NER,2027.0,BFAEL1,1897.4166681846,Exports (BFA),Bottom-up,No
NER,2028.0,BFAEL1,2155.3888906132,Exports (BFA),Bottom-up,No
NER,2029.0,BFAEL1,2596.4722242994003,Exports (BFA),Bottom-up,No
NER,2030.0,BFAEL1,2964.8333357052,Exports (BFA),Bottom-up,No
NER,2020.0,EL3E,1457.916667833,Current electrified,Bottom-up,High
NER,2021.0,EL3E,1495.0277789738,Current electrified,Bottom-up,High
NER,2021.0,EL3U,160.4722223506,New electrified,Bottom-up,High
NER,2022.0,EL3E,1528.4444456672,Current electrified,Bottom-up,High
NER,2022.0,EL3U,320.9166669234,New electrified,Bottom-up,High
NER,2023.0,EL3E,1558.5555568024,Current electrified,Bottom-up,High
NER,2023.0,EL3U,481.38888927400006,New electrified,Bottom-up,High
NER,2024.0,EL3E,1585.9166679354005,Current electrified,Bottom-up,High
NER,2024.0,EL3U,641.8611116246001,New electrified,Bottom-up,High
NER,2025.0,EL3E,1669.722223558,Current electrified,Bottom-up,High
NER,2025.0,EL3U,802.3055561974,New electrified,Bottom-up,High
NER,2026.0,EL3E,1754.6111125148,Current electrified,Bottom-up,High
NER,2026.0,EL3U,962.777778548,New electrified,Bottom-up,High
NER,2027.0,EL3E,1840.5277792502,Current electrified,Bottom-up,High
