Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
NER,2020,COA,0.0376,Coal,Bottom-up,No
NER,2020,HFO,0.02658,Heavy Fuel Oil,Bottom-up,No
NER,2020,HYD,0.13,Hydropower,Bottom-up,No
NER,2020,LFO,0.0763753604816345,Light Fuel Oil,Bottom-up,No
NER,2021,COA,0.0376,Coal,Bottom-up,No
NER,2021,HFO,0.025251,Heavy Fuel Oil,Bottom-up,No
NER,2021,HYD,0.13,Hydropower,Bottom-up,No
NER,2021,LFO,0.0730893604816345,Light Fuel Oil,Bottom-up,No
NER,2021,SOL,0.0098819632478418,Solar,Bottom-up,No
NER,2022,COA,0.0376,Coal,Bottom-up,No
NER,2022,HFO,0.023922,Heavy Fuel Oil,Bottom-up,No
NER,2022,HYD,0.13,Hydropower,Bottom-up,No
NER,2022,LFO,0.0698033604816345,Light Fuel Oil,Bottom-up,No
NER,2022,SOL,0.0193892290714222,Solar,Bottom-up,No
NER,2023,COA,0.1371334565988787,Coal,Bottom-up,No
NER,2023,HFO,0.022593,Heavy Fuel Oil,Bottom-up,No
NER,2023,HYD,0.2087350623773567,Hydropower,Bottom-up,No
NER,2023,LFO,0.0665173604816345,Light Fuel Oil,Bottom-up,No
NER,2023,SOL,0.0284045472205335,Solar,Bottom-up,No
NER,2024,COA,0.1352534565988787,Coal,Bottom-up,No
NER,2024,HFO,0.021264,Heavy Fuel Oil,Bottom-up,No
NER,2024,HYD,0.2165269101281898,Hydropower,Bottom-up,No
NER,2024,LFO,0.0632313604816345,Light Fuel Oil,Bottom-up,No
NER,2024,SOL,0.0370212770808289,Solar,Bottom-up,No
NER,2025,COA,0.1333734565988787,Coal,Bottom-up,No
NER,2025,HFO,0.019935,Heavy Fuel Oil,Bottom-up,No
NER,2025,HYD,0.2165269101281898,Hydropower,Bottom-up,No
NER,2025,LFO,0.0599453604816345,Light Fuel Oil,Bottom-up,No
NER,2025,SOL,0.065072627411482,Solar,Bottom-up,No
NER,2026,COA,0.1314934565988787,Coal,Bottom-up,No
NER,2026,HFO,0.018606,Heavy Fuel Oil,Bottom-up,No
NER,2026,HYD,0.2184609736631025,Hydropower,Bottom-up,No
NER,2026,LFO,0.0566593604816345,Light Fuel Oil,Bottom-up,No
NER,2026,SOL,0.0906930465118686,Solar,Bottom-up,No
NER,2027,COA,0.130490966605002,Coal,Bottom-up,No
NER,2027,HFO,0.017277,Heavy Fuel Oil,Bottom-up,No
NER,2027,HYD,0.2184609736631025,Hydropower,Bottom-up,No
NER,2027,LFO,0.0433394122026462,Light Fuel Oil,Bottom-up,No
