Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
SEN,2020,COA,0.03,Coal,Bottom-up,No
SEN,2020,HFO,0.78681,Heavy Fuel Oil,Bottom-up,No
SEN,2020,HYD,0.2552,Hydropower,Bottom-up,No
SEN,2020,LFO,0.1767441718971922,Light Fuel Oil,Bottom-up,No
SEN,2020,SOL,0.0845037999999999,Solar,Bottom-up,No
SEN,2020,WIN,0.15,Wind,Bottom-up,No
SEN,2021,BIO,0.1842919564341934,Biomass,Bottom-up,No
SEN,2021,COA,0.03,Coal,Bottom-up,No
SEN,2021,HFO,0.75177,Heavy Fuel Oil,Bottom-up,No
SEN,2021,HYD,0.2552,Hydropower,Bottom-up,No
SEN,2021,LFO,0.1688164718971921,Light Fuel Oil,Bottom-up,No
SEN,2021,SOL,0.0840036,Solar,Bottom-up,No
SEN,2021,WIN,0.15,Wind,Bottom-up,No
SEN,2022,BIO,0.1842919564341934,Biomass,Bottom-up,No
SEN,2022,COA,0.03,Coal,Bottom-up,No
SEN,2022,HFO,0.71673,Heavy Fuel Oil,Bottom-up,No
SEN,2022,HYD,0.2552,Hydropower,Bottom-up,No
SEN,2022,LFO,0.1608887718971922,Light Fuel Oil,Bottom-up,No
SEN,2022,SOL,0.1579120774099904,Solar,Bottom-up,No
SEN,2022,WIN,0.15,Wind,Bottom-up,No
SEN,2023,BIO,0.1842919564341934,Biomass,Bottom-up,No
SEN,2023,COA,0.0285,Coal,Bottom-up,No
SEN,2023,HFO,0.68169,Heavy Fuel Oil,Bottom-up,No
SEN,2023,HYD,0.3035348990686028,Hydropower,Bottom-up,No
SEN,2023,LFO,0.1529610718971922,Light Fuel Oil,Bottom-up,No
SEN,2023,SOL,0.1574118774099903,Solar,Bottom-up,No
SEN,2023,WIN,0.15,Wind,Bottom-up,No
SEN,2024,BIO,0.1842919564341934,Biomass,Bottom-up,No
SEN,2024,COA,0.027,Coal,Bottom-up,No
SEN,2024,HFO,0.6466500000000001,Heavy Fuel Oil,Bottom-up,No
SEN,2024,HYD,0.5637333062021229,Hydropower,Bottom-up,No
SEN,2024,LFO,0.1450333718971921,Light Fuel Oil,Bottom-up,No
SEN,2024,SOL,0.1569116774099904,Solar,Bottom-up,No
SEN,2024,WIN,0.15,Wind,Bottom-up,No
SEN,2025,BIO,0.1842919564341934,Biomass,Bottom-up,No
SEN,2025,COA,0.0255,Coal,Bottom-up,No
SEN,2025,HFO,0.61161,Heavy Fuel Oil,Bottom-up,No
SEN,2025,HYD,0.956749187193934,Hydropower,Bottom-up,No
SEN,2025,LFO,0.1371051748880863,Light Fuel Oil,Bottom-up,No
SEN,2025,SOL,0.1626519837243044,Solar,Bottom-up,No
SEN,2025,WIN,0.15,Wind,Bottom-up,No
SEN,2026,BIO,0.1842919564341934,Biomass,Bottom-up,No
SEN,2026,COA,0.1013547695621754,Coal,Bottom-up,No
SEN,2026,HFO,0.57657,Heavy Fuel Oil,Bottom-up,No
