Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
ZAF,2020.0,BIO,957.8611118774,Biomass,Bottom-up,No
ZAF,2020.0,COA,215855.69461712905,Coal,Bottom-up,No
ZAF,2020.0,HFO,724.7777783576,Heavy Fuel Oil,Bottom-up,No
ZAF,2020.0,HYD,2802.9444466868003,Hydropower,Bottom-up,No
ZAF,2020.0,LFO,3022.3888913068,Light Fuel Oil,Bottom-up,No
ZAF,2020.0,NGA,808.888889536,Natural Gas,Bottom-up,No
ZAF,2020.0,SOL,5614.194448935801,Solar,Bottom-up,No
ZAF,2020.0,URN,12824.6388991486,Nuclear,Bottom-up,No
ZAF,2020.0,WIN,6528.2777830004,Wind,Bottom-up,No
ZAF,2021.0,BIO,913.4444451752,Biomass,Bottom-up,No
ZAF,2021.0,COA,228229.305738139,Coal,Bottom-up,No
ZAF,2021.0,HFO,688.5555561064001,Heavy Fuel Oil,Bottom-up,No
ZAF,2021.0,HYD,2802.9444466868003,Hydropower,Bottom-up,No
ZAF,2021.0,LFO,2965.0277801498,Light Fuel Oil,Bottom-up,No
ZAF,2021.0,NGA,768.4444450592,Natural Gas,Bottom-up,No
ZAF,2021.0,SOL,5522.638893307,Solar,Bottom-up,No
ZAF,2021.0,URN,12824.6388991486,Nuclear,Bottom-up,No
ZAF,2021.0,WIN,6452.3055607174,Wind,Bottom-up,No
ZAF,2022.0,BIO,869.0277784730001,Biomass,Bottom-up,No
ZAF,2022.0,COA,246717.30575292945,Coal,Bottom-up,No
ZAF,2022.0,HFO,652.3055560774001,Heavy Fuel Oil,Bottom-up,No
ZAF,2022.0,HYD,2802.9444466868003,Hydropower,Bottom-up,No
ZAF,2022.0,LFO,3018.2222246368,Light Fuel Oil,Bottom-up,No
ZAF,2022.0,NGA,728.0000005824,Natural Gas,Bottom-up,No
ZAF,2022.0,SOL,5431.0833376782,Solar,Bottom-up,No
ZAF,2022.0,URN,12824.6388991486,Nuclear,Bottom-up,No
ZAF,2022.0,WIN,6376.3055606566,Wind,Bottom-up,No
ZAF,2023.0,BIO,824.6111117708001,Biomass,Bottom-up,No
ZAF,2023.0,COA,267522.8057695738,Coal,Bottom-up,No
ZAF,2023.0,HFO,616.0555560484,Heavy Fuel Oil,Bottom-up,No
ZAF,2023.0,HYD,2802.9444466868003,Hydropower,Bottom-up,No
ZAF,2023.0,LFO,2867.1111134048,Light Fuel Oil,Bottom-up,No
ZAF,2023.0,NGA,687.5555561056001,Natural Gas,Bottom-up,No
ZAF,2023.0,SOL,5339.5000042716,Solar,Bottom-up,No
ZAF,2023.0,URN,12824.6388991486,Nuclear,Bottom-up,No
ZAF,2023.0,WIN,6300.305560595801,Wind,Bottom-up,No
ZAF,2024.0,BIO,780.1944450686,Biomass,Bottom-up,No
