Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
ZMB,2020.0,BIO,170.19444458060002,Biomass,Bottom-up,No
ZMB,2020.0,COA,135.7222223308,Coal,Bottom-up,No
ZMB,2020.0,HFO,273.9444446636,Heavy Fuel Oil,Bottom-up,No
ZMB,2020.0,HYD,12733.888899076,Hydropower,Bottom-up,No
ZMB,2020.0,Imports (COD),2163.7222239532,Imports (COD),Bottom-up,No
ZMB,2020.0,Imports (TZA),3473.2222250008003,Imports (TZA),Bottom-up,No
ZMB,2020.0,LFO,86.69444451380002,Light Fuel Oil,Bottom-up,No
ZMB,2020.0,SOL,6.138888893800001,Solar,Bottom-up,No
ZMB,2021.0,BIO,161.69444457379998,Biomass,Bottom-up,No
ZMB,2021.0,COA,1261.11111212,Coal,Bottom-up,No
ZMB,2021.0,HFO,260.2500002082,Heavy Fuel Oil,Bottom-up,No
ZMB,2021.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2021.0,Imports (COD),1110.6666675552,Imports (COD),Bottom-up,No
ZMB,2021.0,Imports (TZA),415.0555558876,Imports (TZA),Bottom-up,No
ZMB,2021.0,Imports (ZWE),2925.3611134514,Imports (ZWE),Bottom-up,No
ZMB,2021.0,LFO,86.02777784660002,Light Fuel Oil,Bottom-up,No
ZMB,2021.0,SOL,5.972222227,Solar,Bottom-up,No
ZMB,2022.0,BIO,153.194444567,Biomass,Bottom-up,No
ZMB,2022.0,COA,2445.6111130676,Coal,Bottom-up,No
ZMB,2022.0,HFO,246.5555557528,Heavy Fuel Oil,Bottom-up,No
ZMB,2022.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2022.0,Imports (ZWE),5189.111115262401,Imports (ZWE),Bottom-up,No
ZMB,2022.0,LFO,85.38888895720001,Light Fuel Oil,Bottom-up,No
ZMB,2022.0,SOL,5.833333338,Solar,Bottom-up,No
ZMB,2023.0,BIO,144.66666678240003,Biomass,Bottom-up,No
ZMB,2023.0,COA,2445.6111130676,Coal,Bottom-up,No
ZMB,2023.0,HFO,232.8611112974,Heavy Fuel Oil,Bottom-up,No
ZMB,2023.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2023.0,Imports (ZWE),9214.1111184824,Imports (ZWE),Bottom-up,No
ZMB,2023.0,LFO,84.75000006780002,Light Fuel Oil,Bottom-up,No
ZMB,2023.0,SOL,5.666666671200001,Solar,Bottom-up,No
ZMB,2024.0,BIO,136.16666677560002,Biomass,Bottom-up,No
ZMB,2024.0,COA,2445.6111130676,Coal,Bottom-up,No
ZMB,2024.0,HFO,219.166666842,Heavy Fuel Oil,Bottom-up,No
ZMB,2024.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2024.0,Imports (COD),430.9166670114,Imports (COD),Bottom-up,No
ZMB,2024.0,Imports (ZWE),7776.000006220801,Imports (ZWE),Bottom-up,No
ZMB,2024.0,LFO,84.08333340060001,Light Fuel Oil,Bottom-up,No
ZMB,2024.0,SOL,5.5000000044,Solar,Bottom-up,No
ZMB,2025.0,BIO,85.11111117920001,Biomass,Bottom-up,No
ZMB,2025.0,COA,6149.8055604754,Coal,Bottom-up,No
ZMB,2025.0,HFO,205.4722223866,Heavy Fuel Oil,Bottom-up,No
ZMB,2025.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2025.0,Imports (COD),635.4444449528,Imports (COD),Bottom-up,No
ZMB,2025.0,Imports (ZWE),2702.8333354956003,Imports (ZWE),Bottom-up,No
ZMB,2025.0,LFO,83.4444445112,Light Fuel Oil,Bottom-up,No
ZMB,2025.0,SOL,525.6388893094,Solar,Bottom-up,No
ZMB,2026.0,BIO,76.5833333946,Biomass,Bottom-up,No
ZMB,2026.0,COA,7119.4722279178,Coal,Bottom-up,No
ZMB,2026.0,HFO,191.7777779312,Heavy Fuel Oil,Bottom-up,No
ZMB,2026.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2026.0,Imports (COD),611.3333338224,Imports (COD),Bottom-up,No
ZMB,2026.0,Imports (TZA),852.5000006820001,Imports (TZA),Bottom-up,No
ZMB,2026.0,Imports (ZWE),1491.9166678602,Imports (ZWE),Bottom-up,No
ZMB,2026.0,LFO,82.80555562180001,Light Fuel Oil,Bottom-up,No
ZMB,2026.0,SOL,645.83333385,Solar,Bottom-up,No
ZMB,2027.0,BIO,68.08333338780001,Biomass,Bottom-up,No
ZMB,2027.0,COA,7119.4722279178,Coal,Bottom-up,No
ZMB,2027.0,HFO,178.0833334758,Heavy Fuel Oil,Bottom-up,No
ZMB,2027.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2027.0,Imports (COD),611.3333338224,Imports (COD),Bottom-up,No
ZMB,2027.0,Imports (TZA),1175.0833342734,Imports (TZA),Bottom-up,No
ZMB,2027.0,Imports (ZWE),1493.4166678614,Imports (ZWE),Bottom-up,No
ZMB,2027.0,LFO,82.1388889546,Light Fuel Oil,Bottom-up,No
ZMB,2027.0,SOL,776.5555561768001,Solar,Bottom-up,No
ZMB,2028.0,BIO,59.583333381,Biomass,Bottom-up,No
ZMB,2028.0,COA,7119.4722279178,Coal,Bottom-up,No
ZMB,2028.0,HFO,164.3611112426,Heavy Fuel Oil,Bottom-up,No
ZMB,2028.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2028.0,Imports (COD),611.3333338224,Imports (COD),Bottom-up,No
ZMB,2028.0,Imports (TZA),1375.3888899892,Imports (TZA),Bottom-up,No
ZMB,2028.0,Imports (ZWE),1228.1666676492,Imports (ZWE),Bottom-up,No
ZMB,2028.0,LFO,7.777777784,Light Fuel Oil,Bottom-up,No
ZMB,2028.0,SOL,1323.4722232810002,Solar,Bottom-up,No
ZMB,2029.0,BIO,51.0555555964,Biomass,Bottom-up,No
ZMB,2029.0,COA,7119.4722279178,Coal,Bottom-up,No
ZMB,2029.0,HFO,150.6666667872,Heavy Fuel Oil,Bottom-up,No
ZMB,2029.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2029.0,Imports (COD),611.3333338224,Imports (COD),Bottom-up,No
ZMB,2029.0,Imports (TZA),2211.1388906578,Imports (TZA),Bottom-up,No
ZMB,2029.0,Imports (ZWE),1377.0277788794,Imports (ZWE),Bottom-up,No
ZMB,2029.0,LFO,7.138888894600001,Light Fuel Oil,Bottom-up,No
ZMB,2029.0,SOL,1474.6666678464,Solar,Bottom-up,No
ZMB,2030.0,BIO,42.5555555896,Biomass,Bottom-up,No
ZMB,2030.0,COA,7119.4722279178,Coal,Bottom-up,No
ZMB,2030.0,HFO,173.6666668056,Heavy Fuel Oil,Bottom-up,No
ZMB,2030.0,HYD,12736.805565745,Hydropower,Bottom-up,No
ZMB,2030.0,Imports (COD),818.333333988,Imports (COD),Bottom-up,No
ZMB,2030.0,Imports (TZA),4329.5000034636005,Imports (TZA),Bottom-up,No
ZMB,2030.0,Imports (ZWE),114.8055556474,Imports (ZWE),Bottom-up,No
ZMB,2030.0,LFO,6.4722222274000005,Light Fuel Oil,Bottom-up,No
ZMB,2030.0,SOL,1644.1944457598,Solar,Bottom-up,No
ZMB,2020.0,BIO,170.19444458060002,Biomass,Bottom-up,High
ZMB,2020.0,COA,66.2222222752,Coal,Bottom-up,High
ZMB,2020.0,HFO,273.9444446636,Heavy Fuel Oil,Bottom-up,High
