Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
ZMB,2020,BIO,0.042637,Biomass,Bottom-up,No
ZMB,2020,COA,0.3299999999999999,Coal,Bottom-up,No
ZMB,2020,HFO,0.2542,Heavy Fuel Oil,Bottom-up,No
ZMB,2020,HYD,3.102093,Hydropower,Bottom-up,No
ZMB,2020,LFO,0.109674,Light Fuel Oil,Bottom-up,No
ZMB,2020,SOL,0.003919,Solar,Bottom-up,No
ZMB,2021,BIO,0.04050515,Biomass,Bottom-up,No
ZMB,2021,COA,0.3299999999999999,Coal,Bottom-up,No
ZMB,2021,HFO,0.2439799999999999,Heavy Fuel Oil,Bottom-up,No
ZMB,2021,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2021,LFO,0.1091903,Light Fuel Oil,Bottom-up,No
ZMB,2021,SOL,0.003818,Solar,Bottom-up,No
ZMB,2022,BIO,0.0383733,Biomass,Bottom-up,No
ZMB,2022,COA,0.3299999999999999,Coal,Bottom-up,No
ZMB,2022,HFO,0.23376,Heavy Fuel Oil,Bottom-up,No
ZMB,2022,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2022,LFO,0.1087066,Light Fuel Oil,Bottom-up,No
ZMB,2022,SOL,0.003717,Solar,Bottom-up,No
ZMB,2023,BIO,0.03624145,Biomass,Bottom-up,No
ZMB,2023,COA,0.3299999999999999,Coal,Bottom-up,No
ZMB,2023,HFO,0.22354,Heavy Fuel Oil,Bottom-up,No
ZMB,2023,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2023,LFO,0.1082229,Light Fuel Oil,Bottom-up,No
ZMB,2023,SOL,0.003616,Solar,Bottom-up,No
ZMB,2024,BIO,0.0341096,Biomass,Bottom-up,No
ZMB,2024,COA,0.3299999999999999,Coal,Bottom-up,No
ZMB,2024,HFO,0.21332,Heavy Fuel Oil,Bottom-up,No
ZMB,2024,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2024,LFO,0.1077392,Light Fuel Oil,Bottom-up,No
ZMB,2024,SOL,0.003515,Solar,Bottom-up,No
ZMB,2025,BIO,0.0213185,Biomass,Bottom-up,No
ZMB,2025,COA,0.8298261739307782,Coal,Bottom-up,No
ZMB,2025,HFO,0.2031,Heavy Fuel Oil,Bottom-up,No
ZMB,2025,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2025,LFO,0.1072555,Light Fuel Oil,Bottom-up,No
ZMB,2025,SOL,0.3359228172247825,Solar,Bottom-up,No
ZMB,2026,BIO,0.01918665,Biomass,Bottom-up,No
ZMB,2026,COA,0.9606672547180706,Coal,Bottom-up,No
ZMB,2026,HFO,0.19288,Heavy Fuel Oil,Bottom-up,No
ZMB,2026,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2026,LFO,0.1067718,Light Fuel Oil,Bottom-up,No
ZMB,2026,SOL,0.4127259786318806,Solar,Bottom-up,No
ZMB,2027,BIO,0.0170548,Biomass,Bottom-up,No
ZMB,2027,COA,0.9606672547180706,Coal,Bottom-up,No
ZMB,2027,HFO,0.18266,Heavy Fuel Oil,Bottom-up,No
ZMB,2027,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2027,LFO,0.1062881,Light Fuel Oil,Bottom-up,No
ZMB,2027,SOL,0.4962737038506168,Solar,Bottom-up,No
ZMB,2028,BIO,0.01492295,Biomass,Bottom-up,No
ZMB,2028,COA,0.9606672547180706,Coal,Bottom-up,No
ZMB,2028,HFO,0.1724399999999999,Heavy Fuel Oil,Bottom-up,No
ZMB,2028,HYD,3.103493,Hydropower,Bottom-up,No
ZMB,2028,LFO,0.0058044,Light Fuel Oil,Bottom-up,No
ZMB,2028,SOL,0.8457894498713322,Solar,Bottom-up,No
ZMB,2029,BIO,0.0127911,Biomass,Bottom-up,No
ZMB,2029,COA,0.9606672547180706,Coal,Bottom-up,No
