Country,y,f,Total installed capacity (GW),Source
BWA,2020,COA,0.752,Coal
BWA,2020,LFO,0.1914717191677573,Light Fuel Oil
BWA,2020,SOL,0.1006883957222539,Solar
BWA,2021,COA,0.752,Coal
BWA,2021,LFO,0.1829903191677573,Light Fuel Oil
BWA,2021,SOL,0.1006233957222539,Solar
BWA,2022,COA,0.752,Coal
BWA,2022,LFO,0.1745089191677573,Light Fuel Oil
BWA,2022,SOL,0.1005583957222538,Solar
BWA,2023,COA,0.7144,Coal
BWA,2023,LFO,0.1660275191677573,Light Fuel Oil
BWA,2023,SOL,0.1004933957222539,Solar
BWA,2024,COA,0.6768,Coal
BWA,2024,LFO,0.1575461191677573,Light Fuel Oil
BWA,2024,SOL,0.1986128394230931,Solar
BWA,2025,COA,0.6392,Coal
BWA,2025,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2025,LFO,0.1490647191677573,Light Fuel Oil
BWA,2025,SOL,0.5578046380410449,Solar
BWA,2026,COA,0.6016,Coal
BWA,2026,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2026,LFO,0.1405833191677573,Light Fuel Oil
BWA,2026,SOL,0.6577125292414869,Solar
BWA,2027,COA,0.564,Coal
BWA,2027,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2027,LFO,0.1321019191677573,Light Fuel Oil
BWA,2027,SOL,0.7524755920058285,Solar
BWA,2028,COA,0.5264,Coal
BWA,2028,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2028,LFO,0.1017768,Light Fuel Oil
BWA,2028,SOL,0.8413435388538035,Solar
BWA,2029,COA,0.5856292276260597,Coal
BWA,2029,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2029,LFO,0.0932954,Light Fuel Oil
BWA,2029,SOL,1.1097514859959006,Solar
BWA,2030,COA,0.7731959657516798,Coal
BWA,2030,HFO,0.0001779957911234,Heavy Fuel Oil
BWA,2030,LFO,0.084814,Light Fuel Oil
BWA,2030,SOL,1.7231242347938776,Solar
