Country,y,f,Total installed capacity (GW),Source
CIV,2020,GAS,1.3483897325966576,Natural Gas
CIV,2020,HFO,0.010075,Heavy Fuel Oil
CIV,2020,HYD,0.5848,Hydropower
CIV,2020,LFO,0.2579765813686126,Light Fuel Oil
CIV,2020,SOL,0.0048,Solar
CIV,2021,GAS,1.9869148949943032,Natural Gas
CIV,2021,HFO,0.00957125,Heavy Fuel Oil
CIV,2021,HYD,0.5848,Hydropower
CIV,2021,LFO,0.2479396813686126,Light Fuel Oil
CIV,2021,SOL,0.0046,Solar
CIV,2022,BIO,0.0558017478659658,Biomass
CIV,2022,GAS,2.29204242780226,Natural Gas
CIV,2022,HFO,0.0090675,Heavy Fuel Oil
CIV,2022,HYD,0.5848,Hydropower
CIV,2022,LFO,0.2379027813686126,Light Fuel Oil
CIV,2022,SOL,0.0043999999999999,Solar
CIV,2023,BIO,0.0558017478659658,Biomass
CIV,2023,GAS,2.24869242780226,Natural Gas
CIV,2023,HFO,0.00856375,Heavy Fuel Oil
CIV,2023,HYD,1.1988073917016229,Hydropower
CIV,2023,LFO,0.2278658813686126,Light Fuel Oil
CIV,2023,SOL,0.0042,Solar
CIV,2024,BIO,0.0558017478659658,Biomass
CIV,2024,GAS,2.20534242780226,Natural Gas
CIV,2024,HFO,0.00806,Heavy Fuel Oil
CIV,2024,HYD,1.905,Hydropower
CIV,2024,LFO,0.2178289813686126,Light Fuel Oil
CIV,2024,SOL,0.004,Solar
CIV,2025,BIO,0.0558017478659658,Biomass
CIV,2025,COA,0.357670195849656,Coal
CIV,2025,GAS,2.16199242780226,Natural Gas
CIV,2025,HFO,0.00755625,Heavy Fuel Oil
CIV,2025,HYD,1.905,Hydropower
CIV,2025,LFO,0.2077920813686126,Light Fuel Oil
CIV,2025,SOL,0.0038,Solar
CIV,2026,BIO,0.0604428806701125,Biomass
CIV,2026,COA,0.6582269773652792,Coal
CIV,2026,GAS,2.11864242780226,Natural Gas
CIV,2026,HFO,0.0070525,Heavy Fuel Oil
CIV,2026,HYD,1.905,Hydropower
CIV,2026,LFO,0.1475801283147821,Light Fuel Oil
CIV,2026,SOL,0.0036,Solar
CIV,2027,BIO,0.1521040898918456,Biomass
CIV,2027,COA,0.7203442756966412,Coal
CIV,2027,GAS,2.07529242780226,Natural Gas
CIV,2027,HFO,0.00654875,Heavy Fuel Oil
CIV,2027,HYD,1.905,Hydropower
CIV,2027,LFO,0.1375432283147821,Light Fuel Oil
CIV,2027,SOL,0.0034,Solar
CIV,2028,BIO,0.1521040898918456,Biomass
CIV,2028,COA,0.7384884756145645,Coal
CIV,2028,GAS,2.03194242780226,Natural Gas
CIV,2028,HFO,0.006045,Heavy Fuel Oil
CIV,2028,HYD,1.905,Hydropower
CIV,2028,LFO,0.1204428,Light Fuel Oil
CIV,2028,SOL,0.1922799081630178,Solar
CIV,2029,BIO,0.1521040898918456,Biomass
CIV,2029,COA,0.843760880974578,Coal
CIV,2029,GAS,1.98859242780226,Natural Gas
CIV,2029,HFO,0.00554125,Heavy Fuel Oil
CIV,2029,HYD,1.905,Hydropower
CIV,2029,LFO,0.1104059,Light Fuel Oil
CIV,2029,SOL,0.4420799081630179,Solar
CIV,2030,BIO,0.1521040898918456,Biomass
CIV,2030,COA,0.9187005234485232,Coal
CIV,2030,GAS,1.94524242780226,Natural Gas
CIV,2030,HFO,0.0050375,Heavy Fuel Oil
CIV,2030,HYD,1.905,Hydropower
CIV,2030,LFO,0.100369,Light Fuel Oil
CIV,2030,SOL,0.6918799081630179,Solar
