Country,y,f,Total installed capacity (GW),Source
LBY,2020,GAS,6.24601,Natural Gas
LBY,2020,HFO,2.209365,Heavy Fuel Oil
LBY,2020,LFO,3.2125348338315107,Light Fuel Oil
LBY,2020,SOL,0.6577874676996229,Solar
LBY,2021,GAS,5.9337095,Natural Gas
LBY,2021,HFO,2.09889675,Heavy Fuel Oil
LBY,2021,LFO,3.0684694338315106,Light Fuel Oil
LBY,2021,SOL,1.4075374676996228,Solar
LBY,2021,WIN,0.1,Wind
LBY,2022,GAS,5.621409,Natural Gas
LBY,2022,HFO,1.9884285,Heavy Fuel Oil
LBY,2022,LFO,2.9244040338315105,Light Fuel Oil
LBY,2022,SOL,1.4445863715702163,Solar
LBY,2022,WIN,0.2,Wind
LBY,2023,GAS,5.3091085,Natural Gas
LBY,2023,HFO,1.87796025,Heavy Fuel Oil
LBY,2023,LFO,2.7803386338315104,Light Fuel Oil
LBY,2023,SOL,1.4443363715702164,Solar
LBY,2023,WIN,0.27483907574491,Wind
LBY,2024,GAS,5.296811767469627,Natural Gas
LBY,2024,HFO,1.7674919999999998,Heavy Fuel Oil
LBY,2024,LFO,2.6362732338315107,Light Fuel Oil
LBY,2024,SOL,1.6466784817976194,Solar
LBY,2024,WIN,0.27483907574491,Wind
LBY,2025,GAS,5.397854657829177,Natural Gas
LBY,2025,HFO,1.65702375,Heavy Fuel Oil
LBY,2025,LFO,2.460981,Light Fuel Oil
LBY,2025,SOL,1.67732924637846,Solar
LBY,2025,WIN,0.27483907574491,Wind
LBY,2026,GAS,5.579794547502403,Natural Gas
LBY,2026,HFO,1.5465555,Heavy Fuel Oil
LBY,2026,LFO,2.2169156,Light Fuel Oil
LBY,2026,SOL,1.92707924637846,Solar
LBY,2026,WIN,0.27483907574491,Wind
LBY,2027,GAS,5.740769624946124,Natural Gas
LBY,2027,HFO,1.43608725,Heavy Fuel Oil
LBY,2027,LFO,1.9728502,Light Fuel Oil
LBY,2027,SOL,2.67682924637846,Solar
LBY,2027,WIN,0.27483907574491,Wind
LBY,2028,GAS,5.802464508720737,Natural Gas
LBY,2028,HFO,1.325619,Heavy Fuel Oil
LBY,2028,LFO,1.7287848,Light Fuel Oil
LBY,2028,SOL,3.42657924637846,Solar
LBY,2028,WIN,0.27483907574491,Wind
LBY,2029,GAS,5.88219729591484,Natural Gas
LBY,2029,HFO,1.21515075,Heavy Fuel Oil
LBY,2029,LFO,1.5847194,Light Fuel Oil
LBY,2029,SOL,4.17632924637846,Solar
LBY,2029,WIN,0.27483907574491,Wind
LBY,2030,GAS,5.616917337407743,Natural Gas
LBY,2030,HFO,1.1046825,Heavy Fuel Oil
LBY,2030,LFO,1.440654,Light Fuel Oil
LBY,2030,SOL,4.92607924637846,Solar
LBY,2030,WIN,0.27483907574491,Wind
