Country,y,f,Total installed capacity (GW),Source
MRT,2020,HFO,0.423034,Heavy Fuel Oil
MRT,2020,HYD,0.0689999999999999,Hydropower
MRT,2020,LFO,0.0475917864529774,Light Fuel Oil
MRT,2020,SOL,0.1012884851558552,Solar
MRT,2020,WIN,0.0344,Wind
MRT,2021,HFO,0.4085623,Heavy Fuel Oil
MRT,2021,HYD,0.0689999999999999,Hydropower
MRT,2021,LFO,0.0458797364529774,Light Fuel Oil
MRT,2021,SOL,0.1493092202619519,Solar
MRT,2021,WIN,0.03418,Wind
MRT,2022,GAS,0.0060831383463281,Natural Gas
MRT,2022,HFO,0.3940906,Heavy Fuel Oil
MRT,2022,HYD,0.0689999999999999,Hydropower
MRT,2022,LFO,0.0441676864529774,Light Fuel Oil
MRT,2022,SOL,0.2007195779900905,Solar
MRT,2022,WIN,0.0547754807688625,Wind
MRT,2023,GAS,0.0512192268824934,Natural Gas
MRT,2023,HFO,0.3796189,Heavy Fuel Oil
MRT,2023,HYD,0.1025536398664446,Hydropower
MRT,2023,LFO,0.0424556364529774,Light Fuel Oil
MRT,2023,SOL,0.2054340306012652,Solar
MRT,2023,WIN,0.0545554807688625,Wind
MRT,2024,GAS,0.3633955943133125,Natural Gas
MRT,2024,HFO,0.3651472,Heavy Fuel Oil
MRT,2024,HYD,0.1157365720865061,Hydropower
MRT,2024,LFO,0.0407435864529774,Light Fuel Oil
MRT,2024,SOL,0.2196054854327327,Solar
MRT,2024,WIN,0.0543354807688625,Wind
MRT,2025,GAS,0.3633955943133125,Natural Gas
MRT,2025,HFO,0.3506755,Heavy Fuel Oil
MRT,2025,HYD,0.1289999999999997,Hydropower
MRT,2025,LFO,0.0390314813831719,Light Fuel Oil
MRT,2025,SOL,0.2283622944766629,Solar
MRT,2025,WIN,0.0541154807688625,Wind
MRT,2026,GAS,0.3795503682652297,Natural Gas
MRT,2026,HFO,0.3362038,Heavy Fuel Oil
MRT,2026,HYD,0.1289999999999997,Hydropower
MRT,2026,LFO,0.0315399304081468,Light Fuel Oil
MRT,2026,SOL,0.2535020892635391,Solar
MRT,2026,WIN,0.0732935460185788,Wind
MRT,2027,GAS,0.3949510668655333,Natural Gas
MRT,2027,HFO,0.3217320999999999,Heavy Fuel Oil
MRT,2027,HYD,0.1289999999999997,Hydropower
MRT,2027,LFO,0.0252497306265918,Light Fuel Oil
MRT,2027,SOL,0.2959359822249521,Solar
MRT,2027,WIN,0.0810629735348678,Wind
MRT,2028,GAS,0.4097588547088334,Natural Gas
MRT,2028,HFO,0.3072604,Heavy Fuel Oil
MRT,2028,HYD,0.1289999999999997,Hydropower
MRT,2028,LFO,0.0205446,Light Fuel Oil
MRT,2028,SOL,0.3529550780335357,Solar
MRT,2028,WIN,0.0808429735348678,Wind
MRT,2029,GAS,0.4378788173811498,Natural Gas
MRT,2029,HFO,0.2927887,Heavy Fuel Oil
MRT,2029,HYD,0.1289999999999997,Hydropower
MRT,2029,LFO,0.01883255,Light Fuel Oil
MRT,2029,SOL,0.434893143690601,Solar
MRT,2029,WIN,0.0806229735348678,Wind
MRT,2030,GAS,0.4617173323011903,Natural Gas
MRT,2030,HFO,0.278317,Heavy Fuel Oil
MRT,2030,HYD,0.1289999999999997,Hydropower
MRT,2030,LFO,0.0171205,Light Fuel Oil
MRT,2030,SOL,0.6086436855320412,Solar
MRT,2030,WIN,0.0804029735348678,Wind
