Country,y,f,Total annual demand (GWh),Demand type
GHA,2020.0,EL3E,12338.5555654264,Current electrified
GHA,2021.0,EL3E,13910.1111222392,Current electrified
GHA,2021.0,EL3U,2437.8333352836,New electrified
GHA,2022.0,EL3E,14311.8333447828,Current electrified
GHA,2022.0,EL3U,4875.6388927894,New electrified
GHA,2023.0,EL3E,14706.1944562094,Current electrified
GHA,2023.0,EL3U,7313.472228073,New electrified
GHA,2024.0,EL3E,15093.5277898526,Current electrified
GHA,2024.0,EL3U,9751.3055633566,New electrified
GHA,2025.0,EL3E,15473.9444568236,Current electrified
GHA,2025.0,EL3U,12189.1111208624,New electrified
GHA,2026.0,EL3E,16948.583346892203,Current electrified
GHA,2026.0,EL3U,14626.944456146,New electrified
GHA,2027.0,EL3E,18416.944459178,Current electrified
GHA,2027.0,EL3U,15071.250012057002,New electrified
GHA,2028.0,EL3E,19879.4166825702,Current electrified
GHA,2028.0,EL3U,15515.555567968002,New electrified
GHA,2029.0,EL3E,21336.0833504022,Current electrified
GHA,2029.0,EL3U,15959.861123879002,New electrified
GHA,2030.0,EL3E,22787.0555737852,Current electrified
GHA,2030.0,EL3U,16404.16667979,New electrified
GHA,2020.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2020.0,CIVEL1,2721.3055577326,Exports (CIV)
GHA,2020.0,TGOEL1,56.666666712,Exports (TGO)
GHA,2021.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2021.0,CIVEL1,1798.1388903274,Exports (CIV)
GHA,2022.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2022.0,CIVEL1,2721.3055577326,Exports (CIV)
GHA,2023.0,BFAEL1,907.222222948,Exports (BFA)
GHA,2024.0,BFAEL1,551.1388893298,Exports (BFA)
GHA,2025.0,BFAEL1,990.2500007922,Exports (BFA)
GHA,2026.0,BFAEL1,865.3333340256,Exports (BFA)
GHA,2027.0,BFAEL1,676.3888894300001,Exports (BFA)
GHA,2028.0,BFAEL1,863.9166673578001,Exports (BFA)
GHA,2029.0,BFAEL1,863.9166673578001,Exports (BFA)
GHA,2029.0,CIVEL1,143.3888890036,Exports (CIV)
GHA,2030.0,BFAEL1,682.6944449906,Exports (BFA)
