Country,y,f,Total annual demand (GWh),Demand type
GMB,2020.0,EL3E,253.1666668692,Current electrified
GMB,2021.0,EL3E,259.6388890966,Current electrified
GMB,2021.0,EL3U,61.388888938,New electrified
GMB,2022.0,EL3E,265.416666879,Current electrified
GMB,2022.0,EL3U,122.777777876,New electrified
GMB,2023.0,EL3E,270.66666688320004,Current electrified
GMB,2023.0,EL3U,184.166666814,New electrified
GMB,2024.0,EL3E,275.3888891092,Current electrified
GMB,2024.0,EL3U,245.555555752,New electrified
GMB,2025.0,EL3E,289.94444467640005,Current electrified
GMB,2025.0,EL3U,306.94444469,New electrified
GMB,2026.0,EL3E,304.6944446882,Current electrified
GMB,2026.0,EL3U,368.3333336280001,New electrified
GMB,2027.0,EL3E,319.61111136679995,Current electrified
GMB,2027.0,EL3U,382.6944447506,New electrified
GMB,2028.0,EL3E,334.72222249000004,Current electrified
GMB,2028.0,EL3U,397.083333651,New electrified
GMB,2029.0,EL3E,349.9166669466,Current electrified
GMB,2029.0,EL3U,411.4722225514,New electrified
GMB,2030.0,EL3E,367.500000294,Current electrified
GMB,2030.0,EL3U,425.833333674,New electrified
GMB,2020.0,GNBEL1,52.4444444864,Exports (GNB)
GMB,2026.0,SENEL1,25.694444465,Exports (SEN)
GMB,2028.0,SENEL1,66.7222222756,Exports (SEN)
GMB,2029.0,SENEL1,37.8055555858,Exports (SEN)
GMB,2030.0,SENEL1,29.6111111348,Exports (SEN)
