Country,y,f,Total annual demand (GWh),Demand type
MWI,2020.0,EL3E,1788.2777792083998,Current electrified
MWI,2021.0,EL3E,2088.8333350044,Current electrified
MWI,2021.0,EL3U,422.777778116,New electrified
MWI,2022.0,EL3E,2424.7777797176004,Current electrified
MWI,2022.0,EL3U,845.5555562320001,New electrified
MWI,2023.0,EL3E,2799.3611133506,Current electrified
MWI,2023.0,EL3U,1268.333334348,New electrified
MWI,2024.0,EL3E,3217.1111136848003,Current electrified
MWI,2024.0,EL3U,1691.111112464,New electrified
MWI,2025.0,EL3E,3612.50000289,Current electrified
MWI,2025.0,EL3U,2113.8888905800004,New electrified
MWI,2026.0,EL3E,4046.3611143482,Current electrified
MWI,2026.0,EL3U,2536.666668696,New electrified
MWI,2027.0,EL3E,4520.972225839,Current electrified
MWI,2027.0,EL3U,2698.1111132696,New electrified
MWI,2028.0,EL3E,5039.250004031401,Current electrified
MWI,2028.0,EL3U,2859.583335621,New electrified
MWI,2029.0,EL3E,5604.4722267058005,Current electrified
MWI,2029.0,EL3U,3021.0555579724,New electrified
MWI,2030.0,EL3E,6159.777782705601,Current electrified
MWI,2030.0,EL3U,3182.5000025460004,New electrified
