Country,y,f,Total annual demand (GWh),Demand type
NGA,2020.0,EL3E,24460.583352901805,Current electrified
NGA,2021.0,EL3E,27073.3611327698,Current electrified
NGA,2021.0,EL3U,3582.2222250880004,New electrified
NGA,2022.0,EL3E,27242.6944662386,Current electrified
NGA,2022.0,EL3U,7164.444450176001,New electrified
NGA,2023.0,EL3E,27372.472244120203,Current electrified
NGA,2023.0,EL3U,10746.666675264,New electrified
NGA,2024.0,EL3E,27460.805577524203,Current electrified
NGA,2024.0,EL3U,14328.888900352002,New electrified
NGA,2025.0,EL3E,27504.916688670604,Current electrified
NGA,2025.0,EL3U,17911.111125440002,New electrified
NGA,2026.0,EL3E,28161.472244751403,Current electrified
NGA,2026.0,EL3U,21493.333350528,New electrified
NGA,2027.0,EL3E,28771.527800795,Current electrified
NGA,2027.0,EL3U,22546.944462482,New electrified
NGA,2028.0,EL3E,29335.7222456908,Current electrified
NGA,2028.0,EL3U,23600.555574436003,New electrified
NGA,2029.0,EL3E,29854.138912772203,Current electrified
NGA,2029.0,EL3U,24654.16668639,New electrified
NGA,2030.0,EL3E,30327.083357595,Current electrified
NGA,2030.0,EL3U,25707.777798344003,New electrified
NGA,2020.0,NEREL1,1034.3333341608,Exports (NER)
NGA,2021.0,BENEL1,853.6944451274001,Exports (BEN)
NGA,2021.0,NEREL1,1259.4166676742,Exports (NER)
NGA,2022.0,BENEL1,5708.888893456,Exports (BEN)
NGA,2022.0,NEREL1,1480.9444456292,Exports (NER)
NGA,2023.0,BENEL1,5708.888893456,Exports (BEN)
NGA,2023.0,NEREL1,1542.8611123454,Exports (NER)
NGA,2024.0,BENEL1,5057.027781823401,Exports (BEN)
NGA,2024.0,NEREL1,2126.0833350342,Exports (NER)
NGA,2025.0,BENEL1,4840.0555594276,Exports (BEN)
NGA,2025.0,NEREL1,2386.2222241312,Exports (NER)
NGA,2026.0,BENEL1,4538.750003631,Exports (BEN)
NGA,2026.0,NEREL1,3158.7222247492,Exports (NER)
NGA,2027.0,BENEL1,5546.7777822152,Exports (BEN)
NGA,2027.0,NEREL1,3450.277780538,Exports (NER)
NGA,2028.0,BENEL1,7131.1111168160005,Exports (BEN)
NGA,2028.0,NEREL1,3864.4166697582,Exports (NER)
NGA,2029.0,BENEL1,8738.1111181016,Exports (BEN)
NGA,2029.0,NEREL1,4473.527781356601,Exports (NER)
NGA,2030.0,BENEL1,8738.1111181016,Exports (BEN)
NGA,2030.0,NEREL1,4938.555559506401,Exports (NER)
