Country,y,f,Total annual demand (GWh),Demand type
RWA,2020.0,EL3E,706.3611116762,Current electrified
RWA,2021.0,EL3E,724.3611116906002,Current electrified
RWA,2021.0,EL3U,212.083333503,New electrified
RWA,2022.0,EL3E,740.5277783701999,Current electrified
RWA,2022.0,EL3U,424.166667006,New electrified
RWA,2023.0,EL3E,755.1111117152,Current electrified
RWA,2023.0,EL3U,636.2500005090001,New electrified
RWA,2024.0,EL3E,768.3888895036,Current electrified
RWA,2024.0,EL3U,848.333334012,New electrified
RWA,2025.0,EL3E,808.9722228694001,Current electrified
RWA,2025.0,EL3U,1060.416667515,New electrified
RWA,2026.0,EL3E,850.1111117912001,Current electrified
RWA,2026.0,EL3U,1272.500001018,New electrified
RWA,2027.0,EL3E,891.7500007133999,Current electrified
RWA,2027.0,EL3U,1320.000001056,New electrified
RWA,2028.0,EL3E,933.8333340804,Current electrified
RWA,2028.0,EL3U,1367.500001094,New electrified
RWA,2029.0,EL3E,976.3055563366,Current electrified
RWA,2029.0,EL3U,1415.000001132,New electrified
RWA,2030.0,EL3E,1025.3611119314,Current electrified
RWA,2030.0,EL3U,1462.50000117,New electrified
RWA,2020.0,TZAEL1,1107.9722231086,Exports (TZA)
RWA,2021.0,BDIEL1,116.5555556488,Exports (BDI)
RWA,2021.0,TZAEL1,916.944445178,Exports (TZA)
RWA,2022.0,CODEL1,85.277777846,Exports (COD)
RWA,2022.0,TZAEL1,765.7222228348,Exports (TZA)
RWA,2023.0,BDIEL1,43.5555555904,Exports (BDI)
RWA,2023.0,CODEL1,175.833333474,Exports (COD)
RWA,2023.0,TZAEL1,503.19444484700006,Exports (TZA)
RWA,2023.0,UGAEL1,110.0555556436,Exports (UGA)
RWA,2024.0,BDIEL1,19.3611111266,Exports (BDI)
RWA,2024.0,TZAEL1,1323.1666677252,Exports (TZA)
RWA,2025.0,BDIEL1,4.8055555594,Exports (BDI)
RWA,2025.0,TZAEL1,661.8333338628,Exports (TZA)
RWA,2026.0,CODEL1,95.694444521,Exports (COD)
RWA,2026.0,TZAEL1,596.2777782548,Exports (TZA)
RWA,2027.0,BDIEL1,57.02777782340001,Exports (BDI)
RWA,2027.0,CODEL1,136.0833334422,Exports (COD)
RWA,2027.0,TZAEL1,1089.861111983,Exports (TZA)
RWA,2027.0,UGAEL1,21.527777795,Exports (UGA)
RWA,2028.0,BDIEL1,45.6388889254,Exports (BDI)
RWA,2028.0,CODEL1,57.777777824,Exports (COD)
RWA,2028.0,TZAEL1,1032.8333341596,Exports (TZA)
RWA,2029.0,BDIEL1,45.6388889254,Exports (BDI)
RWA,2029.0,CODEL1,211.9722223918,Exports (COD)
RWA,2029.0,TZAEL1,942.5555563096,Exports (TZA)
RWA,2030.0,BDIEL1,90.5000000724,Exports (BDI)
RWA,2030.0,CODEL1,1273.2222232408,Exports (COD)
RWA,2030.0,TZAEL1,1228.6388898718,Exports (TZA)
