Country,y,f,Total annual demand (GWh),Demand type
SLE,2020.0,EL3E,128.2500001026,Current electrified
SLE,2021.0,EL3E,155.94444456920002,Current electrified
SLE,2021.0,EL3U,218.888889064,New electrified
SLE,2022.0,EL3E,187.8611112614,Current electrified
SLE,2022.0,EL3U,437.777778128,New electrified
SLE,2023.0,EL3E,224.305555735,Current electrified
SLE,2023.0,EL3U,656.666667192,New electrified
SLE,2024.0,EL3E,265.6111113236,Current electrified
SLE,2024.0,EL3U,875.555556256,New electrified
SLE,2025.0,EL3E,360.7222225108,Current electrified
SLE,2025.0,EL3U,1094.44444532,New electrified
SLE,2026.0,EL3E,480.4444448288,Current electrified
SLE,2026.0,EL3U,1313.333334384,New electrified
SLE,2027.0,EL3E,629.1944449478,Current electrified
SLE,2027.0,EL3U,1367.2777788716,New electrified
SLE,2028.0,EL3E,811.666667316,Current electrified
SLE,2028.0,EL3U,1421.250001137,New electrified
SLE,2029.0,EL3E,1033.0833341598,Current electrified
SLE,2029.0,EL3U,1475.2222234024002,New electrified
SLE,2030.0,EL3E,1366.0277788706,Current electrified
SLE,2030.0,EL3U,1529.16666789,New electrified
SLE,2020.0,GINEL1,199.83333349320003,Exports (GIN)
SLE,2020.0,MLIEL1,731.4166672518,Exports (MLI)
SLE,2021.0,MLIEL1,731.4166672518,Exports (MLI)
SLE,2022.0,MLIEL1,731.4166672518,Exports (MLI)
SLE,2023.0,MLIEL1,269.8333335492,Exports (MLI)
SLE,2024.0,MLIEL1,693.0833338878,Exports (MLI)
SLE,2025.0,MLIEL1,854.7777784616001,Exports (MLI)
SLE,2026.0,MLIEL1,1657.1111124368,Exports (MLI)
SLE,2027.0,LBREL1,188.7777779288,Exports (LBR)
SLE,2027.0,MLIEL1,2244.9166684626,Exports (MLI)
SLE,2028.0,LBREL1,330.77777804240003,Exports (LBR)
SLE,2028.0,MLIEL1,2244.9166684626,Exports (MLI)
SLE,2029.0,GINEL1,2.1666666684,Exports (GIN)
SLE,2029.0,LBREL1,89.4722222938,Exports (LBR)
SLE,2029.0,MLIEL1,2244.9166684626,Exports (MLI)
SLE,2030.0,MLIEL1,2188.4166684174,Exports (MLI)
