Country,y,f,Total annual demand (GWh),Demand type
TGO,2020.0,EL3E,1383.4444455512005,Current electrified
TGO,2021.0,EL3E,1380.3333344376,Current electrified
TGO,2021.0,EL3U,409.6388892166,New electrified
TGO,2022.0,EL3E,1460.277778946,Current electrified
TGO,2022.0,EL3U,819.2500006554001,New electrified
TGO,2023.0,EL3E,1541.5555567888,Current electrified
TGO,2023.0,EL3U,1228.8888898720002,New electrified
TGO,2024.0,EL3E,1624.1111124104,Current electrified
TGO,2024.0,EL3U,1638.5277790886,New electrified
TGO,2025.0,EL3E,1708.1111124776,Current electrified
TGO,2025.0,EL3U,2048.1388905274,New electrified
TGO,2026.0,EL3E,1801.2222236632,Current electrified
TGO,2026.0,EL3U,2457.7777797440003,New electrified
TGO,2027.0,EL3E,1895.7500015166,Current electrified
TGO,2027.0,EL3U,2569.3611131666003,New electrified
TGO,2028.0,EL3E,1991.7222238156,Current electrified
TGO,2028.0,EL3U,2680.9722243670003,New electrified
TGO,2029.0,EL3E,2089.0833350046,Current electrified
TGO,2029.0,EL3U,2792.5555577896,New electrified
TGO,2030.0,EL3E,2187.7777795280003,Current electrified
TGO,2030.0,EL3U,2904.1666689900003,New electrified
TGO,2025.0,GHAEL1,79.2777778412,Exports (GHA)
TGO,2026.0,GHAEL1,55.0277778218,Exports (GHA)
