Country,y,f,Total annual demand (GWh),Demand type
ZAF,2020.0,EL3E,214397.33350485124,Current electrified
ZAF,2021.0,EL3E,218009.9168410746,Current electrified
ZAF,2021.0,EL3U,4905.7500039246,New electrified
ZAF,2022.0,EL3E,225143.91684678185,Current electrified
ZAF,2022.0,EL3U,9811.5000078492,New electrified
ZAF,2023.0,EL3E,232185.8890746376,Current electrified
ZAF,2023.0,EL3U,14717.222233996,New electrified
ZAF,2024.0,EL3E,239143.4446357592,Current electrified
ZAF,2024.0,EL3U,19622.972237920603,New electrified
ZAF,2025.0,EL3E,246028.7779746008,Current electrified
ZAF,2025.0,EL3U,24528.7222418452,New electrified
ZAF,2026.0,EL3E,251113.80575644664,Current electrified
ZAF,2026.0,EL3U,29434.4722457698,New electrified
ZAF,2027.0,EL3E,256137.63909379905,Current electrified
ZAF,2027.0,EL3U,29953.555579518405,New electrified
ZAF,2028.0,EL3E,261098.63909776785,Current electrified
ZAF,2028.0,EL3U,30472.6666910448,New electrified
ZAF,2029.0,EL3E,265999.583546133,Current electrified
ZAF,2029.0,EL3U,30991.777802571203,New electrified
ZAF,2030.0,EL3E,270843.333550008,Current electrified
ZAF,2030.0,EL3U,31510.888914097603,New electrified
ZAF,2020.0,LSOEL1,823.1666673252,Exports (LSO)
ZAF,2020.0,MOZEL1,6358.5277828646,Exports (MOZ)
ZAF,2020.0,NAMEL1,3875.9444475452,Exports (NAM)
ZAF,2020.0,SWZEL1,1803.6944458874,Exports (SWZ)
ZAF,2021.0,LSOEL1,1093.750000875,Exports (LSO)
ZAF,2021.0,MOZEL1,5260.5277819862,Exports (MOZ)
ZAF,2021.0,NAMEL1,5034.0833373606,Exports (NAM)
ZAF,2021.0,SWZEL1,2303.3611129538,Exports (SWZ)
ZAF,2021.0,ZWEEL1,1375.0277788778,Exports (ZWE)
ZAF,2022.0,BWAEL1,2836.6388911582003,Exports (BWA)
ZAF,2022.0,LSOEL1,1384.2777788852,Exports (LSO)
ZAF,2022.0,MOZEL1,5920.611115847601,Exports (MOZ)
ZAF,2022.0,NAMEL1,5826.8888935504,Exports (NAM)
ZAF,2022.0,SWZEL1,2847.0000022776003,Exports (SWZ)
ZAF,2022.0,ZWEEL1,726.5833339146,Exports (ZWE)
ZAF,2023.0,BWAEL1,3966.66666984,Exports (BWA)
ZAF,2023.0,LSOEL1,1570.694445701,Exports (LSO)
ZAF,2023.0,MOZEL1,9105.7222295068,Exports (MOZ)
ZAF,2023.0,NAMEL1,6241.5000049932005,Exports (NAM)
ZAF,2023.0,SWZEL1,3437.9722249726,Exports (SWZ)
ZAF,2023.0,ZWEEL1,1801.5000014412,Exports (ZWE)
ZAF,2024.0,BWAEL1,3418.8333360684,Exports (BWA)
ZAF,2024.0,LSOEL1,1580.1666679308,Exports (LSO)
ZAF,2024.0,MOZEL1,5908.166671393201,Exports (MOZ)
ZAF,2024.0,NAMEL1,4803.027781620201,Exports (NAM)
ZAF,2024.0,SWZEL1,3977.0277809594,Exports (SWZ)
ZAF,2024.0,ZWEEL1,822.4166673246001,Exports (ZWE)
ZAF,2025.0,BWAEL1,695.0833338894,Exports (BWA)
ZAF,2025.0,LSOEL1,1609.6388901766,Exports (LSO)
ZAF,2025.0,MOZEL1,2805.2500022442005,Exports (MOZ)
ZAF,2025.0,NAMEL1,4855.1666705508005,Exports (NAM)
ZAF,2026.0,BWAEL1,1077.77777864,Exports (BWA)
ZAF,2026.0,LSOEL1,1594.3888901644,Exports (LSO)
ZAF,2026.0,MOZEL1,3778.8333363564,Exports (MOZ)
ZAF,2026.0,NAMEL1,4892.5833372474,Exports (NAM)
ZAF,2027.0,BWAEL1,1312.0000010496,Exports (BWA)
ZAF,2027.0,LSOEL1,1636.944445754,Exports (LSO)
ZAF,2027.0,MOZEL1,2301.0000018408,Exports (MOZ)
ZAF,2027.0,NAMEL1,4980.5277817622,Exports (NAM)
ZAF,2028.0,BWAEL1,1551.2777790188002,Exports (BWA)
ZAF,2028.0,LSOEL1,1633.0833346398,Exports (LSO)
ZAF,2028.0,MOZEL1,1100.8611119918,Exports (MOZ)
ZAF,2028.0,NAMEL1,4403.194447967,Exports (NAM)
ZAF,2028.0,ZWEEL1,60.25000004820001,Exports (ZWE)
ZAF,2029.0,BWAEL1,1031.805556381,Exports (BWA)
ZAF,2029.0,LSOEL1,1569.0555568108,Exports (LSO)
ZAF,2029.0,NAMEL1,4103.1666699492,Exports (NAM)
ZAF,2030.0,BWAEL1,5.972222227,Exports (BWA)
ZAF,2030.0,LSOEL1,642.8333338476,Exports (LSO)
ZAF,2030.0,NAMEL1,3900.9444475652,Exports (NAM)
