Country,y,f,Total annual production (GWh),Source
BFA,2020.0,BIO,9.7777777856,Biomass
BFA,2020.0,HFO,217.6944446186,Heavy Fuel Oil
BFA,2020.0,HYD,54.5555555992,Hydropower
BFA,2020.0,Imports (CIV),1111.1666675556005,Imports (CIV)
BFA,2020.0,Imports (GHA),1382.2777788836,Imports (GHA)
BFA,2020.0,LFO,222.2222224,Light Fuel Oil
BFA,2020.0,SOL,388.3888891996,Solar
BFA,2021.0,BIO,9.2777777852,Biomass
BFA,2021.0,HFO,206.805555721,Heavy Fuel Oil
BFA,2021.0,HYD,54.5555555992,Hydropower
BFA,2021.0,Imports (CIV),2025.0277793978,Imports (CIV)
BFA,2021.0,Imports (GHA),1382.2777788836,Imports (GHA)
BFA,2021.0,LFO,213.22222239280003,Light Fuel Oil
BFA,2021.0,SOL,410.138889217,Solar
BFA,2022.0,BIO,8.8055555626,Biomass
BFA,2022.0,HFO,195.9166668234,Heavy Fuel Oil
BFA,2022.0,HYD,98.0277778562,Hydropower
BFA,2022.0,Imports (CIV),2721.3055577326,Imports (CIV)
BFA,2022.0,Imports (GHA),1382.2777788836,Imports (GHA)
BFA,2022.0,LFO,193.9444445996,Light Fuel Oil
BFA,2022.0,SOL,462.4166670366,Solar
BFA,2023.0,BIO,8.3055555622,Biomass
BFA,2023.0,HFO,185.0277779258,Heavy Fuel Oil
BFA,2023.0,HYD,127.1666667684,Hydropower
BFA,2023.0,Imports (CIV),2042.500001634,Imports (CIV)
BFA,2023.0,Imports (GHA),907.222222948,Imports (GHA)
BFA,2023.0,Imports (NER),863.9444451356,Imports (NER)
BFA,2023.0,LFO,183.3611112578,Light Fuel Oil
BFA,2023.0,SOL,483.6388892758,Solar
BFA,2024.0,BIO,7.8333333396,Biomass
BFA,2024.0,HFO,174.166666806,Heavy Fuel Oil
BFA,2024.0,HYD,127.1666667684,Hydropower
BFA,2024.0,Imports (CIV),2563.5555576064,Imports (CIV)
BFA,2024.0,Imports (GHA),551.1388893298,Imports (GHA)
BFA,2024.0,Imports (NER),1231.666667652,Imports (NER)
BFA,2024.0,LFO,172.50000013800002,Light Fuel Oil
BFA,2024.0,SOL,504.2222226256,Solar
BFA,2025.0,BIO,4.888888892800001,Biomass
BFA,2025.0,HFO,163.2777779084,Heavy Fuel Oil
BFA,2025.0,HYD,127.1666667684,Hydropower
BFA,2025.0,Imports (CIV),2721.3055577326,Imports (CIV)
BFA,2025.0,Imports (GHA),990.2500007922,Imports (GHA)
BFA,2025.0,Imports (MLI),10.4444444528,Imports (MLI)
BFA,2025.0,Imports (NER),1231.666667652,Imports (NER)
BFA,2025.0,LFO,157.91666679300002,Light Fuel Oil
BFA,2025.0,SOL,615.8055560482,Solar
BFA,2026.0,BIO,4.388888892400001,Biomass
BFA,2026.0,HFO,152.3888890108,Heavy Fuel Oil
BFA,2026.0,HYD,127.1666667684,Hydropower
BFA,2026.0,Imports (CIV),2510.3055575638004,Imports (CIV)
BFA,2026.0,Imports (GHA),865.3333340256,Imports (GHA)
BFA,2026.0,Imports (MLI),8.6666666736,Imports (MLI)
BFA,2026.0,Imports (NER),1722.6666680448,Imports (NER)
BFA,2026.0,LFO,143.3888890036,Light Fuel Oil
BFA,2026.0,SOL,834.9166673346,Solar
BFA,2027.0,BIO,3.9166666698,Biomass
BFA,2027.0,HFO,141.5000001132,Heavy Fuel Oil
BFA,2027.0,HYD,127.1666667684,Hydropower
BFA,2027.0,Imports (CIV),2579.3888909524003,Imports (CIV)
BFA,2027.0,Imports (GHA),676.3888894300001,Imports (GHA)
BFA,2027.0,Imports (MLI),9.305555563,Imports (MLI)
BFA,2027.0,Imports (NER),1897.4166681846,Imports (NER)
BFA,2027.0,LFO,133.1388889954,Light Fuel Oil
BFA,2027.0,SOL,1003.611111914,Solar
BFA,2028.0,BIO,3.4166666694,Biomass
BFA,2028.0,HFO,130.6111112156,Heavy Fuel Oil
BFA,2028.0,HYD,127.1666667684,Hydropower
BFA,2028.0,Imports (CIV),2200.7777795384,Imports (CIV)
BFA,2028.0,Imports (GHA),863.9166673578001,Imports (GHA)
BFA,2028.0,Imports (NER),2155.3888906132,Imports (NER)
BFA,2028.0,LFO,122.8888889872,Light Fuel Oil
BFA,2028.0,SOL,1174.4166676062,Solar
BFA,2029.0,BIO,2.9444444468,Biomass
BFA,2029.0,HFO,119.722222318,Heavy Fuel Oil
BFA,2029.0,HYD,127.1666667684,Hydropower
BFA,2029.0,Imports (CIV),1821.3611125682,Imports (CIV)
BFA,2029.0,Imports (GHA),863.9166673578001,Imports (GHA)
BFA,2029.0,Imports (NER),2596.4722242994003,Imports (NER)
BFA,2029.0,LFO,112.6666667568,Light Fuel Oil
BFA,2029.0,SOL,1371.2777788748,Solar
BFA,2030.0,BIO,2.4444444464000004,Biomass
BFA,2030.0,HFO,108.8333334204,Heavy Fuel Oil
BFA,2030.0,HYD,127.1666667684,Hydropower
BFA,2030.0,Imports (CIV),1292.8333343676002,Imports (CIV)
BFA,2030.0,Imports (GHA),682.6944449906,Imports (GHA)
BFA,2030.0,Imports (NER),2964.8333357052,Imports (NER)
BFA,2030.0,LFO,102.4166667486,Light Fuel Oil
BFA,2030.0,SOL,1730.6388902734,Solar
