Country,y,f,Total annual production (GWh),Source
ERI,2020.0,HFO,472.4166670446001,Heavy Fuel Oil
ERI,2020.0,LFO,53.055555598000005,Light Fuel Oil
ERI,2020.0,SOL,1.7777777792000002,Solar
ERI,2020.0,WIN,1.1666666676,Wind
ERI,2021.0,BIO,43.194444479000005,Biomass
ERI,2021.0,HFO,561.4722226714,Heavy Fuel Oil
ERI,2021.0,LFO,50.5833333738,Light Fuel Oil
ERI,2021.0,SOL,1.7777777792000002,Solar
ERI,2021.0,WIN,1.111111112,Wind
ERI,2022.0,BIO,103.0277778602,Biomass
ERI,2022.0,HFO,625.3055560558,Heavy Fuel Oil
ERI,2022.0,LFO,49.555555595200005,Light Fuel Oil
ERI,2022.0,SOL,5.8055555602,Solar
ERI,2022.0,WIN,1.0277777786000002,Wind
ERI,2023.0,BIO,167.05555568920002,Biomass
ERI,2023.0,HFO,672.2777783156,Heavy Fuel Oil
ERI,2023.0,LFO,44.694444480200005,Light Fuel Oil
ERI,2023.0,SOL,22.5555555736,Solar
ERI,2023.0,WIN,0.972222223,Wind
ERI,2024.0,BIO,167.05555568920002,Biomass
ERI,2024.0,GEO,659.8333338612,Geothermal
ERI,2024.0,HFO,138.6388889998,Heavy Fuel Oil
ERI,2024.0,LFO,43.05555559,Light Fuel Oil
ERI,2024.0,SOL,22.5555555736,Solar
ERI,2024.0,WIN,0.9166666674,Wind
ERI,2025.0,BIO,167.05555568920002,Biomass
ERI,2025.0,GEO,815.27777843,Geothermal
ERI,2025.0,HFO,129.9722223262,Heavy Fuel Oil
ERI,2025.0,LFO,40.7777778104,Light Fuel Oil
ERI,2025.0,SOL,22.5555555736,Solar
ERI,2025.0,WIN,0.8611111118,Wind
ERI,2026.0,BIO,167.05555568920002,Biomass
ERI,2026.0,GEO,970.9166674434,Geothermal
ERI,2026.0,HFO,121.3055556526,Heavy Fuel Oil
ERI,2026.0,LFO,38.2222222528,Light Fuel Oil
ERI,2026.0,SOL,22.5555555736,Solar
ERI,2026.0,WIN,0.8055555562,Wind
ERI,2027.0,BIO,167.05555568920002,Biomass
ERI,2027.0,GEO,1037.5833341634,Geothermal
ERI,2027.0,HFO,131.2222223272,Heavy Fuel Oil
ERI,2027.0,LFO,35.7222222508,Light Fuel Oil
ERI,2027.0,SOL,46.5833333706,Solar
ERI,2027.0,WIN,0.7500000006,Wind
ERI,2028.0,BIO,167.05555568920002,Biomass
ERI,2028.0,GEO,1076.1666675276,Geothermal
ERI,2028.0,HFO,141.00000011280002,Heavy Fuel Oil
ERI,2028.0,LFO,30.0833333574,Light Fuel Oil
ERI,2028.0,SOL,96.8611111886,Solar
ERI,2028.0,WIN,0.694444445,Wind
ERI,2029.0,BIO,167.05555568920002,Biomass
ERI,2029.0,GEO,1151.0000009208002,Geothermal
ERI,2029.0,HFO,142.22222233600002,Heavy Fuel Oil
ERI,2029.0,LFO,27.5833333554,Light Fuel Oil
ERI,2029.0,SOL,121.4166667638,Solar
ERI,2029.0,WIN,0.6388888894,Wind
ERI,2030.0,BIO,167.05555568920002,Biomass
ERI,2030.0,GEO,1218.3611120858,Geothermal
ERI,2030.0,HFO,121.3055556526,Heavy Fuel Oil
ERI,2030.0,LFO,25.055555575600003,Light Fuel Oil
ERI,2030.0,SOL,173.9166668058,Solar
ERI,2030.0,WIN,0.5833333338,Wind
