Country,y,f,Total annual production (GWh),Source
GHA,2020.0,BIO,26.277777798800003,Biomass
GHA,2020.0,HFO,3698.5833362922,Heavy Fuel Oil
GHA,2020.0,HYD,6574.3888941484,Hydropower
GHA,2020.0,LFO,322.3888891468,Light Fuel Oil
GHA,2020.0,NGA,9294.6944518802,Natural Gas
GHA,2020.0,SOL,26.111111132,Solar
GHA,2020.0,WIN,460.833333702,Wind
GHA,2021.0,BIO,1473.7500011790005,Biomass
GHA,2021.0,HFO,6394.5555606712,Heavy Fuel Oil
GHA,2021.0,HYD,6574.3888941484,Hydropower
GHA,2021.0,LFO,368.7222225172,Light Fuel Oil
GHA,2021.0,NGA,9089.3611183826,Natural Gas
GHA,2021.0,SOL,24.722222242,Solar
GHA,2021.0,WIN,460.833333702,Wind
GHA,2022.0,BIO,1772.1111125288005,Biomass
GHA,2022.0,HFO,6305.277782822,Heavy Fuel Oil
GHA,2022.0,HYD,6574.3888941484,Hydropower
GHA,2022.0,Imports (BEN),3486.2222250112,Imports (BEN)
GHA,2022.0,LFO,354.3888891724,Light Fuel Oil
GHA,2022.0,NGA,9886.388896798,Natural Gas
GHA,2022.0,SOL,23.3611111298,Solar
GHA,2022.0,WIN,460.833333702,Wind
GHA,2023.0,BIO,1943.4166682214,Biomass
GHA,2023.0,HFO,6216.0277827506,Heavy Fuel Oil
GHA,2023.0,HYD,7956.305561920601,Hydropower
GHA,2023.0,Imports (BEN),2365.7777796704,Imports (BEN)
GHA,2023.0,LFO,340.0555558276,Light Fuel Oil
GHA,2023.0,NGA,9681.0555633004,Natural Gas
GHA,2023.0,SOL,21.9722222398,Solar
GHA,2023.0,WIN,460.833333702,Wind
GHA,2024.0,BIO,2111.5000016892,Biomass
GHA,2024.0,HFO,6126.777782679199,Heavy Fuel Oil
GHA,2024.0,HYD,9903.166674589202,Hydropower
GHA,2024.0,Imports (BEN),3656.0555584804,Imports (BEN)
GHA,2024.0,LFO,325.694444705,Light Fuel Oil
GHA,2024.0,NGA,9475.694452025,Natural Gas
GHA,2024.0,SOL,20.6111111276,Solar
GHA,2024.0,WIN,460.833333702,Wind
GHA,2025.0,BIO,2967.916669041,Biomass
GHA,2025.0,COA,3921.3333364704,Coal
GHA,2025.0,HFO,6037.5277826078,Heavy Fuel Oil
GHA,2025.0,HYD,9903.166674589202,Hydropower
GHA,2025.0,Imports (BEN),2960.7777801464,Imports (BEN)
GHA,2025.0,Imports (CIV),66.0000000528,Imports (CIV)
GHA,2025.0,Imports (TGO),79.2777778412,Imports (TGO)
GHA,2025.0,LFO,309.36111135860006,Light Fuel Oil
GHA,2025.0,NGA,9270.3333407496,Natural Gas
GHA,2025.0,SOL,19.2500000154,Solar
GHA,2025.0,WIN,460.833333702,Wind
GHA,2026.0,BIO,4114.527781069401,Biomass
GHA,2026.0,COA,8866.3055626486,Coal
GHA,2026.0,HFO,5948.2777825364,Heavy Fuel Oil
GHA,2026.0,HYD,9903.166674589202,Hydropower
GHA,2026.0,Imports (BEN),2070.277779434,Imports (BEN)
GHA,2026.0,Imports (TGO),55.0277778218,Imports (TGO)
GHA,2026.0,LFO,234.8333335212,Light Fuel Oil
GHA,2026.0,NGA,9065.000007252,Natural Gas
GHA,2026.0,SOL,17.8611111254,Solar
GHA,2026.0,WIN,460.833333702,Wind
GHA,2027.0,BIO,4131.9166699722,Biomass
GHA,2027.0,COA,10128.333341436002,Coal
GHA,2027.0,HFO,5859.0000046872,Heavy Fuel Oil
GHA,2027.0,HYD,9903.166674589202,Hydropower
GHA,2027.0,Imports (BEN),2672.7500021382,Imports (BEN)
GHA,2027.0,LFO,217.1111112848,Light Fuel Oil
GHA,2027.0,NGA,8859.638895976599,Natural Gas
GHA,2027.0,SOL,540.833333766,Solar
GHA,2027.0,WIN,460.833333702,Wind
GHA,2028.0,BIO,4130.6111144156,Biomass
GHA,2028.0,COA,11145.3888978052,Coal
GHA,2028.0,HFO,5769.750004615799,Heavy Fuel Oil
GHA,2028.0,HYD,9903.166674589202,Hydropower
GHA,2028.0,Imports (BEN),3744.3888918844,Imports (BEN)
GHA,2028.0,Imports (CIV),131.527777883,Imports (CIV)
GHA,2028.0,LFO,193.4444445992,Light Fuel Oil
GHA,2028.0,NGA,8654.305562479,Natural Gas
GHA,2028.0,SOL,1063.8055564066,Solar
GHA,2028.0,WIN,460.833333702,Wind
GHA,2029.0,BIO,4129.305558859,Biomass
GHA,2029.0,COA,12234.8055653434,Coal
GHA,2029.0,HFO,5680.5000045444,Heavy Fuel Oil
GHA,2029.0,HYD,9903.166674589202,Hydropower
GHA,2029.0,Imports (BEN),4876.194448345401,Imports (BEN)
GHA,2029.0,LFO,177.3055556974,Light Fuel Oil
GHA,2029.0,NGA,8448.9166734258,Natural Gas
GHA,2029.0,SOL,1635.6666679752,Solar
GHA,2029.0,WIN,460.833333702,Wind
GHA,2030.0,BIO,4128.0000033024,Biomass
GHA,2030.0,COA,13726.527788759002,Coal
GHA,2030.0,HFO,5591.250004473,Heavy Fuel Oil
GHA,2030.0,HYD,9903.166674589202,Hydropower
GHA,2030.0,Imports (BEN),4547.8611147494,Imports (BEN)
GHA,2030.0,LFO,161.1944445734,Light Fuel Oil
GHA,2030.0,NGA,8243.5833399282,Natural Gas
GHA,2030.0,SOL,2536.8611131406,Solar
GHA,2030.0,WIN,460.833333702,Wind
