Country,y,f,Total annual production (GWh),Source
GMB,2020.0,HFO,364.5555558472,Heavy Fuel Oil
GMB,2020.0,LFO,10.555555564,Light Fuel Oil
GMB,2020.0,SOL,2.9166666690000005,Solar
GMB,2020.0,WIN,0.9444444452,Wind
GMB,2021.0,BIO,41.527777811,Biomass
GMB,2021.0,HFO,69.2777778332,Heavy Fuel Oil
GMB,2021.0,Imports (GNB),99.7500000798,Imports (GNB)
GMB,2021.0,Imports (SEN),182.9444445908,Imports (SEN)
GMB,2021.0,LFO,10.0277777858,Light Fuel Oil
GMB,2021.0,SOL,2.77777778,Solar
GMB,2021.0,WIN,0.8888888896000001,Wind
GMB,2022.0,BIO,41.805555589,Biomass
GMB,2022.0,HFO,65.6111111636,Heavy Fuel Oil
GMB,2022.0,Imports (GNB),134.2500001074,Imports (GNB)
GMB,2022.0,Imports (SEN),234.8888890768,Imports (SEN)
GMB,2022.0,LFO,9.5000000076,Light Fuel Oil
GMB,2022.0,SOL,2.6111111132,Solar
GMB,2022.0,WIN,0.8333333340000001,Wind
GMB,2023.0,BIO,41.805555589,Biomass
GMB,2023.0,HFO,309.861111359,Heavy Fuel Oil
GMB,2023.0,HYD,191.3611112642,Hydropower
GMB,2023.0,Imports (GNB),8.2777777844,Imports (GNB)
GMB,2023.0,Imports (SEN),7.4166666726,Imports (SEN)
GMB,2023.0,LFO,8.972222229400002,Light Fuel Oil
GMB,2023.0,SOL,2.4722222242000003,Solar
GMB,2023.0,WIN,0.8055555562,Wind
GMB,2024.0,BIO,41.805555589,Biomass
GMB,2024.0,HFO,291.63888912220006,Heavy Fuel Oil
GMB,2024.0,HYD,283.9722224494,Hydropower
GMB,2024.0,Imports (GNB),7.1666666724,Imports (GNB)
GMB,2024.0,Imports (SEN),15.4722222346,Imports (SEN)
GMB,2024.0,LFO,8.4444444512,Light Fuel Oil
GMB,2024.0,SOL,2.3055555574,Solar
GMB,2024.0,WIN,0.7500000006,Wind
GMB,2025.0,BIO,41.805555589,Biomass
GMB,2025.0,HFO,273.4166668854,Heavy Fuel Oil
GMB,2025.0,HYD,387.9444447548,Hydropower
GMB,2025.0,Imports (GNB),17.0000000136,Imports (GNB)
GMB,2025.0,Imports (SEN),13.416666677400002,Imports (SEN)
GMB,2025.0,LFO,7.916666673000001,Light Fuel Oil
GMB,2025.0,SOL,2.1388888906,Solar
GMB,2025.0,WIN,0.694444445,Wind
GMB,2026.0,BIO,41.805555589,Biomass
GMB,2026.0,HFO,255.1944446486,Heavy Fuel Oil
GMB,2026.0,HYD,536.5555559848,Hydropower
GMB,2026.0,Imports (GNB),20.5833333498,Imports (GNB)
GMB,2026.0,LFO,7.3888888948,Light Fuel Oil
GMB,2026.0,SOL,2.0000000016,Solar
GMB,2026.0,WIN,0.6666666672,Wind
GMB,2027.0,BIO,41.805555589,Biomass
GMB,2027.0,HFO,236.9722224118,Heavy Fuel Oil
GMB,2027.0,HYD,542.0555559892,Hydropower
GMB,2027.0,Imports (GNB),42.0000000336,Imports (GNB)
GMB,2027.0,LFO,6.8611111166,Light Fuel Oil
GMB,2027.0,SOL,1.8333333348,Solar
GMB,2027.0,WIN,0.6111111116000001,Wind
GMB,2028.0,BIO,41.805555589,Biomass
GMB,2028.0,HFO,218.7222223972,Heavy Fuel Oil
GMB,2028.0,HYD,708.3055561222001,Hydropower
GMB,2028.0,LFO,6.3333333384,Light Fuel Oil
GMB,2028.0,SOL,1.6944444458,Solar
GMB,2028.0,WIN,0.5555555560000001,Wind
GMB,2029.0,BIO,41.805555589,Biomass
GMB,2029.0,HFO,200.5000001604,Heavy Fuel Oil
GMB,2029.0,HYD,708.3055561222001,Hydropower
GMB,2029.0,Imports (GNB),23.6388889078,Imports (GNB)
GMB,2029.0,LFO,5.8055555602,Light Fuel Oil
GMB,2029.0,SOL,1.527777779,Solar
GMB,2029.0,WIN,0.5277777782,Wind
GMB,2030.0,BIO,41.805555589,Biomass
GMB,2030.0,HFO,182.2777779236,Heavy Fuel Oil
GMB,2030.0,HYD,746.6666672640001,Hydropower
GMB,2030.0,Imports (GNB),30.166666690800003,Imports (GNB)
GMB,2030.0,LFO,5.277777782,Light Fuel Oil
GMB,2030.0,SOL,4.0833333366,Solar
GMB,2030.0,WIN,0.4722222226,Wind
