Country,y,f,Total annual production (GWh),Source
GNQ,2020.0,HFO,199.9722223822,Heavy Fuel Oil
GNQ,2020.0,HYD,514.6388893006,Hydropower
GNQ,2020.0,LFO,24.5000000196,Light Fuel Oil
GNQ,2020.0,NGA,575.8888893496,Natural Gas
GNQ,2020.0,SOL,1265.833334346,Solar
GNQ,2021.0,HFO,189.9722223742,Heavy Fuel Oil
GNQ,2021.0,HYD,514.6388893006,Hydropower
GNQ,2021.0,LFO,19.722222238000004,Light Fuel Oil
GNQ,2021.0,NGA,565.5833337857999,Natural Gas
GNQ,2021.0,SOL,1316.5833343866,Solar
GNQ,2022.0,HFO,124.9722223222,Heavy Fuel Oil
GNQ,2022.0,HYD,514.6388893006,Hydropower
GNQ,2022.0,LFO,17.055555569200003,Light Fuel Oil
GNQ,2022.0,NGA,555.277778222,Natural Gas
GNQ,2022.0,SOL,1656.3333346584002,Solar
GNQ,2023.0,HFO,118.0277778722,Heavy Fuel Oil
GNQ,2023.0,HYD,514.6388893006,Hydropower
GNQ,2023.0,LFO,17.0555555692,Light Fuel Oil
GNQ,2023.0,NGA,439.3888892404,Natural Gas
GNQ,2023.0,SOL,2038.4444460752,Solar
GNQ,2024.0,HFO,111.0833334222,Heavy Fuel Oil
GNQ,2024.0,HYD,514.6388893006,Hydropower
GNQ,2024.0,LFO,17.027777791400002,Light Fuel Oil
GNQ,2024.0,NGA,505.7777781824001,Natural Gas
GNQ,2024.0,SOL,2236.8888906784,Solar
GNQ,2025.0,HFO,104.1388889722,Heavy Fuel Oil
GNQ,2025.0,HYD,514.6388893006,Hydropower
GNQ,2025.0,LFO,17.0000000136,Light Fuel Oil
GNQ,2025.0,NGA,577.6111115732,Natural Gas
GNQ,2025.0,SOL,2429.3333352768,Solar
GNQ,2026.0,HFO,97.1944445222,Heavy Fuel Oil
GNQ,2026.0,HYD,514.6388893006,Hydropower
GNQ,2026.0,LFO,16.944444458,Light Fuel Oil
GNQ,2026.0,NGA,647.6666671848,Natural Gas
GNQ,2026.0,SOL,2616.388890982,Solar
GNQ,2027.0,HFO,90.27777785,Heavy Fuel Oil
GNQ,2027.0,HYD,514.6388893006,Hydropower
GNQ,2027.0,LFO,16.916666680200002,Light Fuel Oil
GNQ,2027.0,NGA,710.1666672348,Natural Gas
GNQ,2027.0,SOL,2780.7222244468003,Solar
GNQ,2028.0,HFO,83.3333334,Heavy Fuel Oil
GNQ,2028.0,HYD,514.6388893006,Hydropower
GNQ,2028.0,LFO,6.8333333388,Light Fuel Oil
GNQ,2028.0,NGA,772.2777783956001,Natural Gas
GNQ,2028.0,SOL,2958.5000023668,Solar
GNQ,2029.0,HFO,76.38888895000001,Heavy Fuel Oil
GNQ,2029.0,HYD,514.6388893006,Hydropower
GNQ,2029.0,LFO,6.2777777828,Light Fuel Oil
GNQ,2029.0,NGA,834.4722228897999,Natural Gas
GNQ,2029.0,SOL,3122.7500024982,Solar
GNQ,2030.0,HFO,69.4444445,Heavy Fuel Oil
GNQ,2030.0,HYD,514.6388893006,Hydropower
GNQ,2030.0,LFO,5.694444449000001,Light Fuel Oil
GNQ,2030.0,NGA,820.6111117676,Natural Gas
GNQ,2030.0,SOL,3361.2222249112,Solar
