Country,y,f,Total annual production (GWh),Source
LBR,2020.0,HFO,1067.1111119648,Heavy Fuel Oil
LBR,2020.0,HYD,285.02777800580003,Hydropower
LBR,2020.0,LFO,122.1666667644,Light Fuel Oil
LBR,2021.0,HFO,712.6666672368,Heavy Fuel Oil
LBR,2021.0,HYD,285.02777800580003,Hydropower
LBR,2021.0,Imports (GIN),169.88888902480002,Imports (GIN)
LBR,2021.0,LFO,120.05555565160002,Light Fuel Oil
LBR,2022.0,HFO,716.4444450176001,Heavy Fuel Oil
LBR,2022.0,HYD,285.02777800580003,Hydropower
LBR,2022.0,Imports (CIV),308.91666691380004,Imports (CIV)
LBR,2022.0,LFO,112.61111120120002,Light Fuel Oil
LBR,2022.0,SOL,6.250000005,Solar
LBR,2023.0,HFO,947.4722229802,Heavy Fuel Oil
LBR,2023.0,HYD,374.8888891888001,Hydropower
LBR,2023.0,LFO,109.6666667544,Light Fuel Oil
LBR,2023.0,SOL,6.250000005,Solar
LBR,2024.0,HFO,907.6111118372,Heavy Fuel Oil
LBR,2024.0,HYD,388.5277780886,Hydropower
LBR,2024.0,Imports (GIN),17.8888889032,Imports (GIN)
LBR,2024.0,LFO,104.5000000836,Light Fuel Oil
LBR,2024.0,SOL,8.888888896000001,Solar
LBR,2025.0,HFO,867.7500006942,Heavy Fuel Oil
LBR,2025.0,HYD,675.2500005402001,Hydropower
LBR,2025.0,Imports (GIN),29.5000000236,Imports (GIN)
LBR,2025.0,LFO,99.30555563500002,Light Fuel Oil
LBR,2025.0,SOL,15.972222235000002,Solar
LBR,2026.0,HFO,827.8611117734,Heavy Fuel Oil
LBR,2026.0,HYD,963.5000007708,Hydropower
LBR,2026.0,Imports (GIN),141.2222223352,Imports (GIN)
LBR,2026.0,LFO,94.1111111864,Light Fuel Oil
LBR,2026.0,SOL,18.3055555702,Solar
LBR,2027.0,HFO,788.0000006304001,Heavy Fuel Oil
LBR,2027.0,HYD,1696.9722235798004,Hydropower
LBR,2027.0,Imports (GIN),22.638888907,Imports (GIN)
LBR,2027.0,Imports (SLE),188.7777779288,Imports (SLE)
LBR,2027.0,LFO,85.11111117920001,Light Fuel Oil
LBR,2027.0,SOL,34.8888889168,Solar
LBR,2028.0,HFO,748.1111117096001,Heavy Fuel Oil
LBR,2028.0,HYD,1696.9722235798004,Hydropower
LBR,2028.0,Imports (GIN),249.1388890882,Imports (GIN)
LBR,2028.0,Imports (SLE),330.77777804240003,Imports (SLE)
LBR,2028.0,LFO,62.3333333832,Light Fuel Oil
LBR,2028.0,SOL,75.555555616,Solar
LBR,2029.0,HFO,708.2500005666001,Heavy Fuel Oil
LBR,2029.0,HYD,1696.9722235798004,Hydropower
LBR,2029.0,Imports (SLE),89.4722222938,Imports (SLE)
LBR,2029.0,LFO,57.1388889346,Light Fuel Oil
LBR,2029.0,SOL,109.5555556432,Solar
LBR,2030.0,HFO,668.3611116458,Heavy Fuel Oil
LBR,2030.0,HYD,1696.9722235798004,Hydropower
LBR,2030.0,LFO,51.944444486,Light Fuel Oil
LBR,2030.0,SOL,179.2777779212,Solar
