Country,y,f,Total annual production (GWh),Source
LSO,2020.0,HFO,1.6111111124,Heavy Fuel Oil
LSO,2020.0,HYD,309.7777780256,Hydropower
LSO,2020.0,Imports (ZAF),823.1666673252,Imports (ZAF)
LSO,2020.0,LFO,0.5833333338,Light Fuel Oil
LSO,2021.0,HFO,1.527777779,Heavy Fuel Oil
LSO,2021.0,HYD,309.7777780256,Hydropower
LSO,2021.0,Imports (ZAF),1093.750000875,Imports (ZAF)
LSO,2021.0,LFO,0.5555555560000001,Light Fuel Oil
LSO,2022.0,HFO,1.4444444456,Heavy Fuel Oil
LSO,2022.0,HYD,309.7777780256,Hydropower
LSO,2022.0,Imports (ZAF),1384.2777788852,Imports (ZAF)
LSO,2022.0,LFO,0.9166666674,Light Fuel Oil
LSO,2023.0,HFO,1.4166666678000002,Heavy Fuel Oil
LSO,2023.0,HYD,320.69444470099995,Hydropower
LSO,2023.0,Imports (ZAF),1570.694445701,Imports (ZAF)
LSO,2023.0,LFO,33.472222249,Light Fuel Oil
LSO,2023.0,SOL,66.05555560840001,Solar
LSO,2024.0,HFO,2.6944444466000004,Heavy Fuel Oil
LSO,2024.0,HYD,424.5555558952,Hydropower
LSO,2024.0,Imports (ZAF),1580.1666679308,Imports (ZAF)
LSO,2024.0,LFO,19.0833333486,Light Fuel Oil
LSO,2024.0,SOL,271.86111132860003,Solar
LSO,2025.0,HFO,5.2222222264,Heavy Fuel Oil
LSO,2025.0,HYD,529.5555559792,Hydropower
LSO,2025.0,Imports (ZAF),1609.6388901766,Imports (ZAF)
LSO,2025.0,LFO,21.722222239600004,Light Fuel Oil
LSO,2025.0,SOL,429.1111114544,Solar
LSO,2026.0,HFO,2.3333333352,Heavy Fuel Oil
LSO,2026.0,HYD,631.8888893944,Hydropower
LSO,2026.0,Imports (ZAF),1594.3888901644,Imports (ZAF)
LSO,2026.0,LFO,7.3333333392,Light Fuel Oil
LSO,2026.0,SOL,669.0833338686,Solar
LSO,2027.0,HFO,2.1666666684,Heavy Fuel Oil
LSO,2027.0,HYD,631.8888893944,Hydropower
LSO,2027.0,Imports (ZAF),1636.944445754,Imports (ZAF)
LSO,2027.0,LFO,7.305555561399999,Light Fuel Oil
LSO,2027.0,SOL,898.3611118297999,Solar
LSO,2028.0,HFO,2.0000000016,Heavy Fuel Oil
LSO,2028.0,HYD,631.8888893944,Hydropower
LSO,2028.0,Imports (ZAF),1633.0833346398,Imports (ZAF)
LSO,2028.0,LFO,0.3611111114,Light Fuel Oil
LSO,2028.0,SOL,1194.8333342892,Solar
LSO,2029.0,HFO,1.38888889,Heavy Fuel Oil
LSO,2029.0,HYD,631.8888893944,Hydropower
LSO,2029.0,Imports (ZAF),1569.0555568108,Imports (ZAF)
LSO,2029.0,LFO,0.3333333336,Light Fuel Oil
LSO,2029.0,SOL,1568.2222234768,Solar
LSO,2030.0,HFO,1.6666666680000002,Heavy Fuel Oil
LSO,2030.0,HYD,631.8888893944,Hydropower
LSO,2030.0,Imports (ZAF),642.8333338476,Imports (ZAF)
LSO,2030.0,LFO,0.3055555558,Light Fuel Oil
LSO,2030.0,SOL,3002.638891291,Solar
