Country,y,f,Total annual production (GWh),Source
MRT,2020.0,HFO,2293.5833351682,Heavy Fuel Oil
MRT,2020.0,HYD,287.11111134080005,Hydropower
MRT,2020.0,LFO,68.80555561060001,Light Fuel Oil
MRT,2020.0,SOL,162.6944445746,Solar
MRT,2020.0,WIN,112.4166667566,Wind
MRT,2021.0,HFO,2265.1666684788,Heavy Fuel Oil
MRT,2021.0,HYD,287.11111134080005,Hydropower
MRT,2021.0,LFO,66.5555556088,Light Fuel Oil
MRT,2021.0,SOL,239.8055557474,Solar
MRT,2021.0,WIN,111.6944445338,Wind
MRT,2022.0,HFO,2693.611113266,Heavy Fuel Oil
MRT,2022.0,HYD,287.11111134080005,Hydropower
MRT,2022.0,LFO,54.3333333768,Light Fuel Oil
MRT,2022.0,NGA,45.0833333694,Natural Gas
MRT,2022.0,SOL,368.16666696120006,Solar
MRT,2022.0,WIN,179.0000001432,Wind
MRT,2023.0,HFO,2596.6388909662,Heavy Fuel Oil
MRT,2023.0,HYD,426.7222225636,Hydropower
MRT,2023.0,LFO,61.1388889378,Light Fuel Oil
MRT,2023.0,NGA,379.583333637,Natural Gas
MRT,2023.0,SOL,380.6388891934,Solar
MRT,2023.0,WIN,178.2777779204,Wind
MRT,2024.0,HFO,310.3333335816,Heavy Fuel Oil
MRT,2024.0,HYD,481.5833337186,Hydropower
MRT,2024.0,LFO,58.194444491000006,Light Fuel Oil
MRT,2024.0,NGA,2693.1111132656,Natural Gas
MRT,2024.0,SOL,416.5555558888,Solar
MRT,2024.0,WIN,177.5555556976,Wind
MRT,2025.0,HFO,290.94444467720007,Heavy Fuel Oil
MRT,2025.0,HYD,536.7500004294,Hydropower
MRT,2025.0,LFO,54.7777778216,Light Fuel Oil
MRT,2025.0,NGA,2693.1111132656,Natural Gas
MRT,2025.0,SOL,439.027778129,Solar
MRT,2025.0,WIN,176.8333334748,Wind
MRT,2026.0,HFO,271.5555557728,Heavy Fuel Oil
MRT,2026.0,HYD,536.7500004294,Hydropower
MRT,2026.0,LFO,45.694444481,Light Fuel Oil
MRT,2026.0,NGA,2812.8333355836003,Natural Gas
MRT,2026.0,SOL,502.222222624,Solar
MRT,2026.0,WIN,239.5000001916,Wind
MRT,2027.0,HFO,252.1388890906,Heavy Fuel Oil
MRT,2027.0,HYD,536.7500004294,Hydropower
MRT,2027.0,LFO,33.750000027,Light Fuel Oil
MRT,2027.0,NGA,2926.9722245638004,Natural Gas
MRT,2027.0,SOL,608.2777782644,Solar
MRT,2027.0,WIN,264.8888891008,Wind
MRT,2028.0,HFO,232.7500001862,Heavy Fuel Oil
MRT,2028.0,HYD,536.7500004294,Hydropower
MRT,2028.0,LFO,27.5277777998,Light Fuel Oil
MRT,2028.0,NGA,3036.6944468738,Natural Gas
MRT,2028.0,SOL,750.555556156,Solar
MRT,2028.0,WIN,264.1944446558,Wind
MRT,2029.0,HFO,213.3611112818,Heavy Fuel Oil
MRT,2029.0,HYD,536.7500004294,Hydropower
MRT,2029.0,LFO,25.2500000202,Light Fuel Oil
MRT,2029.0,NGA,3245.1111137072,Natural Gas
MRT,2029.0,SOL,954.6944452082,Solar
MRT,2029.0,WIN,263.472222433,Wind
MRT,2030.0,HFO,412.9722225526,Heavy Fuel Oil
MRT,2030.0,HYD,536.7500004294,Hydropower
MRT,2030.0,LFO,22.944444462800003,Light Fuel Oil
MRT,2030.0,NGA,3421.7777805152004,Natural Gas
MRT,2030.0,SOL,1386.7500011094,Solar
MRT,2030.0,WIN,262.7500002102,Wind
