Country,y,f,Total annual production (GWh),Source
RWA,2020.0,BIO,6.0833333382,Biomass
RWA,2020.0,HFO,46.9166667042,Heavy Fuel Oil
RWA,2020.0,HYD,463.9166670378,Hydropower
RWA,2020.0,Imports (COD),1532.638890115,Imports (COD)
RWA,2020.0,Imports (UGA),144.8333334492,Imports (UGA)
RWA,2020.0,LFO,1.7222222236,Light Fuel Oil
RWA,2020.0,NGA,5.0555555596,Natural Gas
RWA,2020.0,SOL,18.4166666814,Solar
RWA,2021.0,BIO,14.3333333448,Biomass
RWA,2021.0,HFO,44.5555555912,Heavy Fuel Oil
RWA,2021.0,HYD,463.9166670378,Hydropower
RWA,2021.0,Imports (COD),1234.166667654,Imports (COD)
RWA,2021.0,Imports (UGA),611.666667156,Imports (UGA)
RWA,2021.0,LFO,1.7222222236,Light Fuel Oil
RWA,2021.0,NGA,4.8055555594,Natural Gas
RWA,2021.0,SOL,18.3888889036,Solar
RWA,2022.0,BIO,13.5833333442,Biomass
RWA,2022.0,COA,46.3055555926,Coal
RWA,2022.0,HFO,42.222222256,Heavy Fuel Oil
RWA,2022.0,HYD,680.8055561002,Hydropower
RWA,2022.0,Imports (COD),1117.1111120048,Imports (COD)
RWA,2022.0,Imports (UGA),526.1388893098,Imports (UGA)
RWA,2022.0,LFO,1.6944444458,Light Fuel Oil
RWA,2022.0,NGA,4.555555559200001,Natural Gas
RWA,2022.0,SOL,18.3611111258,Solar
RWA,2023.0,BIO,12.8333333436,Biomass
RWA,2023.0,COA,46.3055555926,Coal
RWA,2023.0,HFO,39.861111143,Heavy Fuel Oil
RWA,2023.0,HYD,680.8055561002,Hydropower
RWA,2023.0,Imports (COD),1069.2777786332,Imports (COD)
RWA,2023.0,Imports (TZA),525.1111115312001,Imports (TZA)
RWA,2023.0,Imports (UGA),279.722222446,Imports (UGA)
RWA,2023.0,LFO,1.6944444458,Light Fuel Oil
RWA,2023.0,NGA,4.305555559,Natural Gas
RWA,2023.0,SOL,18.3611111258,Solar
RWA,2024.0,BIO,12.083333343,Biomass
RWA,2024.0,COA,46.3055555926,Coal
RWA,2024.0,HFO,78.194444507,Heavy Fuel Oil
RWA,2024.0,HYD,680.8055561002,Hydropower
RWA,2024.0,Imports (COD),2145.277779494,Imports (COD)
RWA,2024.0,Imports (UGA),129.05555565880002,Imports (UGA)
RWA,2024.0,LFO,1.6944444458,Light Fuel Oil
RWA,2024.0,NGA,347.9444447228,Natural Gas
RWA,2024.0,SOL,18.333333348,Solar
RWA,2025.0,BIO,7.5555555616,Biomass
RWA,2025.0,COA,46.3055555926,Coal
RWA,2025.0,GEO,744.6111117068001,Geothermal
RWA,2025.0,HFO,73.3055556142,Heavy Fuel Oil
RWA,2025.0,HYD,716.1666672396,Hydropower
RWA,2025.0,Imports (BDI),113.05555564600002,Imports (BDI)
RWA,2025.0,Imports (COD),432.1944447902,Imports (COD)
RWA,2025.0,Imports (UGA),8.4166666734,Imports (UGA)
RWA,2025.0,LFO,1.6666666680000002,Light Fuel Oil
RWA,2025.0,NGA,869.7777784735999,Natural Gas
RWA,2025.0,SOL,18.3055555702,Solar
RWA,2026.0,BIO,6.7777777832,Biomass
RWA,2026.0,COA,46.3055555926,Coal
RWA,2026.0,GEO,744.6111117068001,Geothermal
RWA,2026.0,HFO,68.4166667214,Heavy Fuel Oil
RWA,2026.0,HYD,716.1666672396,Hydropower
RWA,2026.0,Imports (COD),223.333333512,Imports (COD)
RWA,2026.0,Imports (TZA),50.11111115120001,Imports (TZA)
RWA,2026.0,Imports (UGA),591.6111115844,Imports (UGA)
RWA,2026.0,LFO,0.1666666668,Light Fuel Oil
RWA,2026.0,NGA,875.6666673672,Natural Gas
RWA,2026.0,SOL,18.3055555702,Solar
RWA,2027.0,BIO,6.0277777826,Biomass
RWA,2027.0,COA,46.3055555926,Coal
RWA,2027.0,GEO,1489.1944456358,Geothermal
RWA,2027.0,HFO,63.5277778286,Heavy Fuel Oil
RWA,2027.0,HYD,716.1666672396,Hydropower
RWA,2027.0,Imports (COD),65.5833333858,Imports (COD)
RWA,2027.0,Imports (TZA),273.50000021880004,Imports (TZA)
RWA,2027.0,Imports (UGA),28.555555578400003,Imports (UGA)
RWA,2027.0,LFO,0.1666666668,Light Fuel Oil
RWA,2027.0,NGA,1376.4444455456005,Natural Gas
RWA,2027.0,SOL,18.2777777924,Solar
RWA,2028.0,BIO,5.277777782,Biomass
RWA,2028.0,COA,46.3055555926,Coal
RWA,2028.0,GEO,1489.1944456358,Geothermal
RWA,2028.0,HFO,58.6388889358,Heavy Fuel Oil
RWA,2028.0,HYD,716.1666672396,Hydropower
RWA,2028.0,Imports (COD),53.694444487400006,Imports (COD)
RWA,2028.0,Imports (UGA),235.3611112994,Imports (UGA)
RWA,2028.0,NGA,1380.9722233270002,Natural Gas
RWA,2028.0,SOL,18.250000014600005,Solar
RWA,2029.0,BIO,4.5277777814,Biomass
RWA,2029.0,COA,46.3055555926,Coal
RWA,2029.0,GEO,1489.1944456358,Geothermal
RWA,2029.0,HFO,53.75000004300001,Heavy Fuel Oil
RWA,2029.0,HYD,716.1666672396,Hydropower
RWA,2029.0,Imports (COD),55.7500000446,Imports (COD)
RWA,2029.0,Imports (TZA),177.6111112532,Imports (TZA)
RWA,2029.0,Imports (UGA),167.1111112448,Imports (UGA)
RWA,2029.0,NGA,1403.1666677892,Natural Gas
RWA,2029.0,SOL,44.972222258200006,Solar
RWA,2030.0,BIO,3.7777777808,Biomass
RWA,2030.0,COA,46.3055555926,Coal
RWA,2030.0,GEO,2233.8055573426004,Geothermal
RWA,2030.0,HFO,48.8611111502,Heavy Fuel Oil
RWA,2030.0,HYD,716.1666672396,Hydropower
RWA,2030.0,Imports (TZA),849.3611117906,Imports (TZA)
RWA,2030.0,Imports (UGA),142.6666667808,Imports (UGA)
RWA,2030.0,NGA,1597.5555568336,Natural Gas
RWA,2030.0,SOL,79.05555561880001,Solar
