Country,y,f,Total annual production (GWh),Source
SDN,2020.0,BIO,950.3888896492,Biomass
SDN,2020.0,HFO,2553.750002043,Heavy Fuel Oil
SDN,2020.0,HYD,7917.1388952226,Hydropower
SDN,2020.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2020.0,LFO,470.9166670434,Light Fuel Oil
SDN,2020.0,SOL,20.8888889056,Solar
SDN,2021.0,BIO,902.8888896112,Biomass
SDN,2021.0,HFO,12130.3055652598,Heavy Fuel Oil
SDN,2021.0,HYD,7917.1388952226,Hydropower
SDN,2021.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2021.0,LFO,447.361111469,Light Fuel Oil
SDN,2021.0,NGA,9189.444451796,Natural Gas
SDN,2021.0,SOL,20.2222222384,Solar
SDN,2022.0,BIO,855.3611117954,Biomass
SDN,2022.0,HFO,11491.8888980824,Heavy Fuel Oil
SDN,2022.0,HYD,7917.1388952226,Hydropower
SDN,2022.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2022.0,LFO,466.7500003734,Light Fuel Oil
SDN,2022.0,NGA,12480.3055655398,Natural Gas
SDN,2022.0,SOL,19.555555571200003,Solar
SDN,2023.0,BIO,807.8333339796,Biomass
SDN,2023.0,HFO,9726.055563336402,Heavy Fuel Oil
SDN,2023.0,HYD,7917.1388952226,Hydropower
SDN,2023.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2023.0,LFO,448.5555559144,Light Fuel Oil
SDN,2023.0,NGA,12480.3055655398,Natural Gas
SDN,2023.0,SOL,18.888888904,Solar
SDN,2024.0,BIO,760.3055561638,Biomass
SDN,2024.0,GEO,744.6111117068001,Geothermal
SDN,2024.0,HFO,10215.000008172,Heavy Fuel Oil
SDN,2024.0,HYD,7917.1388952226,Hydropower
SDN,2024.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2024.0,LFO,430.3055558998001,Light Fuel Oil
SDN,2024.0,NGA,12480.3055655398,Natural Gas
SDN,2024.0,SOL,18.222222236800004,Solar
SDN,2025.0,BIO,475.19444482460005,Biomass
SDN,2025.0,GEO,1489.1944456358,Geothermal
SDN,2025.0,HFO,9060.7500072486,Heavy Fuel Oil
SDN,2025.0,HYD,7917.1388952226,Hydropower
SDN,2025.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2025.0,LFO,412.0277781074,Light Fuel Oil
SDN,2025.0,NGA,12480.3055655398,Natural Gas
SDN,2025.0,SOL,17.555555569600003,Solar
SDN,2026.0,BIO,427.66666700880006,Biomass
SDN,2026.0,GEO,2233.8055573426004,Geothermal
SDN,2026.0,HFO,4642.3333370472,Heavy Fuel Oil
SDN,2026.0,HYD,7917.1388952226,Hydropower
SDN,2026.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2026.0,LFO,394.1388892042,Light Fuel Oil
SDN,2026.0,NGA,12480.3055655398,Natural Gas
SDN,2026.0,SOL,16.8888889024,Solar
SDN,2027.0,BIO,380.1666669708,Biomass
SDN,2027.0,GEO,2978.3888912716,Geothermal
SDN,2027.0,HFO,8299.6944510842,Heavy Fuel Oil
SDN,2027.0,HYD,7917.1388952226,Hydropower
SDN,2027.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2027.0,LFO,306.08333357820004,Light Fuel Oil
SDN,2027.0,NGA,14750.9166784674,Natural Gas
SDN,2027.0,SOL,16.2222222352,Solar
SDN,2028.0,BIO,332.638889155,Biomass
SDN,2028.0,GEO,2978.3888912716,Geothermal
SDN,2028.0,HFO,6900.694449965001,Heavy Fuel Oil
SDN,2028.0,HYD,7917.1388952226,Hydropower
SDN,2028.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2028.0,LFO,282.55555578160005,Light Fuel Oil
SDN,2028.0,NGA,26774.3333547528,Natural Gas
SDN,2028.0,SOL,15.555555568,Solar
SDN,2029.0,BIO,285.1111113392,Biomass
SDN,2029.0,GEO,2978.3888912716,Geothermal
SDN,2029.0,HFO,3911.8611142406,Heavy Fuel Oil
SDN,2029.0,HYD,9977.361119093,Hydropower
SDN,2029.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2029.0,LFO,259.0000002072,Light Fuel Oil
SDN,2029.0,NGA,33894.0000271152,Natural Gas
SDN,2029.0,SOL,837.8888895592,Solar
SDN,2030.0,BIO,237.61111130120003,Biomass
SDN,2030.0,GEO,2978.3888912716,Geothermal
SDN,2030.0,HFO,2969.0555579308,Heavy Fuel Oil
SDN,2030.0,HYD,13110.9444549332,Hydropower
SDN,2030.0,Imports (ETH),1320.8611121678,Imports (ETH)
SDN,2030.0,LFO,235.4444446328,Light Fuel Oil
SDN,2030.0,NGA,35671.7778063152,Natural Gas
SDN,2030.0,SOL,2290.7500018326004,Solar
