Country,y,f,Total annual production (GWh),Source
SEN,2020.0,COA,210.5000001684,Coal
SEN,2020.0,HFO,5306.6388931342,Heavy Fuel Oil
SEN,2020.0,HYD,1061.8888897384,Hydropower
SEN,2020.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2020.0,LFO,230.8611112958,Light Fuel Oil
SEN,2020.0,SOL,144.8333334492,Solar
SEN,2020.0,WIN,149.8333334532,Wind
SEN,2021.0,BIO,810.7500006486,Biomass
SEN,2021.0,COA,210.5000001684,Coal
SEN,2021.0,HFO,3960.0277809458,Heavy Fuel Oil
SEN,2021.0,HYD,1061.8888897384,Hydropower
SEN,2021.0,Imports (GIN),1671.5555568928,Imports (GIN)
SEN,2021.0,Imports (MRT),527.0277781994,Imports (MRT)
SEN,2021.0,LFO,219.6111112868,Light Fuel Oil
SEN,2021.0,SOL,144.0000001152,Solar
SEN,2021.0,WIN,149.8333334532,Wind
SEN,2022.0,BIO,810.7500006486,Biomass
SEN,2022.0,COA,210.5000001684,Coal
SEN,2022.0,HFO,4177.1388922306,Heavy Fuel Oil
SEN,2022.0,HYD,1061.8888897384,Hydropower
SEN,2022.0,Imports (GIN),1611.6666679560003,Imports (GIN)
SEN,2022.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2022.0,LFO,199.0555557148,Light Fuel Oil
SEN,2022.0,SOL,270.69444466100003,Solar
SEN,2022.0,WIN,149.8333334532,Wind
SEN,2023.0,BIO,810.7500006486,Biomass
SEN,2023.0,COA,199.9722223822,Coal
SEN,2023.0,HFO,4602.1944481262,Heavy Fuel Oil
SEN,2023.0,HYD,1263.0000010104002,Hydropower
SEN,2023.0,Imports (GIN),1178.750000943,Imports (GIN)
SEN,2023.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2023.0,LFO,199.3333334928,Light Fuel Oil
SEN,2023.0,SOL,269.8333335492,Solar
SEN,2023.0,WIN,149.8333334532,Wind
SEN,2024.0,BIO,810.7500006486,Biomass
SEN,2024.0,COA,189.444444596,Coal
SEN,2024.0,HFO,4367.3888923828,Heavy Fuel Oil
SEN,2024.0,HYD,2345.694446321,Hydropower
SEN,2024.0,Imports (GIN),1192.500000954,Imports (GIN)
SEN,2024.0,Imports (MRT),576.8333337948001,Imports (MRT)
SEN,2024.0,LFO,188.2222223728,Light Fuel Oil
SEN,2024.0,SOL,268.97222243740003,Solar
SEN,2024.0,WIN,149.8333334532,Wind
SEN,2025.0,BIO,810.7500006486,Biomass
SEN,2025.0,COA,178.9166668098,Coal
SEN,2025.0,HFO,4132.5555588616,Heavy Fuel Oil
SEN,2025.0,HYD,3981.0555587404,Hydropower
SEN,2025.0,Imports (GIN),654.4722227458001,Imports (GIN)
SEN,2025.0,Imports (MRT),367.9444447388,Imports (MRT)
SEN,2025.0,LFO,177.2777779196,Light Fuel Oil
SEN,2025.0,SOL,278.8055557786,Solar
SEN,2025.0,WIN,149.8333334532,Wind
SEN,2026.0,BIO,810.7500006486,Biomass
SEN,2026.0,COA,741.66666726,Coal
SEN,2026.0,HFO,3897.7500031182,Heavy Fuel Oil
SEN,2026.0,HYD,4577.083336995,Hydropower
SEN,2026.0,Imports (GIN),310.2222224704,Imports (GIN)
SEN,2026.0,Imports (GMB),25.694444465,Imports (GMB)
SEN,2026.0,Imports (MRT),337.083333603,Imports (MRT)
SEN,2026.0,LFO,148.750000119,Light Fuel Oil
SEN,2026.0,SOL,448.6388892478,Solar
SEN,2026.0,WIN,149.8333334532,Wind
SEN,2027.0,BIO,810.7500006486,Biomass
SEN,2027.0,COA,1136.6666675760002,Coal
SEN,2027.0,HFO,3662.916669597,Heavy Fuel Oil
SEN,2027.0,HYD,4577.083336995,Hydropower
SEN,2027.0,Imports (GIN),157.500000126,Imports (GIN)
SEN,2027.0,Imports (MRT),412.5833336634,Imports (MRT)
SEN,2027.0,LFO,138.13888899940002,Light Fuel Oil
SEN,2027.0,SOL,554.861111555,Solar
SEN,2027.0,WIN,149.8333334532,Wind
SEN,2028.0,BIO,810.7500006486,Biomass
SEN,2028.0,COA,1956.3611126762005,Coal
SEN,2028.0,HFO,3428.1111138536003,Heavy Fuel Oil
SEN,2028.0,HYD,4577.083336995,Hydropower
SEN,2028.0,Imports (GIN),312.638889139,Imports (GIN)
SEN,2028.0,Imports (GMB),66.7222222756,Imports (GMB)
SEN,2028.0,Imports (MRT),524.7777781976,Imports (MRT)
SEN,2028.0,LFO,127.50000010200002,Light Fuel Oil
SEN,2028.0,SOL,660.5833338618,Solar
SEN,2028.0,WIN,149.8333334532,Wind
SEN,2029.0,BIO,810.7500006486,Biomass
SEN,2029.0,COA,2279.2222240456,Coal
SEN,2029.0,HFO,3193.3055581102,Heavy Fuel Oil
SEN,2029.0,HYD,4577.083336995,Hydropower
SEN,2029.0,Imports (GIN),158.9444445716,Imports (GIN)
SEN,2029.0,Imports (GMB),37.8055555858,Imports (GMB)
SEN,2029.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2029.0,LFO,116.8888889824,Light Fuel Oil
SEN,2029.0,SOL,765.694445057,Solar
SEN,2029.0,WIN,149.8333334532,Wind
SEN,2030.0,BIO,810.7500006486,Biomass
SEN,2030.0,COA,2530.2500020242,Coal
SEN,2030.0,HFO,2958.472224589,Heavy Fuel Oil
SEN,2030.0,HYD,4577.083336995,Hydropower
SEN,2030.0,Imports (GMB),29.6111111348,Imports (GMB)
SEN,2030.0,Imports (MRT),832.1944451101999,Imports (MRT)
SEN,2030.0,LFO,106.250000085,Light Fuel Oil
SEN,2030.0,SOL,870.1944451406001,Solar
SEN,2030.0,WIN,149.8333334532,Wind
