Country,y,f,Total annual production (GWh),Source
SLE,2020.0,BIO,133.33333344,Biomass
SLE,2020.0,HFO,810.2500006482001,Heavy Fuel Oil
SLE,2020.0,HYD,229.1111112944,Hydropower
SLE,2020.0,LFO,41.833333366800005,Light Fuel Oil
SLE,2020.0,SOL,1.7222222236,Solar
SLE,2021.0,BIO,126.666666768,Biomass
SLE,2021.0,HFO,719.8888894648001,Heavy Fuel Oil
SLE,2021.0,HYD,229.1111112944,Hydropower
SLE,2021.0,Imports (GIN),209.8055557234,Imports (GIN)
SLE,2021.0,LFO,39.750000031800006,Light Fuel Oil
SLE,2021.0,SOL,1.7222222236,Solar
SLE,2022.0,BIO,120.000000096,Biomass
SLE,2022.0,HFO,723.5555561344,Heavy Fuel Oil
SLE,2022.0,HYD,233.2777779644,Hydropower
SLE,2022.0,Imports (LBR),470.138889265,Imports (LBR)
SLE,2022.0,LFO,37.6666666968,Light Fuel Oil
SLE,2022.0,SOL,38.88888892000001,Solar
SLE,2023.0,BIO,113.333333424,Biomass
SLE,2023.0,HFO,698.3055561141999,Heavy Fuel Oil
SLE,2023.0,HYD,260.7777779864,Hydropower
SLE,2023.0,Imports (GIN),315.416666919,Imports (GIN)
SLE,2023.0,Imports (LBR),10.0555555636,Imports (LBR)
SLE,2023.0,LFO,35.8611111398,Light Fuel Oil
SLE,2023.0,SOL,38.88888892000001,Solar
SLE,2024.0,BIO,106.666666752,Biomass
SLE,2024.0,HFO,660.9722227510001,Heavy Fuel Oil
SLE,2024.0,HYD,1393.6944455594,Hydropower
SLE,2024.0,Imports (GIN),1.1944444454,Imports (GIN)
SLE,2024.0,LFO,34.6666666944,Light Fuel Oil
SLE,2024.0,SOL,52.222222264,Solar
SLE,2025.0,BIO,66.66666672,Biomass
SLE,2025.0,HFO,623.6666671656,Heavy Fuel Oil
SLE,2025.0,HYD,2039.6388905206,Hydropower
SLE,2025.0,Imports (GIN),9.0555555628,Imports (GIN)
SLE,2025.0,LFO,33.0000000264,Light Fuel Oil
SLE,2025.0,SOL,71.3333333904,Solar
SLE,2026.0,BIO,60.000000048,Biomass
SLE,2026.0,HFO,586.3333338024,Heavy Fuel Oil
SLE,2026.0,HYD,3203.8611136742,Hydropower
SLE,2026.0,LFO,29.6666666904,Light Fuel Oil
SLE,2026.0,SOL,192.9444445988,Solar
SLE,2027.0,BIO,53.333333376000006,Biomass
SLE,2027.0,HFO,549.027778217,Heavy Fuel Oil
SLE,2027.0,HYD,4186.2222255712,Hydropower
SLE,2027.0,LFO,27.1944444662,Light Fuel Oil
SLE,2027.0,SOL,310.8611113598,Solar
SLE,2028.0,BIO,46.66666670400001,Biomass
SLE,2028.0,COA,213.7222223932,Coal
SLE,2028.0,HFO,511.69444485380006,Heavy Fuel Oil
SLE,2028.0,HYD,4186.2222255712,Hydropower
SLE,2028.0,LFO,25.1111111312,Light Fuel Oil
SLE,2028.0,SOL,517.8333337476,Solar
SLE,2029.0,BIO,40.000000032,Biomass
SLE,2029.0,COA,213.7222223932,Coal
SLE,2029.0,HFO,474.3888892684,Heavy Fuel Oil
SLE,2029.0,HYD,4186.2222255712,Hydropower
SLE,2029.0,LFO,23.0277777962,Light Fuel Oil
SLE,2029.0,SOL,659.1944449718001,Solar
SLE,2030.0,BIO,33.33333336,Biomass
SLE,2030.0,COA,213.7222223932,Coal
SLE,2030.0,HFO,437.0555559052,Heavy Fuel Oil
SLE,2030.0,HYD,4186.2222255712,Hydropower
SLE,2030.0,LFO,20.916666683400003,Light Fuel Oil
SLE,2030.0,SOL,965.0833341054,Solar
