Country,y,f,Total annual production (GWh),Source
SSD,2020.0,HFO,3.7222222252,Heavy Fuel Oil
SSD,2020.0,LFO,17.555555569600003,Light Fuel Oil
SSD,2020.0,NGA,502.0555559572,Natural Gas
SSD,2021.0,HFO,15.5833333458,Heavy Fuel Oil
SSD,2021.0,LFO,16.805555569,Light Fuel Oil
SSD,2021.0,NGA,515.0555559676001,Natural Gas
SSD,2022.0,HFO,26.833333354800004,Heavy Fuel Oil
SSD,2022.0,LFO,16.027777790600002,Light Fuel Oil
SSD,2022.0,NGA,527.3333337552001,Natural Gas
SSD,2023.0,HFO,40.1111111432,Heavy Fuel Oil
SSD,2023.0,LFO,24.305555575,Light Fuel Oil
SSD,2023.0,NGA,527.3333337552001,Natural Gas
SSD,2024.0,GEO,130.1111112152,Geothermal
SSD,2024.0,LFO,14.4722222338,Light Fuel Oil
SSD,2024.0,NGA,467.7500003742,Natural Gas
SSD,2025.0,GEO,190.5277779302,Geothermal
SSD,2025.0,LFO,12.0555555652,Light Fuel Oil
SSD,2025.0,NGA,450.8055559162,Natural Gas
SSD,2026.0,GEO,245.0833335294,Geothermal
SSD,2026.0,LFO,11.250000009,Light Fuel Oil
SSD,2026.0,NGA,438.2777781284,Natural Gas
SSD,2027.0,GEO,293.750000235,Geothermal
SSD,2027.0,LFO,10.4444444528,Light Fuel Oil
SSD,2027.0,NGA,426.9722225638,Natural Gas
SSD,2028.0,GEO,342.8333336076,Geothermal
SSD,2028.0,LFO,9.6388888966,Light Fuel Oil
SSD,2028.0,NGA,415.5833336658,Natural Gas
SSD,2029.0,GEO,392.2777780916,Geothermal
SSD,2029.0,LFO,8.833333340400001,Light Fuel Oil
SSD,2029.0,NGA,404.1111114344,Natural Gas
SSD,2030.0,GEO,447.8055559138001,Geothermal
SSD,2030.0,LFO,8.055555562,Light Fuel Oil
SSD,2030.0,NGA,391.388889202,Natural Gas
