Country,y,f,Total annual production (GWh),Source
TGO,2020.0,HFO,8.388888895600001,Heavy Fuel Oil
TGO,2020.0,HYD,582.1388893546,Hydropower
TGO,2020.0,Imports (BEN),856.4722229074,Imports (BEN)
TGO,2020.0,Imports (GHA),56.666666712,Imports (GHA)
TGO,2020.0,LFO,96.4444445216,Light Fuel Oil
TGO,2020.0,SOL,5.0555555596,Solar
TGO,2021.0,HFO,7.944444450800001,Heavy Fuel Oil
TGO,2021.0,HYD,582.1388893546,Hydropower
TGO,2021.0,Imports (BEN),1420.9444455812002,Imports (BEN)
TGO,2021.0,LFO,90.75000007260002,Light Fuel Oil
TGO,2021.0,SOL,4.9722222262,Solar
TGO,2022.0,HFO,7.5277777838,Heavy Fuel Oil
TGO,2022.0,HYD,582.1388893546,Hydropower
TGO,2022.0,Imports (BEN),1984.5555571432,Imports (BEN)
TGO,2022.0,LFO,89.3888889604,Light Fuel Oil
TGO,2022.0,NGA,34.305555583,Natural Gas
TGO,2022.0,SOL,4.861111115000001,Solar
TGO,2023.0,HFO,7.111111116800001,Heavy Fuel Oil
TGO,2023.0,HYD,624.8888893888001,Hydropower
TGO,2023.0,Imports (BEN),2543.6944464794,Imports (BEN)
TGO,2023.0,LFO,84.69444451220001,Light Fuel Oil
TGO,2023.0,NGA,34.305555583,Natural Gas
TGO,2023.0,SOL,4.7777777816,Solar
TGO,2024.0,COA,2444.861113067,Coal
TGO,2024.0,HFO,6.694444449800001,Heavy Fuel Oil
TGO,2024.0,HYD,1251.6388898901998,Hydropower
TGO,2024.0,Imports (BEN),74.1388889482,Imports (BEN)
TGO,2024.0,LFO,79.9444445084,Light Fuel Oil
TGO,2024.0,NGA,34.305555583,Natural Gas
TGO,2024.0,SOL,4.6944444482,Solar
TGO,2025.0,COA,3152.6388914110003,Coal
TGO,2025.0,HFO,6.2777777828,Heavy Fuel Oil
TGO,2025.0,HYD,1251.6388898901998,Hydropower
TGO,2025.0,LFO,74.5277778374,Light Fuel Oil
TGO,2025.0,NGA,34.3611111386,Natural Gas
TGO,2025.0,SOL,50.416666707,Solar
TGO,2026.0,COA,3676.7500029414,Coal
TGO,2026.0,HFO,5.861111115800001,Heavy Fuel Oil
TGO,2026.0,HYD,1251.6388898901998,Hydropower
TGO,2026.0,LFO,69.027777833,Light Fuel Oil
TGO,2026.0,NGA,38.4444444752,Natural Gas
TGO,2026.0,SOL,101.2222223032,Solar
TGO,2027.0,COA,3688.8055585066,Coal
TGO,2027.0,HFO,5.4444444488,Heavy Fuel Oil
TGO,2027.0,HYD,1251.6388898901998,Hydropower
TGO,2027.0,Imports (BEN),104.9444445284,Imports (BEN)
TGO,2027.0,LFO,61.0833333822,Light Fuel Oil
TGO,2027.0,NGA,38.5000000308,Natural Gas
TGO,2027.0,SOL,165.8055556882,Solar
TGO,2028.0,COA,3688.8055585066,Coal
TGO,2028.0,HFO,5.0277777818,Heavy Fuel Oil
TGO,2028.0,HYD,1251.6388898901998,Hydropower
TGO,2028.0,Imports (BEN),291.52777801100007,Imports (BEN)
TGO,2028.0,LFO,56.38888893400001,Light Fuel Oil
TGO,2028.0,NGA,38.5000000308,Natural Gas
TGO,2028.0,SOL,218.194444619,Solar
TGO,2029.0,COA,3688.8055585066,Coal
TGO,2029.0,HFO,4.6111111148,Heavy Fuel Oil
TGO,2029.0,HYD,1251.6388898901998,Hydropower
TGO,2029.0,Imports (BEN),478.3888892716,Imports (BEN)
TGO,2029.0,LFO,51.6944444858,Light Fuel Oil
TGO,2029.0,NGA,38.5000000308,Natural Gas
TGO,2029.0,SOL,271.3611113282,Solar
TGO,2030.0,COA,3688.8055585066,Coal
TGO,2030.0,HFO,4.1944444478000005,Heavy Fuel Oil
TGO,2030.0,HYD,1251.6388898901998,Hydropower
TGO,2030.0,Imports (BEN),621.4444449416001,Imports (BEN)
TGO,2030.0,LFO,47.0000000376,Light Fuel Oil
TGO,2030.0,NGA,38.5000000308,Natural Gas
TGO,2030.0,SOL,367.72222251640005,Solar
