Country,y,f,Total installed capacity (GW),Source
CAF,2020,HYD,0.018751,Hydropower
CAF,2020,LFO,0.043863142530743,Light Fuel Oil
CAF,2021,BIO,0.0457367520600492,Biomass
CAF,2021,HYD,0.018751,Hydropower
CAF,2021,LFO,0.043491492530743,Light Fuel Oil
CAF,2022,BIO,0.0492216940388836,Biomass
CAF,2022,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2022,HYD,0.018751,Hydropower
CAF,2022,LFO,0.043119842530743,Light Fuel Oil
CAF,2023,BIO,0.0492216940388836,Biomass
CAF,2023,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2023,HYD,0.0609766851322084,Hydropower
CAF,2023,LFO,0.0427481925307429,Light Fuel Oil
CAF,2024,BIO,0.0492216940388836,Biomass
CAF,2024,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2024,HYD,0.08104555579797,Hydropower
CAF,2024,LFO,0.0423765425307429,Light Fuel Oil
CAF,2025,BIO,0.0492216940388836,Biomass
CAF,2025,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2025,HYD,0.1036138022281486,Hydropower
CAF,2025,LFO,0.0057824894529222,Light Fuel Oil
CAF,2026,BIO,0.0492216940388836,Biomass
CAF,2026,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2026,HYD,0.12422911514319,Hydropower
CAF,2026,LFO,0.0052031,Light Fuel Oil
CAF,2026,SOL,0.0034290262114578,Solar
CAF,2027,BIO,0.0492216940388836,Biomass
CAF,2027,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2027,HYD,0.1302060821757846,Hydropower
CAF,2027,LFO,0.00483145,Light Fuel Oil
CAF,2027,SOL,0.0070474551202888,Solar
CAF,2028,BIO,0.0492216940388836,Biomass
CAF,2028,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2028,HYD,0.1353994481723943,Hydropower
CAF,2028,LFO,0.0044598,Light Fuel Oil
CAF,2028,SOL,0.0115689017901654,Solar
CAF,2029,BIO,0.0492216940388836,Biomass
CAF,2029,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2029,HYD,0.138816135029899,Hydropower
CAF,2029,LFO,0.00408815,Light Fuel Oil
CAF,2029,SOL,0.0186397771408272,Solar
CAF,2030,BIO,0.0492216940388836,Biomass
CAF,2030,HFO,0.0011012319794012,Heavy Fuel Oil
CAF,2030,HYD,0.138816135029899,Hydropower
CAF,2030,LFO,0.0037165,Light Fuel Oil
CAF,2030,SOL,0.0355208623859234,Solar
