Country,y,f,Total installed capacity (GW),Source
CMR,2020,GAS,0.3289802531664803,Natural Gas
CMR,2020,HFO,0.1875,Heavy Fuel Oil
CMR,2020,HYD,0.9841,Hydropower
CMR,2020,LFO,0.571371633903318,Light Fuel Oil
CMR,2020,SOL,0.0087095,Solar
CMR,2021,GAS,0.3214787531664803,Natural Gas
CMR,2021,HFO,0.178125,Heavy Fuel Oil
CMR,2021,HYD,1.4041,Hydropower
CMR,2021,LFO,0.5631606339033179,Light Fuel Oil
CMR,2021,SOL,0.008409,Solar
CMR,2022,GAS,0.3139772531664803,Natural Gas
CMR,2022,HFO,0.16875,Heavy Fuel Oil
CMR,2022,HYD,1.4622610790727433,Hydropower
CMR,2022,LFO,0.554949633903318,Light Fuel Oil
CMR,2022,SOL,0.0081085,Solar
CMR,2023,GAS,0.3064757531664803,Natural Gas
CMR,2023,HFO,0.159375,Heavy Fuel Oil
CMR,2023,HYD,1.6551044032858782,Hydropower
CMR,2023,LFO,0.546738633903318,Light Fuel Oil
CMR,2023,SOL,0.007808,Solar
CMR,2024,GAS,0.2989742531664803,Natural Gas
CMR,2024,HFO,0.15,Heavy Fuel Oil
CMR,2024,HYD,1.893926157897665,Hydropower
CMR,2024,LFO,0.538527633903318,Light Fuel Oil
CMR,2024,SOL,0.0075075,Solar
CMR,2025,GAS,0.2914727531664803,Natural Gas
CMR,2025,HFO,0.140625,Heavy Fuel Oil
CMR,2025,HYD,2.082655096151651,Hydropower
CMR,2025,LFO,0.3303166339033179,Light Fuel Oil
CMR,2025,SOL,0.007207,Solar
CMR,2026,GAS,0.2839712531664803,Natural Gas
CMR,2026,HFO,0.13125,Heavy Fuel Oil
CMR,2026,HYD,2.0917771937988205,Hydropower
CMR,2026,LFO,0.3205602860038027,Light Fuel Oil
CMR,2026,SOL,0.0069065,Solar
CMR,2027,GAS,0.2764697531664802,Natural Gas
CMR,2027,HFO,0.121875,Heavy Fuel Oil
CMR,2027,HYD,2.3395889172084017,Hydropower
CMR,2027,LFO,0.1123492860038027,Light Fuel Oil
CMR,2027,SOL,0.006606,Solar
CMR,2028,GAS,0.2814282883293288,Natural Gas
CMR,2028,HFO,0.1125,Heavy Fuel Oil
CMR,2028,HYD,2.5224137905313437,Hydropower
CMR,2028,LFO,0.1041382860038026,Light Fuel Oil
CMR,2028,SOL,0.0063055,Solar
CMR,2029,GAS,0.2739267883293288,Natural Gas
CMR,2029,HFO,0.103125,Heavy Fuel Oil
CMR,2029,HYD,2.879582618932852,Hydropower
CMR,2029,LFO,0.090321,Light Fuel Oil
CMR,2029,SOL,0.0372571780315831,Solar
CMR,2030,GAS,0.2821975273520958,Natural Gas
CMR,2030,HFO,0.09375,Heavy Fuel Oil
CMR,2030,HYD,2.999412983949319,Hydropower
CMR,2030,LFO,0.08211,Light Fuel Oil
CMR,2030,SOL,0.2128749097973472,Solar
