Country,y,f,Total installed capacity (GW),Source
GIN,2020,HFO,0.23979,Heavy Fuel Oil
GIN,2020,HYD,0.6473,Hydropower
GIN,2020,LFO,0.0614929219698546,Light Fuel Oil
GIN,2021,HFO,0.2278005,Heavy Fuel Oil
GIN,2021,HYD,1.4563,Hydropower
GIN,2021,LFO,0.0584244219698546,Light Fuel Oil
GIN,2022,HFO,0.215811,Heavy Fuel Oil
GIN,2022,HYD,1.4563,Hydropower
GIN,2022,LFO,0.0553559219698545,Light Fuel Oil
GIN,2023,HFO,0.2038215,Heavy Fuel Oil
GIN,2023,HYD,1.918876811701276,Hydropower
GIN,2023,LFO,0.0522874219698546,Light Fuel Oil
GIN,2024,HFO,0.191832,Heavy Fuel Oil
GIN,2024,HYD,2.5768797927541307,Hydropower
GIN,2024,LFO,0.0492189219698546,Light Fuel Oil
GIN,2025,HFO,0.1798425,Heavy Fuel Oil
GIN,2025,HYD,2.756753859395884,Hydropower
GIN,2025,LFO,0.0461504219698545,Light Fuel Oil
GIN,2026,HFO,0.167853,Heavy Fuel Oil
GIN,2026,HYD,2.910388083602678,Hydropower
GIN,2026,LFO,0.042959,Light Fuel Oil
GIN,2027,HFO,0.1558635,Heavy Fuel Oil
GIN,2027,HYD,3.005458585341434,Hydropower
GIN,2027,LFO,0.0398905,Light Fuel Oil
GIN,2028,HFO,0.143874,Heavy Fuel Oil
GIN,2028,HYD,3.079872363278426,Hydropower
GIN,2028,LFO,0.036822,Light Fuel Oil
GIN,2029,HFO,0.1318845,Heavy Fuel Oil
GIN,2029,HYD,3.1896222247225783,Hydropower
GIN,2029,LFO,0.0337535,Light Fuel Oil
GIN,2030,HFO,0.119895,Heavy Fuel Oil
GIN,2030,HYD,3.265251345727404,Hydropower
GIN,2030,LFO,0.030685,Light Fuel Oil
GIN,2030,SOL,0.0363628662244219,Solar
