Country,y,f,Total installed capacity (GW),Source
NER,2020,COA,0.0376,Coal
NER,2020,HFO,0.02658,Heavy Fuel Oil
NER,2020,HYD,0.13,Hydropower
NER,2020,LFO,0.1312881041620016,Light Fuel Oil
NER,2020,SOL,0.1178720860037471,Solar
NER,2021,COA,0.0376,Coal
NER,2021,HFO,0.025251,Heavy Fuel Oil
NER,2021,HYD,0.13,Hydropower
NER,2021,LFO,0.1280021041620015,Light Fuel Oil
NER,2021,SOL,0.1286508741028873,Solar
NER,2022,COA,0.0376,Coal
NER,2022,HFO,0.023922,Heavy Fuel Oil
NER,2022,HYD,0.13,Hydropower
NER,2022,LFO,0.1247161041620016,Light Fuel Oil
NER,2022,SOL,0.1382388217119558,Solar
NER,2023,COA,0.03572,Coal
NER,2023,HFO,0.022593,Heavy Fuel Oil
NER,2023,HYD,0.33,Hydropower
NER,2023,LFO,0.1214301041620015,Light Fuel Oil
NER,2023,SOL,0.1467769940392247,Solar
NER,2024,COA,0.03384,Coal
NER,2024,HFO,0.021264,Heavy Fuel Oil
NER,2024,HYD,0.43,Hydropower
NER,2024,LFO,0.1181441041620015,Light Fuel Oil
NER,2024,SOL,0.1530310241723375,Solar
NER,2025,COA,0.03196,Coal
NER,2025,HFO,0.019935,Heavy Fuel Oil
NER,2025,HYD,0.53,Hydropower
NER,2025,LFO,0.1148581041620016,Light Fuel Oil
NER,2025,SOL,0.193830748585462,Solar
NER,2026,COA,0.03008,Coal
NER,2026,HFO,0.018606,Heavy Fuel Oil
NER,2026,HYD,0.6,Hydropower
NER,2026,LFO,0.1115721041620016,Light Fuel Oil
NER,2026,SOL,0.2533828303115627,Solar
NER,2027,COA,0.0282,Coal
NER,2027,HFO,0.017277,Heavy Fuel Oil
NER,2027,HYD,0.6,Hydropower
NER,2027,LFO,0.0982521558830133,Light Fuel Oil
NER,2027,SOL,0.2961096794942622,Solar
NER,2028,COA,0.02632,Coal
NER,2028,HFO,0.015948,Heavy Fuel Oil
NER,2028,HYD,0.6,Hydropower
NER,2028,LFO,0.039432,Light Fuel Oil
NER,2028,SOL,0.3648437369206597,Solar
NER,2029,COA,0.02444,Coal
NER,2029,HFO,0.014619,Heavy Fuel Oil
NER,2029,HYD,0.6,Hydropower
NER,2029,LFO,0.036146,Light Fuel Oil
NER,2029,SOL,0.4181588530410783,Solar
NER,2030,COA,0.02256,Coal
NER,2030,HFO,0.01329,Heavy Fuel Oil
NER,2030,HYD,0.6,Hydropower
NER,2030,LFO,0.03286,Light Fuel Oil
NER,2030,SOL,0.8790356176517282,Solar
