Country,y,f,Total installed capacity (GW),Source
SLE,2020,BIO,0.0334,Biomass
SLE,2020,HFO,0.12038,Heavy Fuel Oil
SLE,2020,HYD,0.06012,Hydropower
SLE,2020,LFO,0.0392195859509256,Light Fuel Oil
SLE,2020,SOL,0.0317928131192278,Solar
SLE,2021,BIO,0.03173,Biomass
SLE,2021,HFO,0.114811,Heavy Fuel Oil
SLE,2021,HYD,0.06012,Hydropower
SLE,2021,LFO,0.0376585859509256,Light Fuel Oil
SLE,2021,SOL,0.0317928131192278,Solar
SLE,2022,BIO,0.03006,Biomass
SLE,2022,HFO,0.1092419999999999,Heavy Fuel Oil
SLE,2022,HYD,0.06212,Hydropower
SLE,2022,LFO,0.0360975859509256,Light Fuel Oil
SLE,2022,SOL,0.0317928131192278,Solar
SLE,2023,BIO,0.02839,Biomass
SLE,2023,HFO,0.1036729999999999,Heavy Fuel Oil
SLE,2023,HYD,0.8858238636783435,Hydropower
SLE,2023,LFO,0.0345365859509256,Light Fuel Oil
SLE,2023,SOL,0.0317928131192278,Solar
SLE,2024,BIO,0.02672,Biomass
SLE,2024,HFO,0.098104,Heavy Fuel Oil
SLE,2024,HYD,0.972121157823184,Hydropower
SLE,2024,LFO,0.0329755859509256,Light Fuel Oil
SLE,2024,SOL,0.0317928131192278,Solar
SLE,2025,BIO,0.0167,Biomass
SLE,2025,HFO,0.0925349999999999,Heavy Fuel Oil
SLE,2025,HYD,1.01212,Hydropower
SLE,2025,LFO,0.0314145859509256,Light Fuel Oil
SLE,2025,SOL,0.0317928131192278,Solar
SLE,2026,BIO,0.01503,Biomass
SLE,2026,HFO,0.0869659999999999,Heavy Fuel Oil
SLE,2026,HYD,1.01212,Hydropower
SLE,2026,LFO,0.0295616234235708,Light Fuel Oil
SLE,2026,SOL,0.0916379906763012,Solar
SLE,2027,BIO,0.01336,Biomass
SLE,2027,HFO,0.081397,Heavy Fuel Oil
SLE,2027,HYD,1.01212,Hydropower
SLE,2027,LFO,0.020293,Light Fuel Oil
SLE,2027,SOL,0.1203521563648015,Solar
SLE,2028,BIO,0.01169,Biomass
SLE,2028,HFO,0.0758279999999999,Heavy Fuel Oil
SLE,2028,HYD,1.01212,Hydropower
SLE,2028,LFO,0.018732,Light Fuel Oil
SLE,2028,SOL,0.2002579291240353,Solar
SLE,2029,BIO,0.01002,Biomass
SLE,2029,HFO,0.070259,Heavy Fuel Oil
SLE,2029,HYD,1.01212,Hydropower
SLE,2029,LFO,0.017171,Light Fuel Oil
SLE,2029,SOL,0.2548326456550485,Solar
SLE,2030,BIO,0.00835,Biomass
SLE,2030,HFO,0.06469,Heavy Fuel Oil
SLE,2030,HYD,1.01212,Hydropower
SLE,2030,LFO,0.01561,Light Fuel Oil
SLE,2030,SOL,0.4405710847178996,Solar
