Country,y,f,Total annual demand (GWh),Demand type
BDI,2020.0,EL3E,291.66666690000005,Current electrified
BDI,2021.0,EL3E,299.0833335726,Current electrified
BDI,2021.0,EL3U,116.111111204,New electrified
BDI,2022.0,EL3E,305.7500002446,Current electrified
BDI,2022.0,EL3U,232.222222408,New electrified
BDI,2023.0,EL3E,311.77777802720004,Current electrified
BDI,2023.0,EL3U,348.333333612,New electrified
BDI,2024.0,EL3E,317.25000025380007,Current electrified
BDI,2024.0,EL3U,464.444444816,New electrified
BDI,2025.0,EL3E,334.027778045,Current electrified
BDI,2025.0,EL3U,580.55555602,New electrified
BDI,2026.0,EL3E,351.0000002808,Current electrified
BDI,2026.0,EL3U,696.666667224,New electrified
BDI,2027.0,EL3E,368.194444739,Current electrified
BDI,2027.0,EL3U,744.583333929,New electrified
BDI,2028.0,EL3E,385.555555864,Current electrified
BDI,2028.0,EL3U,792.5000006340001,New electrified
BDI,2029.0,EL3E,403.1111114336,Current electrified
BDI,2029.0,EL3U,840.416667339,New electrified
BDI,2030.0,EL3E,423.3611114498,Current electrified
BDI,2030.0,EL3U,888.333334044,New electrified
BDI,2020.0,TZAEL1,182.6666668128,Exports (TZA)
BDI,2023.0,CODEL1,40.2500000322,Exports (COD)
BDI,2024.0,CODEL1,148.5000001188,Exports (COD)
BDI,2024.0,RWAEL1,191.111111264,Exports (RWA)
BDI,2024.0,TZAEL1,84.25000006740001,Exports (TZA)
BDI,2025.0,CODEL1,218.6944446194,Exports (COD)
BDI,2025.0,RWAEL1,90.5000000724,Exports (RWA)
BDI,2025.0,TZAEL1,84.25000006740001,Exports (TZA)
BDI,2026.0,CODEL1,204.8333334972,Exports (COD)
BDI,2026.0,TZAEL1,84.25000006740001,Exports (TZA)
BDI,2027.0,CODEL1,256.44444464960003,Exports (COD)
BDI,2027.0,TZAEL1,22.638888907,Exports (TZA)
BDI,2028.0,CODEL1,335.4722224906,Exports (COD)
BDI,2028.0,RWAEL1,43.472222257,Exports (RWA)
BDI,2028.0,TZAEL1,84.25000006740001,Exports (TZA)
BDI,2029.0,CODEL1,335.4722224906,Exports (COD)
BDI,2029.0,RWAEL1,43.05555559,Exports (RWA)
BDI,2029.0,TZAEL1,84.25000006740001,Exports (TZA)
BDI,2030.0,CODEL1,335.4722224906,Exports (COD)
BDI,2030.0,RWAEL1,43.1388889234,Exports (RWA)
BDI,2030.0,TZAEL1,84.25000006740001,Exports (TZA)
