Country,y,f,Total annual demand (GWh),Demand type
BEN,2020.0,EL3E,1336.1666677356,Current electrified
BEN,2021.0,EL3E,1372.6944455426,Current electrified
BEN,2021.0,EL3U,427.7777781200001,New electrified
BEN,2022.0,EL3E,1408.8333344604,Current electrified
BEN,2022.0,EL3U,855.5555562400001,New electrified
BEN,2023.0,EL3E,1444.9166678226,Current electrified
BEN,2023.0,EL3U,1283.33333436,New electrified
BEN,2024.0,EL3E,1481.0555567404,Current electrified
BEN,2024.0,EL3U,1711.1111124800002,New electrified
BEN,2025.0,EL3E,1517.1666678804002,Current electrified
BEN,2025.0,EL3U,2138.8888906,New electrified
BEN,2026.0,EL3E,1592.0277790514,Current electrified
BEN,2026.0,EL3U,2566.66666872,New electrified
BEN,2027.0,EL3E,1666.8611124446002,Current electrified
BEN,2027.0,EL3U,2689.2222243736,New electrified
BEN,2028.0,EL3E,1741.6388902822,Current electrified
BEN,2028.0,EL3U,2811.8055578050003,New electrified
BEN,2029.0,EL3E,1816.4166681198,Current electrified
BEN,2029.0,EL3U,2934.3888912364005,New electrified
BEN,2030.0,EL3E,1891.2222237352,Current electrified
BEN,2030.0,EL3U,3056.944446890001,New electrified
BEN,2020.0,TGOEL1,555.0000004440001,Exports (TGO)
BEN,2023.0,NGAEL1,1053.3055563982,Exports (NGA)
BEN,2023.0,TGOEL1,62.0555556052,Exports (TGO)
BEN,2024.0,NGAEL1,1520.555556772,Exports (NGA)
BEN,2025.0,NGAEL1,3321.0277804346,Exports (NGA)
BEN,2026.0,NGAEL1,5501.4166710678,Exports (NGA)
BEN,2027.0,NGAEL1,4735.8611148998,Exports (NGA)
BEN,2028.0,NGAEL1,3749.444447444,Exports (NGA)
BEN,2029.0,NGAEL1,2263.2777795884003,Exports (NGA)
