Country,y,f,Total annual demand (GWh),Demand type
COD,2020.0,EL3E,7368.6666725616,Current electrified
COD,2021.0,EL3E,9330.0555630196,Current electrified
COD,2021.0,EL3U,342.3055558294,New electrified
COD,2022.0,EL3E,9404.3333408568,Current electrified
COD,2022.0,EL3U,684.6388894366,New electrified
COD,2023.0,EL3E,9447.666674224798,Current electrified
COD,2023.0,EL3U,1026.944445266,New electrified
COD,2024.0,EL3E,9458.5833409002,Current electrified
COD,2024.0,EL3U,1369.2500010954,New electrified
COD,2025.0,EL3E,9434.555563103202,Current electrified
COD,2025.0,EL3U,1711.5833347026,New electrified
COD,2026.0,EL3E,10091.972230295802,Current electrified
COD,2026.0,EL3U,2053.888890532,New electrified
COD,2027.0,EL3E,10712.916675237002,Current electrified
COD,2027.0,EL3U,2173.5555572944,New electrified
COD,2028.0,EL3E,11298.0833423718,Current electrified
COD,2028.0,EL3U,2293.194446279,New electrified
COD,2029.0,EL3E,11846.4722316994,Current electrified
COD,2029.0,EL3U,2412.8611130414,New electrified
COD,2030.0,EL3E,12356.8333432188,Current electrified
COD,2030.0,EL3U,2532.5000020260004,New electrified
COD,2020.0,BDIEL1,323.0833335918,Exports (BDI)
COD,2020.0,COGEL1,499.3333337328,Exports (COG)
COD,2020.0,RWAEL1,2597.8611131894,Exports (RWA)
COD,2020.0,ZMBEL1,2163.7222239532,Exports (ZMB)
COD,2021.0,BDIEL1,98.6666667456,Exports (BDI)
COD,2021.0,COGEL1,499.3333337328,Exports (COG)
COD,2021.0,RWAEL1,19.6388889046,Exports (RWA)
COD,2021.0,ZMBEL1,1835.4722236906,Exports (ZMB)
COD,2022.0,BDIEL1,100.00000008,Exports (BDI)
COD,2022.0,RWAEL1,243.3055557502,Exports (RWA)
COD,2022.0,ZMBEL1,1014.583334145,Exports (ZMB)
COD,2023.0,AGOEL1,1469.8333345092,Exports (AGO)
COD,2023.0,BDIEL1,87.9444445148,Exports (BDI)
COD,2023.0,RWAEL1,469.9166670426,Exports (RWA)
COD,2024.0,COGEL1,110.6666667552,Exports (COG)
COD,2024.0,RWAEL1,1248.3055565542002,Exports (RWA)
COD,2024.0,ZAFEL1,2526.7777797992,Exports (ZAF)
COD,2025.0,BDIEL1,118.750000095,Exports (BDI)
COD,2025.0,COGEL1,45.9444444812,Exports (COG)
COD,2025.0,RWAEL1,1248.3055565542002,Exports (RWA)
COD,2025.0,ZAFEL1,2526.7777797992,Exports (ZAF)
COD,2026.0,BDIEL1,89.4722222938,Exports (BDI)
COD,2026.0,COGEL1,37.916666697,Exports (COG)
COD,2026.0,RWAEL1,1248.3055565542002,Exports (RWA)
COD,2026.0,ZAFEL1,2673.9722243614,Exports (ZAF)
COD,2027.0,AGOEL1,546.1944448814,Exports (AGO)
COD,2027.0,BDIEL1,57.8055556018,Exports (BDI)
COD,2027.0,COGEL1,158.2777779044,Exports (COG)
COD,2027.0,RWAEL1,1228.0000009824,Exports (RWA)
COD,2027.0,ZAFEL1,2879.6388911926,Exports (ZAF)
COD,2028.0,AGOEL1,398.8611114302,Exports (AGO)
COD,2028.0,BDIEL1,201.27777793880003,Exports (BDI)
COD,2028.0,COGEL1,267.4722224362,Exports (COG)
COD,2028.0,RWAEL1,1248.3055565542002,Exports (RWA)
COD,2028.0,ZAFEL1,2879.6388911926,Exports (ZAF)
COD,2028.0,ZMBEL1,688.6944449954,Exports (ZMB)
COD,2029.0,AGOEL1,652.1944449662001,Exports (AGO)
COD,2029.0,BDIEL1,201.27777793880003,Exports (BDI)
COD,2029.0,COGEL1,418.9444447796,Exports (COG)
COD,2029.0,RWAEL1,1248.3055565542002,Exports (RWA)
COD,2029.0,ZAFEL1,2879.6388911926,Exports (ZAF)
COD,2029.0,ZMBEL1,1007.916667473,Exports (ZMB)
COD,2030.0,AGOEL1,643.3055560702,Exports (AGO)
COD,2030.0,BDIEL1,201.27777793880003,Exports (BDI)
COD,2030.0,RWAEL1,1248.3055565542002,Exports (RWA)
COD,2030.0,ZAFEL1,3568.5833361882,Exports (ZAF)
COD,2030.0,ZMBEL1,1327.1388899506,Exports (ZMB)
