Country,y,f,Total annual demand (GWh),Demand type
GHA,2020.0,EL3E,12338.5555654264,Current electrified
GHA,2021.0,EL3E,13910.1111222392,Current electrified
GHA,2021.0,EL3U,2437.8333352836,New electrified
GHA,2022.0,EL3E,14311.8333447828,Current electrified
GHA,2022.0,EL3U,4875.6388927894,New electrified
GHA,2023.0,EL3E,14706.1944562094,Current electrified
GHA,2023.0,EL3U,7313.472228073,New electrified
GHA,2024.0,EL3E,15093.5277898526,Current electrified
GHA,2024.0,EL3U,9751.3055633566,New electrified
GHA,2025.0,EL3E,15473.9722346014,Current electrified
GHA,2025.0,EL3U,12189.1111208624,New electrified
GHA,2026.0,EL3E,16948.611124670002,Current electrified
GHA,2026.0,EL3U,14626.944456146,New electrified
GHA,2027.0,EL3E,18416.972236955804,Current electrified
GHA,2027.0,EL3U,15071.250012057002,New electrified
GHA,2028.0,EL3E,19879.4166825702,Current electrified
GHA,2028.0,EL3U,15515.555567968002,New electrified
GHA,2029.0,EL3E,21336.0833504022,Current electrified
GHA,2029.0,EL3U,15959.861123879002,New electrified
GHA,2030.0,EL3E,22787.0555737852,Current electrified
GHA,2030.0,EL3U,16404.16667979,New electrified
GHA,2020.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2020.0,CIVEL1,2721.3055577326,Exports (CIV)
GHA,2020.0,TGOEL1,358.19444473100003,Exports (TGO)
GHA,2021.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2021.0,TGOEL1,19.555555571200003,Exports (TGO)
GHA,2022.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2022.0,CIVEL1,1923.7222237612,Exports (CIV)
GHA,2023.0,BFAEL1,35.000000028,Exports (BFA)
GHA,2024.0,BENEL1,1001.4444452456,Exports (BEN)
GHA,2024.0,BFAEL1,369.861111407,Exports (BFA)
GHA,2024.0,TGOEL1,633.6944449514,Exports (TGO)
GHA,2025.0,BENEL1,2633.0000021064,Exports (BEN)
GHA,2025.0,BFAEL1,1021.5555563728,Exports (BFA)
GHA,2025.0,TGOEL1,786.6944450738,Exports (TGO)
GHA,2026.0,BENEL1,5432.222226568,Exports (BEN)
GHA,2026.0,BFAEL1,892.8055562698,Exports (BFA)
GHA,2026.0,TGOEL1,1451.7222233836,Exports (TGO)
GHA,2027.0,BENEL1,4946.111115068001,Exports (BEN)
GHA,2027.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2027.0,TGOEL1,1516.527778991,Exports (TGO)
GHA,2028.0,BENEL1,4086.6111143804,Exports (BEN)
GHA,2028.0,BFAEL1,1169.3611120466,Exports (BFA)
GHA,2028.0,TGOEL1,1689.6388902406002,Exports (TGO)
GHA,2029.0,BENEL1,2710.7500021686,Exports (BEN)
GHA,2029.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2029.0,CIVEL1,460.6111114796,Exports (CIV)
GHA,2029.0,TGOEL1,1024.0277785970002,Exports (TGO)
GHA,2030.0,BFAEL1,1382.2777788836,Exports (BFA)
GHA,2030.0,TGOEL1,442.777778132,Exports (TGO)
