Country,y,f,Total annual demand (GWh),Demand type
GIN,2020.0,EL3E,1679.3888902324,Current electrified
GIN,2021.0,EL3E,1722.1666680444,Current electrified
GIN,2021.0,EL3U,229.6666668504,New electrified
GIN,2022.0,EL3E,1760.6388902974002,Current electrified
GIN,2022.0,EL3U,459.3611114786,New electrified
GIN,2023.0,EL3E,1795.3055569918,Current electrified
GIN,2023.0,EL3U,689.0277783290001,New electrified
GIN,2024.0,EL3E,1826.8333347948,Current electrified
GIN,2024.0,EL3U,918.6944451794,New electrified
GIN,2025.0,EL3E,1923.3611126498,Current electrified
GIN,2025.0,EL3U,1148.3888898076,New electrified
GIN,2026.0,EL3E,2021.1666682836,Current electrified
GIN,2026.0,EL3U,1378.055556658,New electrified
GIN,2027.0,EL3E,2120.1666683628,Current electrified
GIN,2027.0,EL3U,1453.888890052,New electrified
GIN,2028.0,EL3E,2220.2500017762,Current electrified
GIN,2028.0,EL3U,1529.722223446,New electrified
GIN,2029.0,EL3E,2321.2500018570004,Current electrified
GIN,2029.0,EL3U,1605.5555568400002,New electrified
GIN,2030.0,EL3E,2437.8611130614004,Current electrified
GIN,2030.0,EL3U,1681.388890234,New electrified
GIN,2020.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2021.0,GNBEL1,218.472222397,Exports (GNB)
GIN,2021.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2021.0,SENEL1,2158.6111128380003,Exports (SEN)
GIN,2022.0,GNBEL1,129.2500001034,Exports (GNB)
GIN,2022.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2022.0,SENEL1,851.1944451254001,Exports (SEN)
GIN,2023.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2023.0,SENEL1,2484.583335321,Exports (SEN)
GIN,2024.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2024.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2025.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2025.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2025.0,SLEEL1,322.6111113692,Exports (SLE)
GIN,2026.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2026.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2026.0,SLEEL1,540.694444877,Exports (SLE)
GIN,2027.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2027.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2027.0,SLEEL1,706.2222227872,Exports (SLE)
GIN,2028.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2028.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2028.0,SLEEL1,789.1111117424001,Exports (SLE)
GIN,2029.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2029.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2029.0,SLEEL1,1010.972223031,Exports (SLE)
GIN,2030.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2030.0,SENEL1,4765.1666704788,Exports (SEN)
GIN,2030.0,SLEEL1,1132.3055564614,Exports (SLE)
