Country,y,f,Total annual demand (GWh),Demand type
KEN,2020.0,EL3E,9869.2222301176,Current electrified
KEN,2021.0,EL3E,11740.9166760594,Current electrified
KEN,2021.0,EL3U,1907.3055570814,New electrified
KEN,2022.0,EL3E,12446.4722321794,Current electrified
KEN,2022.0,EL3U,3814.6388919406,New electrified
KEN,2023.0,EL3E,13137.4722327322,Current electrified
KEN,2023.0,EL3U,5721.944449022,New electrified
KEN,2024.0,EL3E,13814.9166777186,Current electrified
KEN,2024.0,EL3U,7629.2500061034,New electrified
KEN,2025.0,EL3E,14480.611122695602,Current electrified
KEN,2025.0,EL3U,9536.5833409626,New electrified
KEN,2026.0,EL3E,15389.388901200402,Current electrified
KEN,2026.0,EL3U,11443.888898044,New electrified
KEN,2027.0,EL3E,16288.5833463642,Current electrified
KEN,2027.0,EL3U,11858.2500094866,New electrified
KEN,2028.0,EL3E,17178.4444581872,Current electrified
KEN,2028.0,EL3U,12272.638898707,New electrified
KEN,2029.0,EL3E,18059.9722366702,Current electrified
KEN,2029.0,EL3U,12687.0000101496,New electrified
KEN,2030.0,EL3E,18934.333348480803,Current electrified
KEN,2030.0,EL3U,13101.38889937,New electrified
KEN,2020.0,TZAEL1,8118.1666731612,Exports (TZA)
KEN,2021.0,TZAEL1,7337.50000587,Exports (TZA)
KEN,2022.0,TZAEL1,9740.277785570002,Exports (TZA)
KEN,2023.0,TZAEL1,9375.388896389202,Exports (TZA)
KEN,2023.0,UGAEL1,2280.3888907132005,Exports (UGA)
KEN,2024.0,TZAEL1,11034.388897716402,Exports (TZA)
KEN,2024.0,UGAEL1,461.9722225918,Exports (UGA)
KEN,2025.0,TZAEL1,11762.4722316322,Exports (TZA)
KEN,2025.0,UGAEL1,1011.5555563648,Exports (UGA)
KEN,2026.0,TZAEL1,11207.8055645218,Exports (TZA)
KEN,2026.0,UGAEL1,2614.3333354248,Exports (UGA)
KEN,2027.0,TZAEL1,14167.500011334,Exports (TZA)
KEN,2027.0,UGAEL1,2377.9444463468,Exports (UGA)
KEN,2028.0,TZAEL1,15284.6389011166,Exports (TZA)
KEN,2028.0,UGAEL1,3776.5000030212,Exports (UGA)
KEN,2029.0,TZAEL1,16520.1666798828,Exports (TZA)
KEN,2029.0,UGAEL1,4808.2777816244,Exports (UGA)
KEN,2030.0,TZAEL1,16514.6389021006,Exports (TZA)
KEN,2030.0,UGAEL1,4655.555559279999,Exports (UGA)
