Country,y,f,Total annual demand (GWh),Demand type
LSO,2020.0,EL3E,953.5277785406,Current electrified
LSO,2021.0,EL3E,1113.8333342244,Current electrified
LSO,2021.0,EL3U,69.4444445,New electrified
LSO,2022.0,EL3E,1292.9722232566,Current electrified
LSO,2022.0,EL3U,138.888889,New electrified
LSO,2023.0,EL3E,1492.6944456386,Current electrified
LSO,2023.0,EL3U,208.3333335,New electrified
LSO,2024.0,EL3E,1715.4444458168002,Current electrified
LSO,2024.0,EL3U,277.777778,New electrified
LSO,2025.0,EL3E,1926.3055570966,Current electrified
LSO,2025.0,EL3U,347.22222250000004,New electrified
LSO,2026.0,EL3E,2157.6111128372004,Current electrified
LSO,2026.0,EL3U,416.666667,New electrified
LSO,2027.0,EL3E,2410.694446373,Current electrified
LSO,2027.0,EL3U,432.4166670126,New electrified
LSO,2028.0,EL3E,2687.0555577052005,Current electrified
LSO,2028.0,EL3U,448.194444803,New electrified
LSO,2029.0,EL3E,2988.4444468352003,Current electrified
LSO,2029.0,EL3U,463.9444448156,New electrified
LSO,2030.0,EL3E,3284.5555581832004,Current electrified
LSO,2030.0,EL3U,479.72222260600006,New electrified
LSO,2023.0,ZAFEL1,134.77777788560002,Exports (ZAF)
LSO,2024.0,ZAFEL1,31.0833333582,Exports (ZAF)
LSO,2029.0,ZAFEL1,39.66666669840001,Exports (ZAF)
LSO,2030.0,ZAFEL1,950.3888896492,Exports (ZAF)
