Country,y,f,Total annual demand (GWh),Demand type
MOZ,2020.0,EL3E,16944.1389024442,Current electrified
MOZ,2021.0,EL3E,13078.2500104626,Current electrified
MOZ,2021.0,EL3U,510.1388892970001,New electrified
MOZ,2022.0,EL3E,12306.3333431784,Current electrified
MOZ,2022.0,EL3U,1020.277778594,New electrified
MOZ,2023.0,EL3E,11598.5000092788,Current electrified
MOZ,2023.0,EL3U,1530.416667891,New electrified
MOZ,2024.0,EL3E,10955.1944532086,Current electrified
MOZ,2024.0,EL3U,2040.555557188,New electrified
MOZ,2025.0,EL3E,10378.7222305252,Current electrified
MOZ,2025.0,EL3U,2550.694446485,New electrified
MOZ,2026.0,EL3E,10390.6666749792,Current electrified
MOZ,2026.0,EL3U,3060.833335782,New electrified
MOZ,2027.0,EL3E,10468.944452819602,Current electrified
MOZ,2027.0,EL3U,3251.9444470460003,New electrified
MOZ,2028.0,EL3E,10610.5277862662,Current electrified
MOZ,2028.0,EL3U,3443.05555831,New electrified
MOZ,2029.0,EL3E,10813.083341983802,Current electrified
MOZ,2029.0,EL3U,3634.166669574,New electrified
MOZ,2030.0,EL3E,11074.027786637002,Current electrified
MOZ,2030.0,EL3U,3825.2777808380006,New electrified
MOZ,2020.0,MWIEL1,268.3611113258,Exports (MWI)
MOZ,2021.0,MWIEL1,1177.7222231644,Exports (MWI)
MOZ,2021.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2021.0,ZWEEL1,629.6666671704,Exports (ZWE)
MOZ,2022.0,MWIEL1,2129.861112815,Exports (MWI)
MOZ,2022.0,ZAFEL1,31226.0555805364,Exports (ZAF)
MOZ,2022.0,ZWEEL1,263.8611113222,Exports (ZWE)
MOZ,2023.0,MWIEL1,356.2777780628,Exports (MWI)
MOZ,2023.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2023.0,ZWEEL1,339.583333605,Exports (ZWE)
MOZ,2024.0,MWIEL1,451.8333336948001,Exports (MWI)
MOZ,2024.0,SWZEL1,207.1388890546,Exports (SWZ)
MOZ,2024.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2024.0,ZWEEL1,488.472222613,Exports (ZWE)
MOZ,2025.0,MWIEL1,746.2777783748,Exports (MWI)
MOZ,2025.0,SWZEL1,578.3888893516,Exports (SWZ)
MOZ,2025.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2025.0,ZWEEL1,430.3333336776,Exports (ZWE)
MOZ,2026.0,MWIEL1,1819.3888903444,Exports (MWI)
MOZ,2026.0,SWZEL1,949.8055563154,Exports (SWZ)
MOZ,2026.0,ZAFEL1,31950.7778033384,Exports (ZAF)
MOZ,2026.0,ZWEEL1,626.6944449458,Exports (ZWE)
MOZ,2027.0,MWIEL1,2128.1111128136,Exports (MWI)
MOZ,2027.0,SWZEL1,1169.8055564914,Exports (SWZ)
MOZ,2027.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2027.0,ZWEEL1,1066.5833341866,Exports (ZWE)
MOZ,2028.0,MWIEL1,2309.0000018472,Exports (MWI)
MOZ,2028.0,SWZEL1,1323.6944455034,Exports (SWZ)
MOZ,2028.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2028.0,ZWEEL1,692.3055561094001,Exports (ZWE)
MOZ,2029.0,MWIEL1,2403.9722241454,Exports (MWI)
MOZ,2029.0,SWZEL1,1486.388890078,Exports (SWZ)
MOZ,2029.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2029.0,ZWEEL1,765.5000006124,Exports (ZWE)
MOZ,2030.0,MWIEL1,2493.6388908838003,Exports (MWI)
MOZ,2030.0,SWZEL1,1149.9166675866002,Exports (SWZ)
MOZ,2030.0,ZAFEL1,32039.6944700762,Exports (ZAF)
MOZ,2030.0,ZWEEL1,546.1666671036,Exports (ZWE)
