Country,y,f,Total annual production (GWh),Source
BWA,2020.0,COA,4426.4722257634,Coal
BWA,2020.0,LFO,250.9166668674,Light Fuel Oil
BWA,2020.0,SOL,286.66666689600004,Solar
BWA,2021.0,BIO,33.1388889154,Biomass
BWA,2021.0,COA,1055.3333341776,Coal
BWA,2021.0,Imports (ZAF),1782.0555569812,Imports (ZAF)
BWA,2021.0,Imports (ZMB),1694.5277791334,Imports (ZMB)
BWA,2021.0,LFO,215.972222395,Light Fuel Oil
BWA,2021.0,SOL,286.55555578480005,Solar
BWA,2022.0,BIO,33.1388889154,Biomass
BWA,2022.0,COA,1055.3333341776,Coal
BWA,2022.0,Imports (ZAF),2528.6666686896,Imports (ZAF)
BWA,2022.0,Imports (ZMB),1240.416667659,Imports (ZMB)
BWA,2022.0,LFO,209.444444612,Light Fuel Oil
BWA,2022.0,SOL,289.55555578720003,Solar
BWA,2023.0,BIO,33.1388889154,Biomass
BWA,2023.0,COA,1002.5555563576,Coal
BWA,2023.0,Imports (ZMB),2496.6111131084003,Imports (ZMB)
BWA,2023.0,Imports (ZWE),1831.250001465,Imports (ZWE)
BWA,2023.0,LFO,197.638889047,Light Fuel Oil
BWA,2023.0,SOL,316.44444469760003,Solar
BWA,2024.0,BIO,33.1388889154,Biomass
BWA,2024.0,COA,949.7777785376,Coal
BWA,2024.0,Imports (ZMB),2080.694446109,Imports (ZMB)
BWA,2024.0,Imports (ZWE),2496.6111131084003,Imports (ZWE)
BWA,2024.0,LFO,185.9166668154,Light Fuel Oil
BWA,2024.0,SOL,340.0277780498,Solar
BWA,2025.0,BIO,33.1388889154,Biomass
BWA,2025.0,COA,897.0277784954,Coal
BWA,2025.0,Imports (ZMB),2365.3611130034,Imports (ZMB)
BWA,2025.0,Imports (ZWE),2496.6111131084003,Imports (ZWE)
BWA,2025.0,LFO,174.166666806,Light Fuel Oil
BWA,2025.0,SOL,362.1666669564,Solar
BWA,2026.0,BIO,33.1388889154,Biomass
BWA,2026.0,COA,844.2500006754,Coal
BWA,2026.0,Imports (ZAF),363.2500002906,Imports (ZAF)
BWA,2026.0,Imports (ZMB),2293.6388907238,Imports (ZMB)
BWA,2026.0,Imports (ZWE),2496.6111131084003,Imports (ZWE)
BWA,2026.0,LFO,159.1388890162,Light Fuel Oil
BWA,2026.0,SOL,447.0277781354,Solar
BWA,2027.0,BIO,33.1388889154,Biomass
BWA,2027.0,COA,791.5000006332001,Coal
BWA,2027.0,Imports (ZAF),469.9166670426,Imports (ZAF)
BWA,2027.0,Imports (ZMB),2322.6111129692,Imports (ZMB)
BWA,2027.0,Imports (ZWE),2496.6111131084003,Imports (ZWE)
BWA,2027.0,LFO,147.777777896,Light Fuel Oil
BWA,2027.0,SOL,512.4166670766,Solar
BWA,2028.0,BIO,33.1388889154,Biomass
BWA,2028.0,COA,738.7222228132001,Coal
BWA,2028.0,Imports (ZAF),978.5000007828,Imports (ZAF)
BWA,2028.0,Imports (ZMB),2339.4722240938004,Imports (ZMB)
BWA,2028.0,Imports (ZWE),2106.250001685,Imports (ZWE)
BWA,2028.0,LFO,136.4166667758,Light Fuel Oil
BWA,2028.0,SOL,577.0555560172,Solar
BWA,2029.0,BIO,33.1388889154,Biomass
BWA,2029.0,COA,685.972222771,Coal
BWA,2029.0,Imports (ZAF),370.83333363,Imports (ZAF)
BWA,2029.0,Imports (ZMB),2218.6388906638,Imports (ZMB)
BWA,2029.0,Imports (ZWE),2134.861112819,Imports (ZWE)
BWA,2029.0,LFO,125.0555556556,Light Fuel Oil
BWA,2029.0,SOL,1531.8888901144,Solar
BWA,2030.0,BIO,33.1388889154,Biomass
BWA,2030.0,COA,633.194444951,Coal
BWA,2030.0,Imports (ZMB),2188.8333350844,Imports (ZMB)
BWA,2030.0,Imports (ZWE),1584.2222234896,Imports (ZWE)
BWA,2030.0,LFO,113.6666667576,Light Fuel Oil
BWA,2030.0,SOL,2736.6388910782,Solar
