Country,y,f,Total annual production (GWh),Source
CMR,2020.0,HFO,1256.5000010052,Heavy Fuel Oil
CMR,2020.0,HYD,4095.000003276,Hydropower
CMR,2020.0,Imports (TCD),2782.222224448,Imports (TCD)
CMR,2020.0,LFO,386.250000309,Light Fuel Oil
CMR,2020.0,NGA,1584.5555568232,Natural Gas
CMR,2020.0,SOL,11.5555555648,Solar
CMR,2021.0,HFO,238.75000019100003,Heavy Fuel Oil
CMR,2021.0,HYD,5842.6111157852,Hydropower
CMR,2021.0,Imports (TCD),4029.7777810016,Imports (TCD)
CMR,2021.0,LFO,352.083333615,Light Fuel Oil
CMR,2021.0,NGA,705.833333898,Natural Gas
CMR,2021.0,SOL,11.1666666756,Solar
CMR,2022.0,HFO,226.16666684760003,Heavy Fuel Oil
CMR,2022.0,HYD,6084.611115978801,Hydropower
CMR,2022.0,Imports (TCD),5910.0555602836,Imports (TCD)
CMR,2022.0,LFO,234.0833335206,Light Fuel Oil
CMR,2022.0,NGA,189.5000001516,Natural Gas
CMR,2022.0,SOL,10.7500000086,Solar
CMR,2023.0,HFO,213.611111282,Heavy Fuel Oil
CMR,2023.0,HYD,6887.027783287401,Hydropower
CMR,2023.0,Imports (TCD),6585.000005268,Imports (TCD)
CMR,2023.0,LFO,225.277777958,Light Fuel Oil
CMR,2023.0,NGA,178.9722223654,Natural Gas
CMR,2023.0,SOL,10.3611111194,Solar
CMR,2024.0,HFO,201.0555557164,Heavy Fuel Oil
CMR,2024.0,HYD,7880.7777840824,Hydropower
CMR,2024.0,Imports (TCD),7071.916672324201,Imports (TCD)
CMR,2024.0,LFO,216.5000001732,Light Fuel Oil
CMR,2024.0,NGA,168.44444457920002,Natural Gas
CMR,2024.0,SOL,9.972222230200002,Solar
CMR,2025.0,HFO,188.472222373,Heavy Fuel Oil
CMR,2025.0,HYD,8666.083340266201,Hydropower
CMR,2025.0,Imports (TCD),7674.5277839174,Imports (TCD)
CMR,2025.0,LFO,207.7222223884,Light Fuel Oil
CMR,2025.0,NGA,254.2777779812,Natural Gas
CMR,2025.0,SOL,9.5555555632,Solar
CMR,2026.0,HFO,175.9166668074,Heavy Fuel Oil
CMR,2026.0,HYD,8704.027784741002,Hydropower
CMR,2026.0,Imports (TCD),8911.0277849066,Imports (TCD)
CMR,2026.0,LFO,199.166666826,Light Fuel Oil
CMR,2026.0,NGA,504.0000004032,Natural Gas
CMR,2026.0,SOL,9.166666674,Solar
CMR,2027.0,HFO,163.333333464,Heavy Fuel Oil
CMR,2027.0,HYD,9735.166674454802,Hydropower
CMR,2027.0,Imports (TCD),9563.5000076508,Imports (TCD)
CMR,2027.0,LFO,147.1944445622,Light Fuel Oil
CMR,2027.0,NGA,404.1388892122,Natural Gas
CMR,2027.0,SOL,8.777777784800001,Solar
CMR,2028.0,HFO,150.7777778984,Heavy Fuel Oil
CMR,2028.0,HYD,10486.527786167,Hydropower
CMR,2028.0,Imports (TCD),10390.111119423202,Imports (TCD)
CMR,2028.0,LFO,136.19444455340002,Light Fuel Oil
CMR,2028.0,NGA,360.5833336218,Natural Gas
CMR,2028.0,SOL,8.3611111178,Solar
CMR,2029.0,HFO,138.22222233280002,Heavy Fuel Oil
CMR,2029.0,HYD,11982.083342919,Hydropower
CMR,2029.0,Imports (TCD),10344.3333416088,Imports (TCD)
CMR,2029.0,LFO,121.05555565240002,Light Fuel Oil
CMR,2029.0,NGA,365.416666959,Natural Gas
CMR,2029.0,SOL,76.83333339480001,Solar
CMR,2030.0,HFO,125.6388889894,Heavy Fuel Oil
CMR,2030.0,HYD,12480.694454429002,Hydropower
CMR,2030.0,Imports (TCD),10826.5555642168,Imports (TCD)
CMR,2030.0,LFO,110.0555556436,Light Fuel Oil
CMR,2030.0,NGA,428.5000003428,Natural Gas
CMR,2030.0,SOL,464.0555559268,Solar
