Country,y,f,Total annual production (GWh),Source
COG,2020.0,BIO,33.9444444716,Biomass
COG,2020.0,HFO,128.333333436,Heavy Fuel Oil
COG,2020.0,HYD,847.1944451222,Hydropower
COG,2020.0,Imports (COD),499.3333337328,Imports (COD)
COG,2020.0,LFO,714.6666672384,Light Fuel Oil
COG,2020.0,NGA,667.1944449782,Natural Gas
COG,2020.0,SOL,244.7777779736,Solar
COG,2021.0,BIO,32.222222248,Biomass
COG,2021.0,HFO,121.9166667642,Heavy Fuel Oil
COG,2021.0,HYD,847.1944451222,Hydropower
COG,2021.0,Imports (COD),499.3333337328,Imports (COD)
COG,2021.0,LFO,192.8611112654,Light Fuel Oil
COG,2021.0,NGA,1020.6111119276,Natural Gas
COG,2021.0,SOL,244.722222418,Solar
COG,2022.0,BIO,30.5277778022,Biomass
COG,2022.0,HFO,23.1111111296,Heavy Fuel Oil
COG,2022.0,HYD,2806.0277800226,Hydropower
COG,2022.0,LFO,110.6111111996,Light Fuel Oil
COG,2022.0,NGA,426.8333336748,Natural Gas
COG,2022.0,SOL,244.6666668624,Solar
COG,2023.0,BIO,28.8333333564,Biomass
COG,2023.0,HFO,21.805555573,Heavy Fuel Oil
COG,2023.0,HYD,2806.0277800226,Hydropower
COG,2023.0,LFO,65.38888894120001,Light Fuel Oil
COG,2023.0,NGA,403.13888921140006,Natural Gas
COG,2023.0,SOL,244.6111113068,Solar
COG,2024.0,BIO,27.1388889106,Biomass
COG,2024.0,HFO,20.5277777942,Heavy Fuel Oil
COG,2024.0,HYD,2944.5000023556,Hydropower
COG,2024.0,Imports (COD),110.6666667552,Imports (COD)
COG,2024.0,LFO,36.8333333628,Light Fuel Oil
COG,2024.0,NGA,379.4166669702,Natural Gas
COG,2024.0,SOL,244.5555557512,Solar
COG,2025.0,BIO,16.9722222358,Biomass
COG,2025.0,HFO,19.2500000154,Heavy Fuel Oil
COG,2025.0,HYD,3232.8888914752,Hydropower
COG,2025.0,Imports (COD),45.9444444812,Imports (COD)
COG,2025.0,LFO,34.5277778054,Light Fuel Oil
COG,2025.0,NGA,355.694444729,Natural Gas
COG,2025.0,SOL,244.5000001956,Solar
COG,2026.0,BIO,15.27777779,Biomass
COG,2026.0,HFO,17.9722222366,Heavy Fuel Oil
COG,2026.0,HYD,3656.9166695922,Hydropower
COG,2026.0,Imports (COD),37.916666697,Imports (COD)
COG,2026.0,LFO,32.2500000258,Light Fuel Oil
COG,2026.0,NGA,332.0000002656,Natural Gas
COG,2026.0,SOL,244.44444464,Solar
COG,2027.0,BIO,13.5833333442,Biomass
COG,2027.0,HFO,16.6944444578,Heavy Fuel Oil
COG,2027.0,HYD,3656.9166695922,Hydropower
COG,2027.0,Imports (COD),158.2777779044,Imports (COD)
COG,2027.0,LFO,32.500000026,Light Fuel Oil
COG,2027.0,NGA,308.2777780244,Natural Gas
COG,2027.0,SOL,244.3611113066,Solar
COG,2028.0,BIO,11.8888888984,Biomass
COG,2028.0,HFO,15.3888889012,Heavy Fuel Oil
COG,2028.0,HYD,3656.9166695922,Hydropower
COG,2028.0,Imports (COD),267.4722224362,Imports (COD)
COG,2028.0,LFO,27.638888911,Light Fuel Oil
COG,2028.0,NGA,284.5555557832,Natural Gas
COG,2028.0,SOL,314.63888914060004,Solar
COG,2029.0,BIO,10.1666666748,Biomass
COG,2029.0,HFO,14.1111111224,Heavy Fuel Oil
COG,2029.0,HYD,3656.9166695922,Hydropower
COG,2029.0,Imports (COD),418.9444447796,Imports (COD)
COG,2029.0,LFO,25.3333333536,Light Fuel Oil
COG,2029.0,NGA,260.86111131980005,Natural Gas
COG,2029.0,SOL,380.1666669708,Solar
COG,2030.0,BIO,8.472222229,Biomass
COG,2030.0,HFO,12.8333333436,Heavy Fuel Oil
COG,2030.0,HYD,3656.9166695922,Hydropower
COG,2030.0,LFO,23.0277777962,Light Fuel Oil
COG,2030.0,NGA,237.1388890786,Natural Gas
COG,2030.0,SOL,868.3055562502,Solar
