Country,y,f,Total annual production (GWh),Source
GNQ,2020.0,HFO,40.000000032,Heavy Fuel Oil
GNQ,2020.0,HYD,514.6388893006,Hydropower
GNQ,2020.0,LFO,17.694444458600003,Light Fuel Oil
GNQ,2020.0,NGA,374.0277780770001,Natural Gas
GNQ,2020.0,SOL,1636.8333346428003,Solar
GNQ,2021.0,HFO,38.0000000304,Heavy Fuel Oil
GNQ,2021.0,HYD,514.6388893006,Hydropower
GNQ,2021.0,LFO,11.5833333426,Light Fuel Oil
GNQ,2021.0,NGA,381.4722225274,Natural Gas
GNQ,2021.0,SOL,1663.5833346642,Solar
GNQ,2022.0,HFO,101.6944445258,Heavy Fuel Oil
GNQ,2022.0,HYD,514.6388893006,Hydropower
GNQ,2022.0,LFO,11.0555555644,Light Fuel Oil
GNQ,2022.0,NGA,383.5000003068,Natural Gas
GNQ,2022.0,SOL,1859.4722237098003,Solar
GNQ,2023.0,HFO,34.0000000272,Heavy Fuel Oil
GNQ,2023.0,HYD,857.5277784638,Hydropower
GNQ,2023.0,LFO,10.555555564,Light Fuel Oil
GNQ,2023.0,NGA,367.4722225162001,Natural Gas
GNQ,2023.0,SOL,1860.1944459326005,Solar
GNQ,2024.0,HFO,103.055555638,Heavy Fuel Oil
GNQ,2024.0,HYD,852.8611117934,Hydropower
GNQ,2024.0,LFO,10.0277777858,Light Fuel Oil
GNQ,2024.0,NGA,357.1666669524,Natural Gas
GNQ,2024.0,SOL,2064.6111127628,Solar
GNQ,2025.0,HFO,104.1388889722,Heavy Fuel Oil
GNQ,2025.0,HYD,759.0833339406,Hydropower
GNQ,2025.0,LFO,9.5277777854,Light Fuel Oil
GNQ,2025.0,NGA,346.8611113886,Natural Gas
GNQ,2025.0,SOL,2425.6111130516,Solar
GNQ,2026.0,HFO,97.1944445222,Heavy Fuel Oil
GNQ,2026.0,HYD,657.0000005256001,Hydropower
GNQ,2026.0,LFO,9.0000000072,Light Fuel Oil
GNQ,2026.0,NGA,336.5555558248,Natural Gas
GNQ,2026.0,SOL,2795.7222244588,Solar
GNQ,2027.0,HFO,26.0000000208,Heavy Fuel Oil
GNQ,2027.0,HYD,569.3888893444001,Hydropower
GNQ,2027.0,LFO,8.5000000068,Light Fuel Oil
GNQ,2027.0,NGA,326.250000261,Natural Gas
GNQ,2027.0,SOL,3185.3055581038,Solar
GNQ,2028.0,HFO,24.0000000192,Heavy Fuel Oil
GNQ,2028.0,HYD,569.3888893444001,Hydropower
GNQ,2028.0,LFO,6.8333333388,Light Fuel Oil
GNQ,2028.0,NGA,315.9444446972,Natural Gas
GNQ,2028.0,SOL,3419.3888916244,Solar
GNQ,2029.0,HFO,22.0000000176,Heavy Fuel Oil
GNQ,2029.0,HYD,569.3888893444001,Hydropower
GNQ,2029.0,LFO,6.2777777828,Light Fuel Oil
GNQ,2029.0,NGA,305.6388891334,Natural Gas
GNQ,2029.0,SOL,3651.1666695876,Solar
GNQ,2030.0,HFO,20.000000016,Heavy Fuel Oil
GNQ,2030.0,HYD,569.3888893444001,Hydropower
GNQ,2030.0,LFO,5.694444449000001,Light Fuel Oil
GNQ,2030.0,NGA,103.0833334158,Natural Gas
GNQ,2030.0,SOL,4073.4166699254,Solar
