Country,y,f,Total annual production (GWh),Source
NAM,2020.0,BIO,1.0000000008,Biomass
NAM,2020.0,COA,168.3888890236,Coal
NAM,2020.0,HFO,64.2777778292,Heavy Fuel Oil
NAM,2020.0,HYD,1468.8333345084,Hydropower
NAM,2020.0,Imports (ZAF),3874.9444475444,Imports (ZAF)
NAM,2020.0,LFO,15.8055555682,Light Fuel Oil
NAM,2020.0,SOL,103.9444445276,Solar
NAM,2020.0,WIN,15.1944444566,Wind
NAM,2021.0,BIO,0.9444444452,Biomass
NAM,2021.0,COA,168.3888890236,Coal
NAM,2021.0,HFO,61.0555556044,Heavy Fuel Oil
NAM,2021.0,HYD,1468.8333345084,Hydropower
NAM,2021.0,Imports (ZAF),2536.527779807001,Imports (ZAF)
NAM,2021.0,Imports (ZMB),2496.6111131084003,Imports (ZMB)
NAM,2021.0,LFO,17.833333347600004,Light Fuel Oil
NAM,2021.0,SOL,102.4444445264,Solar
NAM,2021.0,WIN,15.1944444566,Wind
NAM,2022.0,BIO,0.8888888896000001,Biomass
NAM,2022.0,COA,168.3888890236,Coal
NAM,2022.0,HFO,57.8333333796,Heavy Fuel Oil
NAM,2022.0,HYD,1468.8333345084,Hydropower
NAM,2022.0,Imports (ZAF),3973.8055587346,Imports (ZAF)
NAM,2022.0,Imports (ZMB),2326.3055574166,Imports (ZMB)
NAM,2022.0,LFO,17.027777791400002,Light Fuel Oil
NAM,2022.0,SOL,100.9444445252,Solar
NAM,2022.0,WIN,15.1944444566,Wind
NAM,2023.0,BIO,0.8611111118,Biomass
NAM,2023.0,COA,159.97222235019998,Coal
NAM,2023.0,HFO,54.6388889326,Heavy Fuel Oil
NAM,2023.0,HYD,8322.0000066576,Hydropower
NAM,2023.0,Imports (ZMB),2087.2777794476,Imports (ZMB)
NAM,2023.0,LFO,16.250000013,Light Fuel Oil
NAM,2023.0,SOL,99.444444524,Solar
NAM,2023.0,WIN,15.1944444566,Wind
NAM,2024.0,BIO,0.8055555562,Biomass
NAM,2024.0,COA,151.5555556768,Coal
NAM,2024.0,HFO,51.4166667078,Heavy Fuel Oil
NAM,2024.0,HYD,8322.0000066576,Hydropower
NAM,2024.0,Imports (ZMB),2090.5833350058,Imports (ZMB)
NAM,2024.0,Imports (ZWE),2223.2500017786,Imports (ZWE)
NAM,2024.0,LFO,15.4444444568,Light Fuel Oil
NAM,2024.0,SOL,97.9722223006,Solar
NAM,2024.0,WIN,15.1944444566,Wind
NAM,2025.0,BIO,0.5000000004,Biomass
NAM,2025.0,COA,143.1388890034,Coal
NAM,2025.0,HFO,48.194444483,Heavy Fuel Oil
NAM,2025.0,HYD,8322.0000066576,Hydropower
NAM,2025.0,Imports (ZMB),2068.1111127656,Imports (ZMB)
NAM,2025.0,Imports (ZWE),2347.361112989,Imports (ZWE)
NAM,2025.0,LFO,13.361111121800002,Light Fuel Oil
NAM,2025.0,SOL,773.6666672856,Solar
NAM,2025.0,WIN,15.1944444566,Wind
NAM,2026.0,BIO,0.4444444448,Biomass
NAM,2026.0,COA,134.72222233,Coal
NAM,2026.0,HFO,45.000000036,Heavy Fuel Oil
NAM,2026.0,HYD,8322.0000066576,Hydropower
NAM,2026.0,Imports (ZAF),265.7500002126,Imports (ZAF)
NAM,2026.0,Imports (ZMB),2134.5833350410003,Imports (ZMB)
NAM,2026.0,Imports (ZWE),2110.0000016880003,Imports (ZWE)
NAM,2026.0,LFO,12.0277777874,Light Fuel Oil
NAM,2026.0,SOL,1520.9444456612,Solar
NAM,2026.0,WIN,15.1944444566,Wind
NAM,2027.0,BIO,0.3888888892,Biomass
NAM,2027.0,COA,126.3055556566,Coal
NAM,2027.0,HFO,41.7777778112,Heavy Fuel Oil
NAM,2027.0,HYD,8322.0000066576,Hydropower
NAM,2027.0,Imports (ZMB),1994.0555571508005,Imports (ZMB)
NAM,2027.0,Imports (ZWE),2016.8611127246,Imports (ZWE)
NAM,2027.0,LFO,11.1666666756,Light Fuel Oil
NAM,2027.0,SOL,3175.6944469850005,Solar
NAM,2027.0,WIN,15.1944444566,Wind
NAM,2028.0,BIO,0.3611111114,Biomass
NAM,2028.0,COA,117.8888889832,Coal
NAM,2028.0,HFO,38.5555555864,Heavy Fuel Oil
NAM,2028.0,HYD,8322.0000066576,Hydropower
NAM,2028.0,Imports (ZAF),191.4444445976,Imports (ZAF)
NAM,2028.0,Imports (ZMB),1950.277779338,Imports (ZMB)
NAM,2028.0,Imports (ZWE),2205.972223987,Imports (ZWE)
NAM,2028.0,LFO,9.5000000076,Light Fuel Oil
NAM,2028.0,SOL,4367.1666701604,Solar
NAM,2028.0,WIN,15.1944444566,Wind
NAM,2029.0,BIO,0.3055555558,Biomass
NAM,2029.0,COA,109.4722223098,Coal
NAM,2029.0,HFO,35.333333361600005,Heavy Fuel Oil
NAM,2029.0,HYD,8322.0000066576,Hydropower
NAM,2029.0,Imports (ZAF),540.833333766,Imports (ZAF)
NAM,2029.0,Imports (ZMB),2002.4722238242,Imports (ZMB)
NAM,2029.0,Imports (ZWE),2072.6388905470003,Imports (ZWE)
NAM,2029.0,LFO,8.6944444514,Light Fuel Oil
NAM,2029.0,SOL,5982.7777825640005,Solar
NAM,2029.0,WIN,15.1944444566,Wind
NAM,2030.0,BIO,0.2500000002,Biomass
NAM,2030.0,COA,101.0277778586,Coal
NAM,2030.0,HFO,32.1388889146,Heavy Fuel Oil
NAM,2030.0,HYD,8322.0000066576,Hydropower
NAM,2030.0,Imports (ZAF),597.0277782554001,Imports (ZAF)
NAM,2030.0,Imports (ZMB),1800.6388903294005,Imports (ZMB)
NAM,2030.0,Imports (ZWE),1560.3888901372,Imports (ZWE)
NAM,2030.0,LFO,7.916666673000001,Light Fuel Oil
NAM,2030.0,SOL,8530.416673491,Solar
NAM,2030.0,WIN,15.1944444566,Wind
