Country,y,f,Total annual production (GWh),Source
SDN,2020.0,BIO,950.3888896492,Biomass
SDN,2020.0,HFO,2553.750002043,Heavy Fuel Oil
SDN,2020.0,HYD,7917.1388952226,Hydropower
SDN,2020.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2020.0,LFO,470.9166670434,Light Fuel Oil
SDN,2020.0,SOL,20.8888889056,Solar
SDN,2021.0,BIO,19729.2222380056,Biomass
SDN,2021.0,HFO,2493.4166686614003,Heavy Fuel Oil
SDN,2021.0,HYD,7917.1388952226,Hydropower
SDN,2021.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2021.0,LFO,447.361111469,Light Fuel Oil
SDN,2021.0,SOL,20.2222222384,Solar
SDN,2022.0,BIO,19681.694460189803,Biomass
SDN,2022.0,HFO,2298.3888907276,Heavy Fuel Oil
SDN,2022.0,HYD,7917.1388952226,Hydropower
SDN,2022.0,Imports (ETH),1040.2500008322,Imports (ETH)
SDN,2022.0,LFO,428.1111114536001,Light Fuel Oil
SDN,2022.0,SOL,19.555555571200003,Solar
SDN,2023.0,BIO,19634.166682374,Biomass
SDN,2023.0,HFO,2170.694446181,Heavy Fuel Oil
SDN,2023.0,HYD,14360.8889003776,Hydropower
SDN,2023.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2023.0,LFO,405.138889213,Light Fuel Oil
SDN,2023.0,SOL,18.888888904,Solar
SDN,2024.0,BIO,19586.6389045582,Biomass
SDN,2024.0,GEO,744.6111117068001,Geothermal
SDN,2024.0,HFO,2043.0000016344,Heavy Fuel Oil
SDN,2024.0,HYD,20072.2500160578,Hydropower
SDN,2024.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2024.0,LFO,382.1388891946,Light Fuel Oil
SDN,2024.0,SOL,18.222222236800004,Solar
SDN,2025.0,BIO,36206.7222511876,Biomass
SDN,2025.0,GEO,1489.1944456358,Geothermal
SDN,2025.0,HFO,1915.3055570878005,Heavy Fuel Oil
SDN,2025.0,HYD,20072.2500160578,Hydropower
SDN,2025.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2025.0,LFO,359.13888917620005,Light Fuel Oil
SDN,2025.0,SOL,17.555555569600003,Solar
SDN,2026.0,BIO,37798.86114135021,Biomass
SDN,2026.0,GEO,2233.8055573426004,Geothermal
SDN,2026.0,HFO,1787.6388903190002,Heavy Fuel Oil
SDN,2026.0,HYD,20072.2500160578,Hydropower
SDN,2026.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2026.0,LFO,334.9444447124,Light Fuel Oil
SDN,2026.0,SOL,839.8888895608001,Solar
SDN,2027.0,BIO,55321.277822034805,Biomass
SDN,2027.0,GEO,2978.3888912716,Geothermal
SDN,2027.0,HFO,1659.9444457724,Heavy Fuel Oil
SDN,2027.0,HYD,20072.2500160578,Hydropower
SDN,2027.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2027.0,LFO,306.08333357820004,Light Fuel Oil
SDN,2027.0,SOL,2292.7500018342,Solar
SDN,2028.0,BIO,55273.750044219,Biomass
SDN,2028.0,GEO,2978.3888912716,Geothermal
SDN,2028.0,HFO,1532.2500012258,Heavy Fuel Oil
SDN,2028.0,HYD,20072.2500160578,Hydropower
SDN,2028.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2028.0,LFO,282.55555578160005,Light Fuel Oil
SDN,2028.0,SOL,4528.500003622799,Solar
SDN,2029.0,BIO,55226.2222664032,Biomass
SDN,2029.0,GEO,2978.3888912716,Geothermal
SDN,2029.0,HFO,1404.5555566792,Heavy Fuel Oil
SDN,2029.0,HYD,20072.2500160578,Hydropower
SDN,2029.0,Imports (ETH),1664.3888902203998,Imports (ETH)
SDN,2029.0,LFO,259.0000002072,Light Fuel Oil
SDN,2029.0,SOL,6758.6944498514,Solar
SDN,2030.0,BIO,55178.72226636521,Biomass
SDN,2030.0,GEO,2978.3888912716,Geothermal
SDN,2030.0,HFO,1276.8888899104002,Heavy Fuel Oil
SDN,2030.0,HYD,20072.2500160578,Hydropower
SDN,2030.0,Imports (ETH),1613.194445735,Imports (ETH)
SDN,2030.0,LFO,235.4444446328,Light Fuel Oil
SDN,2030.0,SOL,9034.5277850054,Solar
