Country,y,f,Total annual production (GWh),Source
TCD,2020.0,HFO,851.3055562366001,Heavy Fuel Oil
TCD,2020.0,LFO,54.6944444882,Light Fuel Oil
TCD,2020.0,SOL,2323.5555574144005,Solar
TCD,2020.0,WIN,3.5000000028,Wind
TCD,2021.0,HFO,145.58333344980002,Heavy Fuel Oil
TCD,2021.0,LFO,51.972222263800006,Light Fuel Oil
TCD,2021.0,SOL,4475.00000358,Solar
TCD,2021.0,WIN,3.5000000028,Wind
TCD,2022.0,HFO,137.91666677700002,Heavy Fuel Oil
TCD,2022.0,LFO,49.333333372800006,Light Fuel Oil
TCD,2022.0,SOL,6593.888894164,Solar
TCD,2022.0,WIN,3.1111111136000003,Wind
TCD,2023.0,HFO,130.2500001042,Heavy Fuel Oil
TCD,2023.0,LFO,46.694444481800005,Light Fuel Oil
TCD,2023.0,SOL,7442.9722281766,Solar
TCD,2023.0,WIN,3.1111111136000003,Wind
TCD,2024.0,HFO,122.5833334314,Heavy Fuel Oil
TCD,2024.0,LFO,44.0555555908,Light Fuel Oil
TCD,2024.0,SOL,8093.500006474801,Solar
TCD,2024.0,WIN,3.1111111136000003,Wind
TCD,2025.0,HFO,114.9166667586,Heavy Fuel Oil
TCD,2025.0,LFO,41.4166666998,Light Fuel Oil
TCD,2025.0,SOL,8877.5277848798,Solar
TCD,2025.0,WIN,3.1111111136000003,Wind
TCD,2026.0,HFO,107.2777778636,Heavy Fuel Oil
TCD,2026.0,LFO,38.5000000308,Light Fuel Oil
TCD,2026.0,SOL,10329.5555638192,Solar
TCD,2026.0,WIN,2.8611111134,Wind
TCD,2027.0,HFO,99.6111111908,Heavy Fuel Oil
TCD,2027.0,LFO,35.8611111398,Light Fuel Oil
TCD,2027.0,SOL,11084.9166755346,Solar
TCD,2027.0,WIN,2.8611111134,Wind
TCD,2028.0,HFO,91.944444518,Heavy Fuel Oil
TCD,2028.0,LFO,31.7500000254,Light Fuel Oil
TCD,2028.0,SOL,12025.833342954,Solar
TCD,2028.0,WIN,2.638888891,Wind
TCD,2029.0,HFO,84.2777778452,Heavy Fuel Oil
TCD,2029.0,LFO,29.1111111344,Light Fuel Oil
TCD,2029.0,SOL,12046.4166763038,Solar
TCD,2029.0,WIN,2.638888891,Wind
TCD,2030.0,HFO,76.6111111724,Heavy Fuel Oil
TCD,2030.0,LFO,26.444444465600004,Light Fuel Oil
TCD,2030.0,SOL,12625.6666767672,Solar
TCD,2030.0,WIN,2.5277777798,Wind
