Country,y,f,Total annual production (GWh),Source
UGA,2020.0,BIO,97.3888889668,Biomass
UGA,2020.0,HYD,6127.3888937908,Hydropower
UGA,2020.0,LFO,139.2500001114,Light Fuel Oil
UGA,2020.0,SOL,66.3611111642,Solar
UGA,2021.0,BIO,229.444444628,Biomass
UGA,2021.0,HYD,6127.3888937908,Hydropower
UGA,2021.0,LFO,132.361111217,Light Fuel Oil
UGA,2021.0,SOL,64.88888894080002,Solar
UGA,2022.0,BIO,217.361111285,Biomass
UGA,2022.0,HYD,6127.3888937908,Hydropower
UGA,2022.0,LFO,125.3888889892,Light Fuel Oil
UGA,2022.0,SOL,63.416666717400005,Solar
UGA,2023.0,BIO,205.277777942,Biomass
UGA,2023.0,HYD,6127.3888937908,Hydropower
UGA,2023.0,Imports (KEN),2280.3888907132005,Imports (KEN)
UGA,2023.0,LFO,118.4166667614,Light Fuel Oil
UGA,2023.0,SOL,61.94444449400001,Solar
UGA,2024.0,BIO,193.2222223768,Biomass
UGA,2024.0,GEO,744.6111117068001,Geothermal
UGA,2024.0,HYD,6127.3888937908,Hydropower
UGA,2024.0,Imports (KEN),461.9722225918,Imports (KEN)
UGA,2024.0,Imports (RWA),145.22222233840003,Imports (RWA)
UGA,2024.0,LFO,111.4722223114,Light Fuel Oil
UGA,2024.0,SOL,60.44444449280001,Solar
UGA,2025.0,BIO,120.7500000966,Biomass
UGA,2025.0,GEO,1489.1944456358,Geothermal
UGA,2025.0,HYD,6138.6388937998,Hydropower
UGA,2025.0,Imports (KEN),1011.5555563648,Imports (KEN)
UGA,2025.0,Imports (RWA),355.5277780622,Imports (RWA)
UGA,2025.0,LFO,104.5000000836,Light Fuel Oil
UGA,2025.0,SOL,58.97222226940001,Solar
UGA,2026.0,BIO,108.6666667536,Biomass
UGA,2026.0,GEO,2233.8055573426004,Geothermal
UGA,2026.0,HYD,6138.6388937998,Hydropower
UGA,2026.0,Imports (KEN),2614.3333354248,Imports (KEN)
UGA,2026.0,Imports (RWA),356.50000028520003,Imports (RWA)
UGA,2026.0,LFO,97.5277778558,Light Fuel Oil
UGA,2026.0,SOL,57.500000046,Solar
UGA,2027.0,BIO,96.6111111884,Biomass
UGA,2027.0,GEO,2978.3888912716,Geothermal
UGA,2027.0,HYD,6138.6388937998,Hydropower
UGA,2027.0,Imports (KEN),2377.9444463468,Imports (KEN)
UGA,2027.0,Imports (RWA),674.3611116506,Imports (RWA)
UGA,2027.0,LFO,90.5833334058,Light Fuel Oil
UGA,2027.0,SOL,56.02777782260001,Solar
UGA,2028.0,BIO,84.52777784540001,Biomass
UGA,2028.0,GEO,3350.6944471250004,Geothermal
UGA,2028.0,HYD,6138.6388937998,Hydropower
UGA,2028.0,Imports (KEN),3776.5000030212,Imports (KEN)
UGA,2028.0,Imports (RWA),232.083333519,Imports (RWA)
UGA,2028.0,LFO,83.55555562240001,Light Fuel Oil
UGA,2028.0,NGA,87.5277778478,Natural Gas
UGA,2028.0,SOL,67.3333333872,Solar
UGA,2029.0,BIO,53.5000000428,Biomass
UGA,2029.0,GEO,3350.6944471250004,Geothermal
UGA,2029.0,HYD,6138.6388937998,Hydropower
UGA,2029.0,Imports (KEN),4808.2777816244,Imports (KEN)
UGA,2029.0,Imports (RWA),524.3888893084,Imports (RWA)
UGA,2029.0,LFO,76.5833333946,Light Fuel Oil
UGA,2029.0,NGA,243.194444639,Natural Gas
UGA,2029.0,SOL,254.69444464820003,Solar
UGA,2030.0,BIO,36.1944444734,Biomass
UGA,2030.0,GEO,3350.6944471250004,Geothermal
UGA,2030.0,HYD,6138.6388937998,Hydropower
UGA,2030.0,Imports (KEN),4655.555559279999,Imports (KEN)
UGA,2030.0,Imports (RWA),1068.7222230772,Imports (RWA)
UGA,2030.0,LFO,69.6388889446,Light Fuel Oil
UGA,2030.0,NGA,243.194444639,Natural Gas
UGA,2030.0,SOL,472.0555559332,Solar
